"Compound ChEMBL ID","Name",SMILES
"CHEMBL269787","ECOPLADIB","O=C(O)c1ccc(OCCc2c(CCNS(=O)(=O)Cc3ccc(Cl)c(Cl)c3)n(C(c3ccccc3)c3ccccc3)c3ccc(Cl)cc23)cc1"
"CHEMBL2105261","PLOMESTANE","C21H26O2"
"CHEMBL5314444","TUNODAFIL","CCCn1cc(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(CC)CC4)ccc3OCC)nc21"
"CHEMBL4521078","PLX-51107","Cc1noc(C)c1-c1cnc2c(-c3ccc(C(=O)O)cc3)cn([C@@H](C)c3ccccn3)c2c1"
"CHEMBL2104875","TALMETOPRIM","COc1cc(Cc2cnc(N3C(=O)c4ccccc4C3=O)nc2N)cc(OC)c1OC"
"CHEMBL2106789","NANAFROCIN","C[C@@H]1O[C@@H](CC(=O)O)CC2=C1C(=O)c1c(O)cccc1C2=O"
"CHEMBL4447181","LONDAMOCITINIB","COC[C@H](C(=O)Nc1cccc2c(-c3nc(Nc4cccc(S(C)(=O)=O)c4F)ncc3F)c[nH]c12)N1CCN(C)CC1"
"CHEMBL4297518","MIRODENAFIL","CCCOc1ccc(S(=O)(=O)N2CCN(CCO)CC2)cc1-c1nc2c(CCC)cn(CC)c2c(=O)[nH]1"
"CHEMBL2107785","TENIVASTATIN CALCIUM","CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)[O-])[C@H]21.CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)[O-])[C@H]21.[Ca+2]"
"CHEMBL2106094","BESIPIRDINE HYDROCHLORIDE","CCCN(c1ccncc1)n1ccc2ccccc21.Cl"
"CHEMBL2109210","MEASLES IMMUNE GLOBULIN",""
"CHEMBL2104331","LASINAVIR","COCCNC(=O)[C@@H](NC(=O)[C@H](Cc1ccc(OC)c(OC)c1OC)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)C(C)C"
"CHEMBL6068511","FEXUPRAZAN HYDROCHLORIDE","CNCc1cn(S(=O)(=O)c2cccc(F)c2)c(-c2ccc(F)cc2F)c1OC.Cl"
"CHEMBL5314546","TISOLAGILINE","C[C@H](NCc1ccc(-c2ccc(C(F)(F)F)cc2)cc1)C(N)=O"
"CHEMBL4802241","ILUNOCITINIB","N#CCC1(n2cc(-c3ncnc4[nH]ccc34)cn2)CN(S(=O)(=O)C2CC2)C1"
"CHEMBL5314473","NIMUCITINIB","NC(=O)c1cnc(Nc2cccc(NC(=O)[C@H]3CCCNC3)c2)cc1NCc1cc(F)cc(F)c1"
"CHEMBL289556","OMAPATRILAT","O=C(N[C@H]1CCS[C@H]2CCC[C@@H](C(=O)O)N2C1=O)[C@@H](S)Cc1ccccc1"
"CHEMBL1192519","BENAZEPRILAT","O=C(O)CN1C(=O)[C@@H](N[C@@H](CCc2ccccc2)C(=O)O)CCc2ccccc21"
"CHEMBL224006","POZTINURAD","CC(O)c1oc2ccccc2c1C(=O)c1cc(Br)c(O)c(Br)c1"
"CHEMBL2216863","DEZAPELISIB","Cc1csc2nc([C@H](C)Nc3ncnc4[nH]cnc34)c(-c3cccc(F)c3)c(=O)n12"
"CHEMBL138029","UTIBAPRIL","CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1N=C(C(C)(C)C)S[C@H]1C(=O)O"
"CHEMBL2105796","BENURESTAT","O=C(CNC(=O)c1ccc(Cl)cc1)NO"
"CHEMBL5314527","LINGDOLINURAD","CCc1nc2ccccn2c1C(=O)c1cc(Br)c(O)c(C#N)c1"
"CHEMBL325441","TIPLASININ","O=C(O)C(=O)c1cn(Cc2ccccc2)c2ccc(-c3ccc(OC(F)(F)F)cc3)cc12"
"CHEMBL325041","BORTEZOMIB","CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O"
"CHEMBL313489","QUIFLAPON SODIUM","CC(C)(C)Sc1c(CC(C)(C)C(=O)[O-])n(Cc2ccc(Cl)cc2)c2ccc(OCc3ccc4ccccc4n3)cc12.[Na+]"
"CHEMBL5095084","TANUXICICLIB","Cc1cc(-c2nc(-c3ccnc(N)c3F)ccc2O)nc(N)n1"
"CHEMBL138225","EPRISTERIDE","CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC=C4C=C(C(=O)O)CC[C@]4(C)[C@H]3CC[C@]12C"
"CHEMBL1257753","REVAPRAZAN HYDROCHLORIDE","Cc1nc(Nc2ccc(F)cc2)nc(N2CCc3ccccc3C2C)c1C.Cl"
"CHEMBL1204948","FUREGRELATE","O=C(O)c1cc2cc(Cc3cccnc3)ccc2o1"
"CHEMBL1159823","PROTEOLYTIC ENZYME INHIBITOR","CC(C)C[C@@H](NC(=O)[C@H](O)COS(=O)(=O)O)C(=O)N[C@@H]1C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@H]2CC[C@H](O)N(C2=O)[C@@H](CC(C)C)C(=O)N(C)[C@H](Cc2ccc(O)cc2)C(=O)N[C@H](C(C)C)C(=O)O[C@@H]1C"
"CHEMBL2159227","CEMDOMESPIB","CO[C@@H]1[C@@H](O)[C@@H](O)[C@H](Oc2ccc(CCNC(C)=O)c(-c3cccc(F)c3)c2)OC1(C)C"
"CHEMBL6068035","VICADROSTAT","C[C@]1(CO)Cc2ncn(-c3ccc(C#N)c(Cl)c3)c2C(=O)O1"
"CHEMBL579","SPIRAPRILAT","C[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CC2(C[C@H]1C(=O)O)SCCS2"
"CHEMBL447977","PACTIMIBE SULFATE","CCCCCCCCN1CCc2c(C)c(CC(=O)O)c(C)c(NC(=O)C(C)(C)C)c21.CCCCCCCCN1CCc2c(C)c(CC(=O)O)c(C)c(NC(=O)C(C)(C)C)c21.O=S(=O)(O)O"
"CHEMBL497011","LINAPRAZAN","Cc1cccc(C)c1CNc1cc(C(=O)NCCO)cn2c(C)c(C)nc12"
"CHEMBL5314438","PULIGINURAD","CC(C)(Cc1cc2c(-c3ccc(C#N)cc3)cncc2s1)C(=O)O"
"CHEMBL261131","DIACYLGLYCEROL KINASE INHIBITOR II","O=c1c2ccccc2[nH]c(=S)n1CCN1CCC(=C(c2ccc(F)cc2)c2ccc(F)cc2)CC1"
"CHEMBL153427","OXAGRELATE","CCOC(=O)c1c(C)cc2c(CO)n[nH]c(=O)c2c1C"
"CHEMBL2103843","GISADENAFIL BESYLATE","C29H39N7O8S2"
"CHEMBL2107332","DIAPLASININ","CCCCCc1c(-c2ccc3cc(OCc4nnn[nH]4)ccc3c2)n(Cc2ccccc2)c2ccccc12"
"CHEMBL207602","ISOPROPYL MYRISTATE","CCCCCCCCCCCCCC(=O)OC(C)C"
"CHEMBL5314505","BEMFIVASTATIN","CC(C)c1c(C(=O)Nc2ccc(CO)cc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O"
"CHEMBL2106909","MIDAZOGREL","CCCCCC(/C=C/n1ccnc1)OCc1ccccc1"
"CHEMBL2106980","PERAFENSINE","c1ccc(-c2nc(N3CCNCC3)cc3ccccc23)cc1"
"CHEMBL6068020","LINUSTEDASTAT","C[C@]12CC[C@@H]3c4cccc(F)c4CC[C@H]3[C@@H]1[C@H](CCC(=O)Nc1ccc(F)cn1)C/C2=N/O"
"CHEMBL2218915","BERVASTATIN","CCOC(=O)CC(O)CC(O)/C=C/C1=C(c2ccc(F)cc2)c2ccccc2OC12CCCC2"
"CHEMBL2105388","ORBUTOPRIL","CCCC[C@H](N[C@@H](C)C(=O)N1[C@H](C(=O)OCC)C[C@@H]2CCCC[C@@H]21)C(=O)O"
"CHEMBL3989608","ZABICIPRIL","CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1C2CCC(CC2)[C@H]1C(=O)O"
"CHEMBL2146090","DANOPREVIR SODIUM","CC(C)(C)OC(=O)N[C@H]1CCCCC/C=C\[C@@H]2C[C@@]2(C(=O)[N-]S(=O)(=O)C2CC2)NC(=O)[C@@H]2C[C@@H](OC(=O)N3Cc4cccc(F)c4C3)CN2C1=O.[Na+]"
"CHEMBL6068062","NACRESERTIB","COc1cc2nn([C@H]3CC[C@](C)(O)CC3)cc2cc1NC(=O)c1cccc(C)[n+]1[O-]"
"CHEMBL2109145","GLOBULIN SERUM,""
"CHEMBL5095101","FUNOBACTAM","NC1=N[C@H](c2nnc([C@@H]3CC4(CC4)[C@@H]4CN3C(=O)N4OS(=O)(=O)O)o2)CN1"
"CHEMBL2105433","PATAMOSTAT","N=C(N)Nc1ccc(C(=O)Oc2ccc(SCCN3C(=O)CCC3=O)cc2)cc1"
"CHEMBL329012","ICOPEZIL MALEATE","C27H29N3O6"
"CHEMBL60550","TERLAKIREN","C31H48N4O7S"
"CHEMBL2219423","AFURESERTIB HYDROCHLORIDE","Cl.Cn1ncc(Cl)c1-c1cc(C(=O)N[C@H](CN)Cc2cccc(F)c2)sc1Cl"
"CHEMBL3989891","FUREGRELATE SODIUM","C15H12NNaO4"
"CHEMBL674","OSELTAMIVIR CARBOXYLATE","C14H24N2O4"
"CHEMBL1288786","PROPAZOLAMIDE","CCC(=O)Nc1nnc(S(N)(=O)=O)s1"
"CHEMBL2108143","TENDAMISTAT",""
"CHEMBL1201398","CLOPIDOGREL METABOLITE H4","O=C(O)/C=C1\CN([C@H](C(=O)O)c2ccccc2Cl)CCC1S"
"CHEMBL16596","QUIFLAPON","CC(C)(C)Sc1c(CC(C)(C)C(=O)O)n(Cc2ccc(Cl)cc2)c2ccc(OCc3ccc4ccccc4n3)cc12"
"CHEMBL6067983","BECLABUVIR HYDROCHLORIDE","COc1ccc2c(c1)[C@@H]1C[C@]1(C(=O)N1[C@@H]3CC[C@H]1CN(C)C3)Cn1c-2c(C2CCCCC2)c2ccc(C(=O)NS(=O)(=O)N(C)C)cc21.Cl"
"CHEMBL2074730","ELACRIDAR HYDROCHLORIDE","COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3cccc4c(=O)c5cccc(OC)c5[nH]c34)cc1)CC2.Cl"
"CHEMBL5314477","PRALURBACTAM","N=C(N)NOCCONC(=O)[C@@H]1CC[C@@H]2CN1C(=O)N2OS(=O)(=O)O"
"CHEMBL2111088","DENIBULIN","COC(=O)Nc1nc2cc(Sc3ccc(NC(=O)[C@H](C)N)cc3)ccc2[nH]1"
"CHEMBL2104854","IZONSTERIDE","CCc1cccc2sc(Sc3ccc4c(c3)CC[C@H]3N(C)C(=O)CC[C@]43C)nc12"
"CHEMBL2111132","TETRAZOLAST","c1ccc2c(c1)cc(-c1nnn[nH]1)c1nnnn12"
"CHEMBL5314549","VAMAGLOXISTAT","O=C(O)c1nn[nH]c1Oc1ccc(-c2ccc(C3CC(F)(F)C3)cc2)cc1"
"CHEMBL3137329","PEFICITINIB HYDROBROMIDE","Br.NC(=O)c1cnc2[nH]ccc2c1N[C@@H]1[C@@H]2CC3C[C@H]1C[C@@](O)(C3)C2"
"CHEMBL273910","MINALRESTAT","O=C1CC2(C(=O)N1)C(=O)N(Cc1ccc(Br)cc1F)C(=O)c1ccc(F)cc12"
"CHEMBL434492","CANDOXATRILAT","C20H33NO7"
"CHEMBL99701","IMIDAPRILAT","C[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1C(=O)N(C)C[C@H]1C(=O)O"
"CHEMBL101309","AVASIMIBE","CC(C)c1cc(C(C)C)c(CC(=O)NS(=O)(=O)Oc2c(C(C)C)cccc2C(C)C)c(C(C)C)c1"
"CHEMBL70611","AZALANSTAT","Nc1ccc(SC[C@@H]2CO[C@](CCc3ccc(Cl)cc3)(Cn3ccnc3)O2)cc1"
