"Compound ChEMBL ID","Name",SMILES
"CHEMBL6068329","PEMETREXED DIPOTASSIUM","Nc1nc2[nH]cc(CCc3ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])cc3)c2c(=O)[nH]1.[K+].[K+]"
"CHEMBL3989970","MAVELERTINIB","C=CC(=O)N[C@@H]1CN(c2nc(Nc3cn(C)nc3OC)c3ncn(C)c3n2)C[C@H]1F"
"CHEMBL607707","PELITINIB","CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C"
"CHEMBL3989939","LAROTRECTINIB SULFATE","O=C(Nc1cnn2ccc(N3CCC[C@@H]3c3cc(F)ccc3F)nc12)N1CC[C@H](O)C1.O=S(=O)(O)O"
"CHEMBL192","SILDENAFIL","CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12"
"CHEMBL436","TOLRESTAT","C16H14F3NO3S"
"CHEMBL281398","TERBOGREL","CC(C)(C)N/C(=N\C#N)Nc1cccc(/C(=C\CCCC(=O)O)c2cccnc2)c1"
"CHEMBL4558324","LAZERTINIB","C=CC(=O)Nc1cc(Nc2nccc(-n3cc(CN(C)C)c(-c4ccccc4)n3)n2)c(OC)cc1N1CCOCC1"
"CHEMBL2074689","ZOSUQUIDAR TRIHYDROCHLORIDE","Cl.Cl.Cl.O[C@@H](COc1cccc2ncccc12)CN1CCN([C@@H]2c3ccccc3[C@@H]3[C@H](c4ccccc42)C3(F)F)CC1"
"CHEMBL52939","SARPOGRELATE","COc1cccc(CCc2ccccc2OCC(CN(C)C)OC(=O)CCC(=O)O)c1"
"CHEMBL222559","TIPRANAVIR","CCC[C@@]1(CCc2ccccc2)CC(O)=C([C@H](CC)c2cccc(NS(=O)(=O)c3ccc(C(F)(F)F)cn3)c2)C(=O)O1"
"CHEMBL3545097","SAPANISERTIB","CC(C)n1nc(-c2ccc3oc(N)nc3c2)c2c(N)ncnc21"
"CHEMBL5187755","ATIRMOCICLIB","CC(C)n1c(C(C)(C)O)nc2c(F)cc(-c3nc(N[C@@H]4CCOC[C@H]4O)ncc3Cl)cc21"
"CHEMBL520733","SEMAGACESTAT","CC(C)[C@H](O)C(=O)N[C@@H](C)C(=O)N[C@@H]1C(=O)N(C)CCc2ccccc21"
"CHEMBL5095034","SOVLEPLENIB","CS(=O)(=O)N1CCC(c2ccc(-c3ncc4nccnc4c3NC[C@@H]3CNCCO3)cc2)CC1"
"CHEMBL3039522","BIRINAPANT","CC[C@H](NC(=O)[C@H](C)NC)C(=O)N1C[C@@H](O)C[C@H]1Cc1c(-c2[nH]c3cc(F)ccc3c2C[C@@H]2C[C@H](O)CN2C(=O)[C@H](CC)NC(=O)[C@H](C)NC)[nH]c2cc(F)ccc12"
"CHEMBL4303201","CATEQUENTINIB","COc1cc2c(Oc3ccc4[nH]c(C)cc4c3F)ccnc2cc1OCC1(N)CC1"
"CHEMBL481611","ODANACATIB","CC(C)(F)C[C@H](N[C@@H](c1ccc(-c2ccc(S(C)(=O)=O)cc2)cc1)C(F)(F)F)C(=O)NC1(C#N)CC1"
"CHEMBL317094","IMIDAPRIL","CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1C(=O)N(C)C[C@H]1C(=O)O"
"CHEMBL5095256","TINLORAFENIB","Cc1c(Nc2c(F)ccc(NS(=O)(=O)CCCF)c2Cl)ccc2ncn(C)c(=O)c12"
"CHEMBL3989867","BICTEGRAVIR SODIUM","O=C(NCc1c(F)cc(F)cc1F)c1cn2c(c([O-])c1=O)C(=O)N1[C@H]3CC[C@H](C3)O[C@@H]1C2.[Na+]"
"CHEMBL539697","DABIGATRAN ETEXILATE","CCCCCCOC(=O)NC(=N)c1ccc(NCc2nc3cc(C(=O)N(CCC(=O)OCC)c4ccccn4)ccc3n2C)cc1"
"CHEMBL4802146","CUDETAXESTAT","C21H15Cl2F2N3O2S"
"CHEMBL5095031","IDREVLORIDE","CCCCCCN(CCOc1ccc(CCCCNC(=N)NC(=O)c2nc(Cl)c(N)nc2N)cc1)C[C@H](O)C(O)[C@H](O)[C@H](O)CO"
"CHEMBL3917975","CAMBRITAXESTAT","C[C@H](NC(=O)CCc1nc2cccnc2n1Cc1ccc(OC(F)(F)F)cc1)c1ccc(Cl)cc1"
"CHEMBL4756595","ENITOCICLIB","COc1cc(F)ccc1-c1cc(Nc2cc(CS(C)(=N)=O)ccn2)ncc1F"
"CHEMBL4297442","OLITIGALTIN","OC[C@H]1O[C@@H](S[C@@H]2O[C@H](CO)[C@H](O)[C@H](n3cc(-c4cccc(F)c4)nn3)[C@H]2O)[C@H](O)[C@@H](n2cc(-c3cccc(F)c3)nn2)[C@H]1O"
"CHEMBL2316582","OLVEREMBATINIB","Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2[nH]ncc2c1"
"CHEMBL538867","PATIDEGIB","CC1=C2C[C@H]3[C@@H](CC[C@@H]4C[C@H](NS(C)(=O)=O)CC[C@@]43C)[C@@H]2CC[C@@]2(C1)O[C@@H]1C[C@H](C)CN[C@H]1[C@H]2C"
"CHEMBL4650320","MOLNUPIRAVIR","CC(C)C(=O)OC[C@H]1O[C@@H](n2cc/c(=N\O)[nH]c2=O)[C@H](O)[C@@H]1O"
"CHEMBL4651002","SAFUSIDENIB","Cc1cn(C(=O)c2c(-c3c(Cl)cc(Cl)cc3Cl)noc2C(C)(C)F)c2cccc(/C=C/C(=O)O)c12"
"CHEMBL334966","CANGRELOR","CSCCNc1nc(SCCC(F)(F)F)nc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)C(Cl)(Cl)P(=O)(O)O)[C@@H](O)[C@H]1O"
"CHEMBL4298137","DURLOBACTAM","CC1=C[C@@H]2CN(C(=O)N2OS(=O)(=O)O)[C@@H]1C(N)=O"
"CHEMBL6068412","PEBEZERTINIB","-1.72"
"CHEMBL200022","CLAFICAPAVIR","O=C(O)CCN1C(=O)/C(=C/c2ccc(-c3ccc(Cl)cc3)o2)SC1=S"
"CHEMBL4297216","FEDRATINIB HYDROCHLORIDE","Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc1cccc(S(=O)(=O)NC(C)(C)C)c1.Cl.Cl.O"
"CHEMBL5314499","ADERAMASTAT","Cc1cccc(COc2ccc(Sc3ccoc3C3NC(=O)NC3=O)cc2)c1"
"CHEMBL1922094","APITOLISIB","Cc1c(CN2CCN(C(=O)[C@H](C)O)CC2)sc2c(N3CCOCC3)nc(-c3cnc(N)nc3)nc12"
"CHEMBL4863829","OBELDESIVIR","CC(C)C(=O)OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O"
"CHEMBL5315125","DUVELISIB MONOHYDRATE","C[C@H](Nc1ncnc2nc[nH]c12)c1cc2cccc(Cl)c2c(=O)n1-c1ccccc1.O"
"CHEMBL1477","CERIVASTATIN","COCc1c(C(C)C)nc(C(C)C)c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)O)c1-c1ccc(F)cc1"
"CHEMBL6068047","DEULORLATINIB","[2H]C([2H])([2H])n1nc2c(c1C#N)-c1cnc(N)c(c1)O[C@H](C)c1cc(F)ccc1C(=O)N(C)C2"
"CHEMBL35033","EMIVIRINE","CCOCn1c(Cc2ccccc2)c(C(C)C)c(=O)[nH]c1=O"
"CHEMBL4871106","RUPITASERTIB","NC(=O)c1cccc2c(N[C@H](CN3CCC3)c3ccc(Cl)c(C(F)(F)F)c3)ncnc12"
"CHEMBL2103772","RACECADOTRIL","CC(=O)SCC(Cc1ccccc1)C(=O)NCC(=O)OCc1ccccc1"
"CHEMBL5095204","YIMITASVIR PHOSPHATE","COC(=O)N[C@H](C(=O)N1CCC[C@H]1c1ncc(-c2ccc(-c3ccc(-c4ccc5nc([C@@H]6CCCN6C(=O)[C@@H](NC(=O)OC)C(C)C)[nH]c5c4)c4c3[C@@H]3CC[C@H]4C3)cc2)[nH]1)C(C)C.O=P(O)(O)O.O=P(O)(O)O"
"CHEMBL3402762","TEPOTINIB","CN1CCC(COc2cnc(-c3cccc(Cn4nc(-c5cccc(C#N)c5)ccc4=O)c3)nc2)CC1"
"CHEMBL1287853","FEDRATINIB","Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc1cccc(S(=O)(=O)NC(C)(C)C)c1"
"CHEMBL4297928","NOMACOPAN",""
"CHEMBL518924","MAVORIXAFOR","NCCCCN(Cc1nc2ccccc2[nH]1)[C@H]1CCCc2cccnc21"
"CHEMBL3991932","PEXMETINIB","Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)NCc2cc(F)ccc2Oc2ccc3c(cnn3CCO)c2)cc1"
"CHEMBL5314520","IGERMETOSTAT","CCN(c1cc(O[C@H]2C[C@H](N3CCCCC3)C2)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)C1CCOCC1"
"CHEMBL4647810","ELIMUSERTIB","C[C@@H]1COCCN1c1cc(-c2ccnn2C)c2ccnc(-c3ccn[nH]3)c2n1"
"CHEMBL5314481","RISVODETINIB","Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cncc(-c3oncc3C)c2)n1"
"CHEMBL2103852","CROLIBULIN","COc1cc([C@H]2C(C#N)=C(N)Oc3c2ccc(N)c3N)cc(Br)c1OC"
"CHEMBL5314472","NERACORVIR","Cc1cc2n(c1)S(=O)(=O)c1ccc(C(=O)NCC[C@H]3COCCO3)cc1NC2=O"
"CHEMBL94","PHYSOSTIGMINE","CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C"
"CHEMBL3287255","BISTHIANOSTAT","O=C(CCCCNC(=O)c1nc(-c2nccs2)sc1C1CC1)NO"
"CHEMBL3137330","CABOTEGRAVIR SODIUM","C[C@H]1CO[C@@H]2Cn3cc(C(=O)NCc4ccc(F)cc4F)c(=O)c([O-])c3C(=O)N12.[Na+]"
"CHEMBL4297638","PETESICATIB","Cn1cc(-c2ccc(S(=O)(=O)[C@@H]3C[C@@H](C(=O)NC4(C#N)CC4)N(C(=O)C4(C(F)(F)F)CC4)C3)c(C(F)(F)F)c2)cn1"
"CHEMBL4650521","BATOPROTAFIB","C[C@@H]1OCC2(CCN(c3cnc(Sc4ccnc(N)c4Cl)c(N)n3)CC2)[C@@H]1N"
"CHEMBL2013119","RIGOSERTIB SODIUM","COc1cc(OC)c(/C=C/S(=O)(=O)Cc2ccc(OC)c(NCC(=O)[O-])c2)c(OC)c1.[Na+]"
"CHEMBL6068069","RANOSIDENIB","C[C@@H](Nc1nc(N[C@H](C)C(F)(F)F)nc(C2=C(F)[C@H](O)C(F)(F)CC2)n1)C(F)(F)F"
"CHEMBL3301621","CENTANAFADINE","0.78"
"CHEMBL1957287","TEGOBUVIR","Fc1ccccc1-c1nc2ccn(Cc3ccc(-c4ccc(C(F)(F)F)cc4C(F)(F)F)nn3)cc-2n1"
"CHEMBL4297477","BREPOCITINIB","Cn1cc(Nc2nccc(N3C[C@H]4CC[C@@H](C3)N4C(=O)[C@@H]3CC3(F)F)n2)cn1"
"CHEMBL3545413","FLUMATINIB","Cc1ncc(NC(=O)c2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1Nc1nccc(-c2cccnc2)n1"
"CHEMBL3979920","MIVAVOTINIB","Cn1cc(-c2nc(N[C@@H]3CCCC[C@@H]3N)c(F)c3c2C(=O)NC3)cn1"
"CHEMBL443684","NAVITOCLAX","CC1(C)CCC(c2ccc(Cl)cc2)=C(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(N[C@H](CCN5CCOCC5)CSc5ccccc5)c(S(=O)(=O)C(F)(F)F)c4)cc3)CC2)C1"
"CHEMBL4525964","VANIPREVIR","CC[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H]2CN1C(=O)[C@H](C(C)(C)C)NC(=O)OCC(C)(C)CCCCc1cccc3c1CN(C3)C(=O)O2)C(=O)NS(=O)(=O)C1CC1"
"CHEMBL4297463","CPI-1205","COc1cc(C)[nH]c(=O)c1CNC(=O)c1c(C)n([C@H](C)C2CCN(CC(F)(F)F)CC2)c2ccccc12"
"CHEMBL5269917","SEGIGRATINIB","COc1cc(OC)c(Cl)c(-c2ccc3c(NC(=O)c4ccc(N5CCNC(C)(C)C5)cc4)n[nH]c3n2)c1Cl"
"CHEMBL4483575","REMIBRUTINIB","C=CC(=O)N(C)CCOc1c(N)ncnc1-c1cc(F)cc(NC(=O)c2ccc(C3CC3)cc2F)c1C"
"CHEMBL4596392","CRAVACITINIB","CNC(=O)c1nnc(NC(=O)C2CC2)cc1Nc1cccc(-c2ncn(C)n2)c1OC"
"CHEMBL6068409","NILOTINIB LAURYLSULFATE","CCCCCCCCCCCCOS(=O)(=O)O.Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1"
"CHEMBL4437054","RILEMATOVIR","CS(=O)(=O)CCCn1c(Cn2c(=O)n(CC(F)(F)F)c3ccncc32)cc2cc(Cl)ccc21"
"CHEMBL2107821","EMIXUSTAT","NCC[C@@H](O)c1cccc(OCC2CCCCC2)c1"
"CHEMBL67279","TALABOSTAT","CC(C)[C@H](N)C(=O)N1CCC[C@H]1B(O)O"
"CHEMBL4065122","FENEBRUTINIB","C[C@H]1CN(C2COC2)CCN1c1ccc(Nc2cc(-c3ccnc(N4CCn5c(cc6c5CC(C)(C)C6)C4=O)c3CO)cn(C)c2=O)nc1"
"CHEMBL3989937","CAPMATINIB HYDROCHLORIDE","CNC(=O)c1ccc(-c2cnc3ncc(Cc4ccc5ncccc5c4)n3n2)cc1F.Cl.Cl.O"
"CHEMBL2220442","FLUVASTATIN","CC(C)n1c(/C=C/C(O)CC(O)CC(=O)O)c(-c2ccc(F)cc2)c2ccccc21"
"CHEMBL4297618","GRANOTAPIDE","CCOC(=O)C(COC(=O)Cc1ccc(NC(=O)c2ccccc2-c2ccc(C(F)(F)F)cc2)c(C(=O)N(C)C)c1)(C(=O)OCC)c1ccccc1"
"CHEMBL59356","ATRELEUTON","C[C@H](C#Cc1ccc(Cc2ccc(F)cc2)s1)N(O)C(N)=O"
"CHEMBL2103882","TIVANTINIB","O=C1NC(=O)[C@@H](c2cn3c4c(cccc24)CCC3)[C@@H]1c1c[nH]c2ccccc12"
"CHEMBL3989959","NACUBACTAM","NCCONC(=O)[C@@H]1CC[C@@H]2CN1C(=O)N2OS(=O)(=O)O"
"CHEMBL56337","EPALRESTAT","CC(/C=C1\SC(=S)N(CC(=O)O)C1=O)=C\c1ccccc1"
"CHEMBL4297549","HUMAN C1-ESTERASE INHIBITOR",""
"CHEMBL46423","NEVANIMIBE","CC(C)c1cccc(C(C)C)c1NC(=O)NCC1(c2ccc(N(C)C)cc2)CCCC1"
"CHEMBL3334567","SAVOLITINIB","C[C@@H](c1ccc2nccn2c1)n1nnc2ncc(-c3cnn(C)c3)nc21"
"CHEMBL5095405","BOMEDEMSTAT TOSYLATE","CN1CCN(C(=O)[C@H](CCCN[C@@H]2C[C@H]2c2ccc(F)cc2)NC(=O)c2ccc(-n3ccnn3)cc2)CC1.Cc1ccc(S(=O)(=O)O)cc1.Cc1ccc(S(=O)(=O)O)cc1"
"CHEMBL6068433","PIMICOTINIB HYDROCHLORIDE","Cc1nc(NC(=O)N2CCC(C)(C)C2=O)ccc1Oc1ccnc(-c2cnn(C)c2)c1.Cl.O"
"CHEMBL1738758","ONVANSERTIB","CN1CCN(c2ccc(OC(F)(F)F)c(Nc3ncc4c(n3)-c3c(c(C(N)=O)nn3CCO)CC4)c2)CC1"
"CHEMBL3657311","IFEBEMTINIB","COc1cc(C(=O)NC2CCN(C)CC2)c(F)cc1Nc1ncc(C(F)(F)F)c(Oc2cccc3c2C(=O)N(C)C3)n1"
"CHEMBL160038","NEBICAPONE","O=C(Cc1ccccc1)c1cc(O)c(O)c([N+](=O)[O-])c1"
"CHEMBL5314574","EMAVUSERTIB TOSYLATE","Cc1cc(-c2nc(C(=O)Nc3cc4oc(N5CCOCC5)nc4nc3N3CC[C@@H](O)C3)co2)ccn1.Cc1ccc(S(=O)(=O)O)cc1"
"CHEMBL2103790","ADERBASIB","COC(=O)N1CC2(CC2)C[C@H](C(=O)NO)[C@H]1C(=O)N1CCN(c2ccccc2)CC1"
"CHEMBL4650323","TOLEBRUTINIB","C=CC(=O)N1CCC[C@@H](n2c(=O)n(-c3ccc(Oc4ccccc4)cc3)c3c(N)nccc32)C1"
"CHEMBL479527","TORCETRAPIB","C26H25F9N2O4"
"CHEMBL4216467","RIPRETINIB","CCn1c(=O)c(-c2cc(NC(=O)Nc3ccccc3)c(F)cc2Br)cc2cnc(NC)cc21"
"CHEMBL4297489","ZABADINOSTAT","Cc1nn(C)cc1CN1CCC(c2ccc(C(=O)Nc3ccccc3N)cc2)CC1"
"CHEMBL4297430","BESIGLIPTIN TOSYLATE","CN(C)C(=O)N1C[C@@H]2C[C@@](C)(NCC(=O)N3C[C@@H](F)C[C@H]3C#N)C[C@@H]2C1.Cc1ccc(S(=O)(=O)O)cc1"
"CHEMBL5095161","ZAMAGLUTENASE",""
"CHEMBL2364624","PRADIGASTAT","O=C(O)C[C@H]1CC[C@H](c2ccc(-c3ccc(Nc4ccc(C(F)(F)F)nc4)cn3)cc2)CC1"
"CHEMBL5314526","LERZEPARIB","C[C@]1(c2ccc(-c3[nH]c4cc(F)cc5c4c3CONC5=O)cc2)CCCN1"
"CHEMBL522038","XIMELAGATRAN","CCOC(=O)CN[C@@H](C(=O)N1CC[C@H]1C(=O)NCc1ccc(/C(N)=N\O)cc1)C1CCCCC1"
"CHEMBL4298172","SOTICLESTAT","O=C(c1cccnc1-c1ccncc1)N1CCC(O)(Cc2ccccc2)CC1"
"CHEMBL3545062","VELPATASVIR","COC[C@H]1C[C@@H](c2nc(-c3ccc4c(c3)COc3cc5c(ccc6nc([C@@H]7CC[C@H](C)N7C(=O)[C@@H](NC(=O)OC)C(C)C)[nH]c65)cc3-4)c[nH]2)N(C(=O)[C@H](NC(=O)OC)c2ccccc2)C1"
"CHEMBL2103855","TELOTRISTAT","Cc1ccn(-c2cc(Cl)ccc2[C@@H](Oc2cc(-c3ccc(C[C@H](N)C(=O)O)cc3)nc(N)n2)C(F)(F)F)n1"
"CHEMBL578","ENALAPRIL","CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)O"
"CHEMBL142703","VILDAGLIPTIN","N#C[C@@H]1CCCN1C(=O)CNC12CC3CC(CC(O)(C3)C1)C2"
"CHEMBL4559134","SELPERCATINIB","COc1ccc(CN2C3CC2CN(c2ccc(-c4cc(OCC(C)(C)O)cn5ncc(C#N)c45)cn2)C3)cn1"
"CHEMBL5314440","SACIBERTINIB","CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(OCc4ccccn4)c(Cl)c3)c(C#N)cnc2cc1O[C@H]1CCOC1"
"CHEMBL1399","ANASTROZOLE","CC(C)(C#N)c1cc(Cn2cncn2)cc(C(C)(C)C#N)c1"
"CHEMBL572881","MOTESANIB","CC1(C)CNc2cc(NC(=O)c3cccnc3NCc3ccncc3)ccc21"
"CHEMBL2336325","VISTUSERTIB","CNC(=O)c1cccc(-c2ccc3c(N4CCOC[C@@H]4C)nc(N4CCOC[C@@H]4C)nc3n2)c1"
"CHEMBL571546","TIRBANIBULIN","O=C(Cc1ccc(-c2ccc(OCCN3CCOCC3)cc2)cn1)NCc1ccccc1"
"CHEMBL348475","TARIQUIDAR","COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3cc(OC)c(OC)cc3NC(=O)c3cnc4ccccc4c3)cc1)CC2"
"CHEMBL4297511","FIRIBASTAT","N[C@@H](CCS(=O)(=O)O)CSSC[C@@H](N)CCS(=O)(=O)O"
"CHEMBL1232111","OMIGAPIL","C#CCN(C)CC1=Cc2ccccc2Oc2ccccc21"
"CHEMBL1078178","MOMELOTINIB","N#CCNC(=O)c1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1"
"CHEMBL5315119","UPADACITINIB HEMIHYDRATE","CC[C@@H]1CN(C(=O)NCC(F)(F)F)C[C@@H]1c1cnc2cnc3[nH]ccc3n12.CC[C@@H]1CN(C(=O)NCC(F)(F)F)C[C@@H]1c1cnc2cnc3[nH]ccc3n12.O"
"CHEMBL5314523","LACUTOCLAX","C[C@@H]1CN(c2cc(N3CCN(CC4=C(c5ccc(Cl)cc5)CC(C)(C)CC4)CC3)ccc2C(=O)NS(=O)(=O)c2ccc(NCC3CCOCC3)c([N+](=O)[O-])c2)c2cc3cc[nH]c3nc2O1"
"CHEMBL141157","IMOCITRELVIR","C#CC[C@@H](C(=O)N[C@H](/C=C/C(=O)OCC)C[C@@H]1CCNC1=O)n1cccc(NC(=O)c2cc(C)on2)c1=O"
"CHEMBL3426621","RIPASUDIL","C[C@H]1CNCCCN1S(=O)(=O)c1cccc2cncc(F)c12"
"CHEMBL4218271","NUMIDARGISTAT","C[C@H](N)C(=O)N1C[C@H](CCCB(O)O)[C@](N)(C(=O)O)C1"
"CHEMBL5591580","IBUZATRELVIR","COC(=O)N[C@H](C(=O)N1C[C@H](C(F)(F)F)C[C@H]1C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O)C(C)(C)C"
"CHEMBL1201142","RASAGILINE MESYLATE","C#CCN[C@@H]1CCc2ccccc21.CS(=O)(=O)O"
"CHEMBL6068424","CERTOCICLIB","FC(F)Oc1cc(Nc2cnc3cnn(CC4CCOCC4)c3n2)n[nH]1"
"CHEMBL1096380","PLINABULIN","CC(C)(C)c1[nH]cnc1/C=c1\[nH]c(=O)/c(=C/c2ccccc2)[nH]c1=O"
"CHEMBL3984425","EGANELISIB","C[C@H](NC(=O)c1c(N)nn2cccnc12)c1cc2cccc(C#Cc3cnn(C)c3)c2c(=O)n1-c1ccccc1"
"CHEMBL3989553","NAFAMOSTAT MESYLATE","CS(=O)(=O)O.CS(=O)(=O)O.N=C(N)Nc1ccc(C(=O)Oc2ccc3cc(C(=N)N)ccc3c2)cc1"
"CHEMBL3301600","SPEBRUTINIB BESYLATE","C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OCCOC)cc3)ncc2F)c1.O=S(=O)(O)c1ccccc1"
"CHEMBL3137317","SONIDEGIB PHOSPHATE","Cc1c(C(=O)Nc2ccc(N3C[C@@H](C)O[C@@H](C)C3)nc2)cccc1-c1ccc(OC(F)(F)F)cc1.O=P(O)(O)O.O=P(O)(O)O"
"CHEMBL6067995","BEROTRALSTAT HYDROCHLORIDE","Cl.Cl.N#Cc1cccc([C@@H](NCC2CC2)c2ccc(F)c(NC(=O)c3cc(C(F)(F)F)nn3-c3cccc(CN)c3)c2)c1"
"CHEMBL5095497","ZETELETINIB","COc1cc2cc(-c3ccc(CC(=O)Nc4cc(C(C)(C)C(F)(F)F)no4)cn3)cnc2cc1OC"
"CHEMBL3989870","BERZOSERTIB","CNCc1ccc(-c2cc(-c3nc(-c4ccc(S(=O)(=O)C(C)C)cc4)cnc3N)on2)cc1"
"CHEMBL4594298","ENCEQUIDAR","COc1cc2c(cc1OC)CN(CCc1ccc(-n3nnc(-c4cc(OC)c(OC)cc4NC(=O)c4cc(=O)c5ccccc5o4)n3)cc1)CC2"
"CHEMBL5189739","BEROTRALSTAT","N#Cc1cccc([C@@H](NCC2CC2)c2ccc(F)c(NC(=O)c3cc(C(F)(F)F)nn3-c3cccc(CN)c3)c2)c1"
"CHEMBL218394","BOCEPREVIR","CC(C)(C)NC(=O)N[C@H](C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)NC(CC1CCC1)C(=O)C(N)=O)C2(C)C)C(C)(C)C"
"CHEMBL515387","GOSOGLIPTIN","C17H24F2N6O"
"CHEMBL3544977","ODALASVIR","COC(=O)N[C@H](C(=O)N1[C@H](c2nc3cc(-c4cc5ccc4CCc4ccc(c(-c6ccc7[nH]c([C@@H]8C[C@@H]9CCCC[C@@H]9N8C(=O)[C@@H](NC(=O)OC)C(C)C)nc7c6)c4)CC5)ccc3[nH]2)C[C@@H]2CCCC[C@@H]21)C(C)C"
"CHEMBL1642","IMATINIB MESYLATE","CS(=O)(=O)O.Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1"
"CHEMBL6068426","DELOCAMTEN","Cc1ccc(F)c([C@@H]2Nc3[nH]c(=O)n(C4CCOCC4)c(=O)c3C[C@@H]2F)c1"
"CHEMBL2005186","BELUMOSUDIL","CC(C)NC(=O)COc1cccc(-c2nc(Nc3ccc4[nH]ncc4c3)c3ccccc3n2)c1"
"CHEMBL2108752","PEGAPTANIB OCTASODIUM",""
"CHEMBL4113975","BAXDROSTAT","CCC(=O)N[C@@H]1CCCc2c(-c3ccc4c(c3)CCC(=O)N4C)cncc21"
"CHEMBL1771","CLOPIDOGREL","COC(=O)[C@H](c1ccccc1Cl)N1CCc2sccc2C1"
"CHEMBL1173655","AFATINIB","CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1"
"CHEMBL4297258","FIRMONERTINIB","C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OCC(F)(F)F)nc1N(C)CCN(C)C"
"CHEMBL1201837","ECALLANTIDE",""
"CHEMBL3317857","VABORBACTAM","O=C(O)C[C@@H]1CC[C@H](NC(=O)Cc2cccs2)B(O)O1"
"CHEMBL4297589","SELATOGREL","CCCCOC(=O)N1CCN(C(=O)[C@H](CP(=O)(O)O)NC(=O)c2cc(N3CC[C@H](OC)C3)nc(-c3ccccc3)n2)CC1"
"CHEMBL4298151","MIRANSERTIB MESYLATE","CS(=O)(=O)O.CS(=O)(=O)O.Nc1ncccc1-c1nc2ccc(-c3ccccc3)nc2n1-c1ccc(C2(N)CCC2)cc1"
"CHEMBL2105721","NIVOCASAN","CC(C)[C@@]1(C(=O)N[C@H]2CC(=O)O[C@]2(O)CF)CC(c2nccc3ccccc23)=NO1"
"CHEMBL1278146","FAMITINIB","CCN(CC)CCN1CCc2[nH]c(/C=C3\C(=O)Nc4ccc(F)cc43)c(C)c2C1=O"
"CHEMBL5095088","ANIZATRECTINIB","COCCN1C[C@@H](NC(=O)Nc2c(C)c(-c3cnc(C)nc3)nn2-c2ccccc2)[C@H](c2cccc(F)c2)C1"
"CHEMBL1879463","DACTOLISIB","Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21"
"CHEMBL3414626","PINOMETOSTAT","CC(C)N(C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O)[C@H]1C[C@@H](CCc2nc3cc(C(C)(C)C)ccc3[nH]2)C1"
"CHEMBL2219422","AFURESERTIB","Cn1ncc(Cl)c1-c1cc(C(=O)N[C@H](CN)Cc2cccc(F)c2)sc1Cl"
"CHEMBL1947204","ALLITINIB","C=CC(=O)Nc1ccc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2c1"
"CHEMBL6068078","VEONETINIB","COc1cc2c(Oc3ccc4[nH]c(C)cc4c3F)ccnc2cc1OCCN1CC(O)C2(CC2)C1"
"CHEMBL4594251","NETARSUDIL DIMESYLATE","CS(=O)(=O)O.CS(=O)(=O)O.Cc1ccc(C(=O)OCc2ccc([C@@H](CN)C(=O)Nc3ccc4cnccc4c3)cc2)c(C)c1"
