PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,,STRING,STRING,STRING
RESULT_DESCR,,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
1,381836971,137631686,C1C[C@H]2C(=O)N([C@@H](N2C1)CC3=CC=C(C=C3)[N+](=O)[O-])C4=CC=C(C=C4)[N+](=O)[O-],Active,,,Potential missing data,Inhibition,%,Active
2,381847778,137638873,C1C[C@H]2C(=O)N([C@@H](N2C1)C3=CC=CC=C3)C4=CC=C(C=C4)[N+](=O)[O-],Active,,,Potential missing data,Inhibition,%,Active
3,381852693,137642202,COC1=CC=C(C=C1)[C@@H]2N3CCC[C@H]3C(=O)N2C4=CC=C(C=C4)[N+](=O)[O-],Active,,,Potential missing data,Inhibition,%,Active
4,381855706,137644247,C1C[C@H]2C(=O)N([C@@H](N2C1)C3=CC=C(C=C3)C(F)(F)F)C4=CC=C(C=C4)[N+](=O)[O-],Active,,,Potential missing data,Inhibition,%,Active
5,381862003,137648517,C1C[C@H]2C(=O)N([C@@H](N2C1)C3=CC=C(C=C3)[N+](=O)[O-])C4=CC=C(C=C4)[N+](=O)[O-],Active,,,Potential missing data,Inhibition,%,Active
6,381864379,137650124,C1C[C@H]2C(=O)N([C@@H](N2C1)CC3=CC=CC=C3)C4=CC=C(C=C4)[N+](=O)[O-],Active,,,Potential missing data,Inhibition,%,Active
7,381868730,137653046,C1C[C@H]2C(=O)N([C@@H](N2C1)C3=CC=C(C=C3)Cl)C4=CC=C(C=C4)[N+](=O)[O-],Active,,,Potential missing data,Inhibition,%,Active
8,381878463,137656910,C1C[C@H]2C(=O)N([C@@H](N2C1)C3=CC(=CC=C3)[N+](=O)[O-])C4=CC=C(C=C4)[N+](=O)[O-],Active,,,Potential missing data,Inhibition,%,Active
9,381879467,137657335,CC(C)C1=CC=C(C=C1)[C@@H]2N3CCC[C@H]3C(=O)N2C4=CC=C(C=C4)[N+](=O)[O-],Active,,,Potential missing data,Inhibition,%,Active
10,440111225,155511487,C1C[C@H]2C(=O)N([C@@H](N2C1)CCC[C@@H]3N4CCC[C@H]4C(=O)N3C5=CC=C(C=C5)[N+](=O)[O-])C6=CC=C(C=C6)[N+](=O)[O-],Inactive,,,Potential missing data,Inhibition,%,Not Active
11,440116230,155514806,CC(C)(C)OC(=O)N[C@@H](CCSC)C(=O)NC1=CC=C(C=C1)[C@@H]2N3CCC[C@H]3C(=O)N2C4=CC=C(C=C4)[N+](=O)[O-],Inactive,,,Potential missing data,Inhibition,%,Not Active
12,440119097,147811267,C1C[C@H]2C(=O)N([C@@H](N2C1)C3=CC=C(C=C3)[C@@H]4N5CCC[C@H]5C(=O)N4C6=CC=C(C=C6)[N+](=O)[O-])C7=CC=C(C=C7)[N+](=O)[O-],Inactive,,,Potential missing data,Inhibition,%,Not Active
13,440119604,155517060,COC1=C(C=CC(=C1)[C@@H]2N3CCC[C@H]3C(=O)N2C4=CC=C(C=C4)[N+](=O)[O-])O,Inactive,,,Potential missing data,Inhibition,%,Not Active
14,440120645,155517754,C1C[C@H]2C(=O)N([C@@H](N2C1)C3=CC=CC=C3[N+](=O)[O-])C4=CC=C(C=C4)[N+](=O)[O-],Inactive,,,Potential missing data,Inhibition,%,Not Active
15,440134943,147337902,C1C[C@H]2C(=O)N([C@@H](N2C1)C3=CC=CO3)C4=CC=C(C=C4)[N+](=O)[O-],Inactive,,,Potential missing data,Inhibition,%,Not Active
16,440167020,155544566,CSCC[C@@H](C(=O)OC1=CC=C(C=C1)[C@@H]2N3CCC[C@H]3C(=O)N2C4=CC=C(C=C4)[N+](=O)[O-])N.Cl,Inactive,,,Potential missing data,Inhibition,%,Not Active
17,440176413,155548303,C1C[C@H]2C(=O)N([C@@H](N2C1)C3=CC=C(C=C3)O)C4=CC=C(C=C4)[N+](=O)[O-],Inactive,,,Potential missing data,Inhibition,%,Not Active
18,440216610,155564321,CC(C)(C)OC(=O)N[C@@H](CCS)C(=O)OC1=CC=C(C=C1)[C@@H]2N3CCC[C@H]3C(=O)N2C4=CC=C(C=C4)[N+](=O)[O-],Inactive,,,Potential missing data,Inhibition,%,Not Active
19,440225875,155567918,COC1=C(C=C(C=C1)C[C@@H]2N3CCC[C@H]3C(=O)N2C4=CC=C(C=C4)[N+](=O)[O-])OC,Inactive,,,Potential missing data,Inhibition,%,Not Active
20,440229439,153189098,C1C[C@H]2C(=O)N([C@@H](N2C1)C3=CC=CS3)C4=CC=C(C=C4)[N+](=O)[O-],Inactive,,,Potential missing data,Inhibition,%,Not Active
