PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,,STRING,STRING,STRING
RESULT_DESCR,,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
1,174488991,72711810,CCCC[C@@H](C(=O)N)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCN=C(N)N)NC(=O)C1=CC=C(C=C1)/C=C\2/C(=O)N(C(=S)S2)CC3=CC=CC=C3,Active,,,Potential missing data,Inhibition,%,Active
2,174504419,72712026,CCCC[C@@H](C(=O)N)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCN=C(N)N)NC(=O)C1=CC=C(C=C1)/C=C\2/C(=O)N(C(=S)S2)CC3=CC=C(C=C3)OC,Active,,,Potential missing data,Inhibition,%,Active
3,174525023,72711812,CCCC[C@@H](C(=O)N)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCN=C(N)N)NC(=O)C1=CC=C(C=C1)/C=C\2/C(=O)N(C(=S)S2)CC3=CC=C(C=C3)C,Active,,,Potential missing data,Inhibition,%,Active
