PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Primary % CPE Inhibition @ 20 uM (Rep 1),Primary % CPE Inhibition @ 20 uM (Rep 2)
RESULT_TYPE,,,,,,,,FLOAT,FLOAT
RESULT_UNIT,,,,,,,,PERCENT,PERCENT
2019,22406571,3366856,CC1CC2=CC=CC=C2N1C(=O)COC(=O)C3(CCCC3)C4=CC=CC=C4F,Inactive,1,,,0,1.7
2020,17513096,1866841,CCCS(=O)(=O)NC1=C(C=CC2=C1C(=C(N2C)C)C(=O)OCC)OC,Inactive,0,,,0,0
2021,22414204,999170,CCN1C=C(C(=N1)C(=O)NNC(=O)CCN2C(=C(C(=N2)C)[N+](=O)[O-])C)Cl,Inactive,0,,,0.28,0
2022,17504644,2278814,C1=CC=C(C=C1)CSCCNC(=O)CCSC2=CC=CC=C2,Inactive,0,,,0.06,0
2023,22408484,2592745,C1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)OCC(=O)NCC3=CC=C(C=C3)F,Inactive,0,,,0.77,0.38
2024,22408657,2532900,CC1=CSC(=N1)SCC(=O)NCCC2=CC=C(C=C2)OC,Inactive,0,,,0,0
2025,22408481,4800347,CC1=CC(=C(C=C1)NC(=O)C2=CC=C(C=C2)OCC3CCCO3)C,Inactive,1,,,0,3.59
2026,17432967,1017025,COC1=C(C(=CC(=C1)CNN2C=NNC2=S)Cl)OCC3=CC=C(C=C3)F,Inactive,0,,,0,0
2027,17513110,1975568,COC1=CC2=C(C=C1)N(C3=NC4=CC=CC=C4N=C23)CCCN5C(=O)C6=CC=CC=C6C5=O,Inactive,1,,,3.67,1.83
2028,17432965,9587475,C1=CC=C(C=C1)CC(=O)O/N=C(/CC2=C(C=C(C=C2)Cl)Cl)\N,Inactive,0,,,0,0
2029,17504884,3168690,C1=CC=C2C(=C1)C=CC=C2OCC(=O)NNC(=O)CSC3=NC=C(C(=N3)N)C#N,Inactive,0,,,0,0
2030,22407142,4882010,CC1CN(CCN1C2=CC=CC(=C2)C)C(=O)CC(C3=CC=CC=C3)NC(=O)C4=CC=CC=C4,Inactive,0,,,0,0.95
2031,22408338,4844339,CC(C(=O)NC1=NC=C(C=C1)Cl)SC2=NN=CS2,Inactive,1,,,0,1.85
2032,22408741,15945275,C1=CC=C(C=C1)C2=CC=CC=C2OCC(=O)NCCN3C(=O)/C(=C/C4=CN=CC=C4)/SC3=O,Inactive,1,,,3.74,2.07
2033,22408523,4801283,C1CCCC2(CCC1)C(=O)N(C(=O)N2)CC(=O)NC3CCCC4=CC=CC=C34,Inactive,1,,,0,1.81
2034,17432545,1280304,C1=CC=C2C(=C1)N=C(S2)C3=C(C=CC(=C3)NC(=S)NC(=O)/C=C/C4=CC=CO4)O,Inactive,2,,,5.14,2.83
2035,17512937,3464731,CC1=CC(=CC(=C1)NCC2=CC(=O)OC3=CC(=C(C=C23)O)C4=CC=CC=C4)C,Inactive,0,,,0.69,0
2036,17432971,1314765,CCOC1=C(C(=CC(=C1)CNN2C=NNC2=S)Cl)OCC3=CC=CC=C3F,Inactive,0,,,0.72,1.1
2037,17504710,1155576,CCC1=NN=C(S1)NC(=O)CSC2=NC(=NC3=CC=CC=C32)C4=CC=CC=C4,Inactive,0,,,0,0
2038,17432979,892026,C1CCCC(CC1)NC(=S)NC2=CC=C(C=C2)OC3=CC=CC=C3,Inactive,0,,,0,0.04
2039,17513118,1956104,CCOC(=O)C1=C(N(C2=C1C(=C(C=C2)OC)NS(=O)(=O)CC)C)C,Inactive,0,,,0.18,0
2040,17432829,1315772,COC1=C(C=C(C=C1)C2=CC(=NC(=C2C#N)OC)C3=CC=CS3)OC,Inactive,0,,,0.1,0.85
2041,17513018,2772172,C1CS(=O)(=O)CC1N(C2=CC=CC=C2)C(=O)CCl,Inactive,0,,,0,0
2042,17504719,809238,C1=CC=C2C=C(C=CC2=C1)OCC(=O)NNC(=O)C3=CC=CS3,Inactive,0,,,0,0
2043,22408350,6273043,COC1=C(C=C(C=C1)C2=CSC(=N2)/C=C/C3=CC4=C(C=C3)OCO4)OC,Inactive,0,,,0,0.89
2044,17506028,3170437,CC1=CC=C(C=C1)C(=O)NNC(=O)CCC(=O)NC2=NOC(=C2)C,Inactive,1,,,0,1.52
2045,22408547,15945261,CC1=CC(=C(N1C2=CC3=C(C=C2)OCO3)C)C(=O)CN4C(=O)C(NC4=O)(C)CC(C)C,Inactive,5,,,10.03,11.57
2046,22408512,2665614,COC1=CC=C(C=C1)OCCCC(=O)NC2=CC(=CC=C2)SC,Inactive,0,,,0,0
2047,17517031,3863973,CSCCC(C(=O)O)NC(=O)C1=C(C=CC(=C1)[N+](=O)[O-])Cl,Inactive,0,,,0,0.16
2048,22408362,2339607,CCCN1C(=O)C2=CC=CC=C2N=C1SCC3=CSC(=N3)C4=CC=CC=C4,Inactive,1,,,1.52,3.42
2049,22408739,2564901,C1=CC(=CC=C1CNC(=O)COC2=CC=C(C=C2)C(=O)C3=CC=C(C=C3)F)F,Inactive,0,,,0,0
2050,22408590,15945263,CC1=CC=C(C=C1)N2C(=NN=N2)SC(C3=CC=CC=C3)C(=O)C4=CNC5=CC=CC=C54,Inactive,0,,,0,0
2051,17433003,1315290,C1COCCN1C2=C(C=C(C=C2)NC(=O)CSC3=NC4=CC=CC=C4S3)Cl,Inactive,0,,,0.06,0.67
2052,17432828,892190,CC1=C(C=C(C=C1)[N+](=O)[O-])NC(=S)NC(=O)C2=CC=CO2,Inactive,3,,,0.55,8.57
2053,22406515,6409422,CC1=CC=C(C=C1)C2=NN=C(C3=CC=CC=C32)OC4=CC=C(C=C4)NC(=O)C5=CC=CC=C5OC,Inactive,0,,,0,1.21
2054,22408364,15945252,C1CC(C2=CC=CC=C2C1)NC(=O)COC3=C4C=CSC4=NC=N3,Inactive,0,,,0,0
2055,22408522,4801325,COC1=CC=CC=C1CNC(=O)C2=CC=C(C=C2)OCC3CCCO3,Inactive,0,,,0,0
2056,17433019,2941238,CC(=O)NC1=CC=C(C=C1)S(=O)(=O)N2CCN(CC2)C3=CC(=C(C=C3)[N+](=O)[O-])NCCN4CCOCC4,Inactive,0,,,0,0
2057,17513052,5881835,CC1=CC=CN2C1=NC(=C(C2=O)/C=C(\C#N)/C(=O)NCC3=CC=CO3)N4CCC(CC4)C(=O)N,Inactive,0,,,0,0.52
2058,17512996,12005679,CC1=CC=C(C=C1)C2=C[N+](=C3N2CCC3)CC(=O)N4C5=CC=CC=C5SC6=CC=CC=C64.[Cl-],Inactive,2,,,2.42,5.05
2059,17513066,5926970,CC1=CC=CN2C1=NC(=C(C2=O)/C=C(\C#N)/C(=O)NC)N(CC3=CC=CC=C3)CC4=CC=CC=C4,Active,7,,,15.67,18.39
2060,17512723,12005662,C1=CC(=CC=C1C(=O)C[N+]2=CN(N=C2)CC(=O)C3=C(C=C(C=C3)Cl)Cl)[N+](=O)[O-].[Br-],Inactive,0,,,0,0
2061,22408677,4802162,CC(C(=O)NC1=CC2=C(C=C1)OCCO2)SC3=NC=NC4=CC=CC=C43,Active,6,,,10.29,14.43
2062,22409007,15945290,CC1=CC=C(C=C1)OCC(CN2CC3(CC2CC(C3)(C)C)C)O.C(=O)(C(=O)O)O,Inactive,0,,,0,0
2063,22408423,3555817,CC1=C(C=CC=C1Cl)NC(=O)C2CC3=CC=CC=C3CN2C(=O)C4=CC=CC=C4,Inactive,0,,,0.69,1.23
2064,22408729,8903122,CC1=CC=C(C=C1)C2=NN=C(N2N)SCC(=O)NC(=O)NC3=C(C=C(C=C3)C)C,Inactive,1,,,0,1.54
2065,17513062,12005688,C1CC2=[N+](C=C(N2C1)C3=CC=CC=C3)CC(=O)NC4=NC(=CS4)C5=CC=C(C=C5)F.[Cl-],Active,7,,,16.37,17.55
2066,17432978,994926,C1=CC=C(C=C1)CNC(=O)C2=CC=CC(=C2)COC3=C(C=CC(=C3)Cl)Cl,Inactive,0,,,0,0
2067,17433010,892208,CCOC(=O)C1=C(N=C(C=C1C(F)(F)F)C2=CC=C(C=C2)F)C,Inactive,0,,,0,0
2068,17513051,12005687,C1CC2=[N+](C=C(N2C1)C3=CC=CC=C3)CC(=O)N4C5=CC=CC=C5SC6=CC=CC=C64.[Cl-],Inactive,2,,,1.53,4.35
2069,22402366,851776,C1=CC=C(C=C1)C2=NC(=O)NN2C3=CC=C(C=C3)Cl,Inactive,0,,,0.92,0
2070,22406567,7439216,C1CCC(CC1)NC(=O)COC(=O)[C@H](CC2=CC=CC=C2)NC(=O)C3=CC=CS3,Inactive,0,,,0.89,0
2071,22408772,4621398,CC(C)CN(C1CCS(=O)(=O)C1)C(=O)COC(=O)C2=CC=CC=C2SCC(=O)NC3CCCCCC3,Inactive,0,,,0,0
2072,17506030,3108520,CC1=CC=C(C=C1)OCC(=O)NNC(=O)C(=O)NC(C)(C)C,Inactive,0,,,0,0.26
2073,17432823,135425041,C1=COC(=C1)/C(=C(/C=NC2=CC=C(C=C2)Br)\C(=O)C(F)(F)F)/O,Inactive,0,,,0,0
2074,17513105,5922350,CC1=CC=CN2C1=NC(=C(C2=O)/C=C(\C#N)/C(=O)N)N3CCN(CC3)CC4=CC5=C(C=C4)OCO5,Inactive,1,,,1.41,0.4
2075,17504277,2901021,CCS(=O)(=O)N1CCN(CC1)CC2=CC=C(C=C2)[N+](=O)[O-].C(=O)(C(=O)O)O,Inactive,0,,,0,0
2076,22409006,3920347,C1=CC=C(C=C1)C(CNCC2=CC=CC=N2)O,Inactive,1,,,0,1.41
2077,17432840,2192454,C1=CC=C(C=C1)/C=C/CNN2C=NN=C2SCC3=CC=CC=C3Cl,Inactive,3,,,1.55,6.83
2078,17432839,2192456,CCN1CCN(CC1)C(=S)C2=CC=C(C=C2)[N+](=O)[O-],Inactive,0,,,0,0
2079,17513104,12005692,CC1=CC=C(C=C1)C2=C[N+](=C3N2CCC3)CC(=O)NC4=NC(=CS4)C5=CC=C(C=C5)F.[Cl-],Inactive,0,,,0,0
2080,22408365,2475007,CC(=O)NCCNC(=O)CNC(=O)C1=CC=C(C=C1)Cl,Inactive,1,,,0,1.46
2081,17504443,5346418,C1=CC=C2C=C(C=CC2=C1)OCC(=O)O/N=C(/C3=CN=CC=C3)\N,Inactive,1,,,0.47,1.7
2082,22408740,2609967,CCCCN1C(=O)C2=CC=CC=C2N=C1SCC3=NC4=CC=CC=C4S3,Inactive,0,,,0,0
2083,17432077,1259618,COC1=C(C=CC(=C1)/C=C(/C#N)\C2=CC=CC=C2F)OCC3=CC=CC=C3,Inactive,1,,,1.3,1.09
2084,17433763,972260,CN1CCN(CC1)C(=S)C2=CC=C(C=C2)[N+](=O)[O-],Inactive,0,,,0,0.22
2085,17433623,5737937,CCOC(=O)C1CCCN(C1)C(=O)/C=C/C2=CC=C(C=C2)[N+](=O)[O-],Inactive,0,,,0,0
2086,17517275,5140067,CC1=C(C=C(C=C1)S(=O)(=O)NC2=CC=C(C=C2)OC)NC(=O)NC3CCCCC3,Active,6,,,0.79,13.75
2087,17433723,2212288,COC1=CC=C(C=C1)CNC2=NC(=NN2C(=O)C3=CC=C(C=C3)[N+](=O)[O-])C4=CC=CC=C4,Inactive,0,,,0,0
2088,17433463,2211623,CS(=O)(=O)N(CC(=O)NC1=CC(=C(C=C1)F)F)C2=CC(=CC=C2)[N+](=O)[O-],Inactive,0,,,0,0
2089,22416844,2208092,CC1=C(C2=NC(=C(C(=O)N2N1)CC3=CC=CC=C3)C)C4=CC=C(C=C4)OC,Inactive,1,,,2.92,2.3
2090,22413399,3451289,CCNC(=O)C12CCC(C1(C)C)(C(=O)C2Br)C,Inactive,0,,,0,0.02
2091,17433500,1307870,C1CCC(CC1)N2C(=C(SC2=S)C=C3N=C4C=CC=CC4=N3)O,Inactive,0,,,1.02,0
2092,17433411,1339116,CC1=CC2=C(C=C1)N=C(S2)C3=CC=C(C=C3)NC(=O)CN(C4=CC(=CC(=C4)C)C)S(=O)(=O)C,Inactive,4,,,6.85,10.88
2093,17433718,2939316,C1=CC=C2C3C4C(C(C2=C1)C5=CC=CC=C35)C(=O)N(C4=O)C6=CC(=CC=C6)OC(=O)C7=CC=CO7,Inactive,2,,,2.38,6.06
2094,17507485,3112732,COC1=C(C=CC(=C1)C(=S)N2CCOCC2)OC(=O)C3=CC(=CC(=C3)[N+](=O)[O-])[N+](=O)[O-],Inactive,0,,,0,0
2095,17434053,2957400,CCCCC(=O)NC1=CC=C(C=C1)C(=O)NC2=C(C=C(C=C2)OC)[N+](=O)[O-],Inactive,0,,,0.17,0
2096,17433720,2189117,CCN1C(=O)/C(=C\C2=CC=C(O2)SC3=NC4=CC=CC=C4N3)/SC1=O,Inactive,3,,,6.42,8.04
2097,17433739,2188907,C1CCC(C1)N2C(=O)C3=CC=CC=C3N=C2SCC4=CC=CC=C4F,Inactive,0,,,0,0
2098,17433711,3116236,CCOC1=C(C=C(C=C1)C(=O)NC2=CC=C(C=C2)C3=NC4=CC=CC=C4N3)[N+](=O)[O-],Active,5,,,3.57,13.37
2099,17433713,1307500,CCC1=CC=C(S1)/C=C\2/C(=O)N(C(=S)N2CC(=O)OC)C3=CC=CC=C3,Inactive,2,,,0.61,4.82
2100,17507243,3143992,CC1=CC=C(C=C1)CN2C(=C(C(=N2)C)NC(=O)CSC3=NC4=C(CCC5=CC=CC=C54)C(=N3)C(F)(F)F)C,Inactive,4,,,7.07,10.47
2101,22413386,15945694,CC1CC(CN(C1)CCOCCSC2=CC=CC=C2)C.C(=O)(C(=O)O)O,Inactive,0,,,0,0
2102,17514201,3879592,COC1=CC=C(C=C1)C2C3=C(C=CC4=CC=CC=C43)OC5=C2C(=N)N(C=N5)CC6=CC=CO6,Inactive,0,,,0,0
2103,17432084,2959898,C1CCC(C1)NC(=S)N2CCN(CC2)CC(=O)NC3=CC=C(C=C3)OC4=CC=CC=C4,Active,6,,,8.28,16.02
2104,17433483,2957314,CCN1CCN(CC1)S(=O)(=O)C2=CC(=C(C=C2)C)[N+](=O)[O-],Inactive,0,,,0.74,0.07
2105,17433796,890737,CC1=CC=C(O1)/C=C/2\C(=O)N(C(=O)N2)CC3=CC=CC=C3F,Inactive,4,,,5.57,9.44
2106,17517281,4095030,CC1=CC=C(C=C1)C2=NN(C=C2C(=O)NC3=CC(=CC=C3)S(=O)(=O)N4CCOCC4)C5=CC=CC=C5,Inactive,1,,,0,1.92
2107,17433351,1307626,CC(C)C(=O)NC1=CC=CC(=C1)NC(=O)C2=C(C=C(C=C2)[N+](=O)[O-])Cl,Inactive,0,,,0,0
2108,17433738,890257,C1=CC=C(C(=C1)/C=C/C(=O)NC2=CN=CC=C2)[N+](=O)[O-],Inactive,0,,,0,0
2109,17505891,5587079,CNC(=O)/C(=C/C1=C(N=C2C=CC=CN2C1=O)N(CC3=CC=CC=C3)CC4=CC=CC=C4)/C#N,Active,8,,,8.44,19.67
2110,17507110,1735482,CC1=CC=C(C=C1)N2C(=NN=C2SCC(=O)N3C4=CC=CC=C4SC5=CC=CC=C53)C6=CC=NC=C6,Active,5,,,12.97,13.41
2111,17517306,3909303,C1COCCN1S(=O)(=O)C2=C(C=CC(=C2)NC(=O)CSC3=NC4=CC=CC=C4S3)Cl,Inactive,0,,,0,0.06
2112,17433353,2189927,CCCCC(=O)NC1=CC(=CC=C1)NC(=S)NC(=O)C(C)C,Inactive,0,,,0,0
2113,17433361,2940337,CC(CC1CC(OC1=O)(C)C)C(=O)NC2=CC=C(C=C2)[N+](=O)[O-],Inactive,1,,,0,2.11
2114,17433563,3719768,CCC(=O)NC(=S)NC1=CC=C(C=C1)NC(=O)C2=C(C=C(C=C2)[N+](=O)[O-])Cl,Inactive,0,,,0,0
2115,17434000,1366249,CC1=NN(C2=C1C3=CC(=C(C=C3C(=N2)C4=CC=CC=C4O)OC)OC)C5=CC=CC=C5,Inactive,1,,,1.38,1.09
2116,22415773,2271723,CCCOC(=O)C1=C(C=CC(=C1)C2=CC=C(O2)C=O)Cl,Inactive,1,,,1.37,1.13
2117,22409557,135521621,CCCC1=CC(=O)NC(=N1)SCC(=O)N2CCN(CC2)S(=O)(=O)C3=CC4=CC=CC=C4C=C3,Inactive,0,,,0,0
2118,17507515,1173186,CC1=C2C=C(C3=NN=C(N3C2=C(C=C1)C)SCC(=O)N4CCCC5=CC=CC=C54)C,Inactive,0,,,0.3,0
2119,17433479,2211619,CC1=C(C(=CC=C1)C(C)C)NC(=O)C2=CC=C(C=C2)CN(C3=CC=CC=C3)S(=O)(=O)C4=CC=CC=C4,Inactive,1,,,2.37,0.37
2120,17433754,1308454,CC1=C(C=CC(=C1)C(=O)NC(=S)NC2=CC=CC=C2N3CCCC3)[N+](=O)[O-],Inactive,0,,,0,0
2121,17517273,3878398,CN(CCC1=CC(=C(C=C1)OC)OC)C2=C(C=C(C=C2)S(=O)(=O)N3CCCC3)[N+](=O)[O-],Inactive,0,,,0,0
2122,17433425,2190747,CCCCNS(=O)(=O)C1=CC=C(C=C1)NC(=O)C2C3=CC=CC=C3OC4=CC=CC=C24,Inactive,0,,,0,0
2123,17433774,795623,COC1=CC=C(C=C1)C(=O)NNC(=O)CC2=CC=C(C=C2)[N+](=O)[O-],Inactive,1,,,0.16,1.41
2124,17433961,1584771,C1=CC=NC(=C1)C2=CC3=C(C=C(C=C3)OCC4=C(C(=C(C(=C4F)F)F)F)F)OC2=O,Inactive,1,,,0,3.08
2125,17433468,891018,COC1=CC(=C(C=C1)NC(=O)/C=C/C2=CC=CC=C2[N+](=O)[O-])OC,Inactive,0,,,0,0.88
2126,17433798,2939915,COC1=CC=C(C=C1)C2=CC(=O)OC3=C2C=CC(=C3)OC(C4=CC=CC=C4)C(=O)OC,Inactive,1,,,0,1.53
2127,17505801,5928404,COC1=CC=C(C=C1)/C=C/C2=NN=C(S2)NC(=O)OC,Inactive,3,,,6.95,7.03
2128,17507679,1168573,CN(C1CCCCC1)S(=O)(=O)C2=CC=C(C=C2)S(=O)(=O)N(CCC3=CC(=C(C=C3)OC)OC)CC4=CC=CS4,Inactive,0,,,0,0
2129,17510528,4249556,COC1=CC=C(C=C1)N2C(=O)C3=CC=CC=C3C(=N2)C(=O)NC4=NC5=C(S4)C=C(C=C5)OC,Inactive,3,,,1.58,6.52
2130,22405287,6599357,CC(C)[C@@H](C(=O)OCC(=O)NC1=C(C(=CC=C1)Cl)Cl)NS(=O)(=O)C2=CC3=C(C=C2)OCCO3,Inactive,0,,,0.4,0.85
2131,22413888,15945746,C=CCNCCCCOC1=CC=CC=C1.C(=O)(C(=O)O)O,Inactive,0,,,0,0.75
2132,17432185,2219521,CC1=CC=C(C=C1)SCC2=CC=C(C=C2)C(=O)NC3=CC=CC=C3Br,Inactive,0,,,0.04,0
2133,17517267,3918322,C1CCN(CC1)S(=O)(=O)C2=CC=CC(=C2)NC(=O)COC3=C(N=CC=C3)[N+](=O)[O-],Inactive,1,,,1.26,2.62
2134,17433470,1308368,CC1=CC=C(C=C1)S(=O)(=O)NC2=CC=CC=C2CNC3=CC=CC(=N3)C,Inactive,0,,,0,0.57
2135,17433735,2940335,COC(=O)C1=CC=C(C=C1)OC(=O)CCN2C(=O)C3C(C2=O)C4C5=CC=CC=C5C3C6=CC=CC=C46,Inactive,0,,,0,0
2136,17433802,709809,CC1=CC=CC=C1C(=O)NC2=C3CCCCC3=NC4=CC=CC=C42,Inactive,0,,,0,0
2137,17433797,2060247,CCOC(=O)C1=CC=CC(=C1)C2=CC=C(O2)C=O,Inactive,1,,,3.45,0.93
2138,22406519,4050170,CN(C)P(=O)(CCl)NC1=CC=CC=C1,Inactive,1,,,0,1.47
2139,22407979,2472292,C1CCC(CC1)C(=O)NCC(=O)OCC2=CC(=O)OC3=C2C4=CC=CC=C4C=C3,Inactive,0,,,0,0
2140,17513842,5920659,CC1CCCN(C1)C2=C(C(=O)N3C=CC=C(C3=N2)C)/C=C(\C#N)/C(=O)NCC4=CC=CO4,Active,7,,,17.29,5.23
2141,17433324,2304323,CC1=CC=C(C=C1)S(=O)(=O)/C(=C/C2=CC=CC=C2OCC3=CC=CC=C3)/C#N,Inactive,2,,,4.73,4.43
2142,17432183,1244464,CC1=CC=C(O1)CCC(=O)NC2=NC=C(S2)CC3=C(C(=CC=C3)Cl)Cl,Inactive,0,,,0,0
2143,17433722,2212212,C1=CC=C(C=C1)C2=NN(C(=N2)NCC3=CC=C(C=C3)F)C(=O)C4=CC=C(C=C4)[N+](=O)[O-],Inactive,0,,,0,0
2144,17433471,2939568,C1CN(CCN1)C2=C(C=C(C=C2)[N+](=O)[O-])C(=O)N3CCOCC3,Inactive,0,,,0,0.21
2145,17433734,1309706,CCN1C(=CC(=C1C)/C=C/2\C(=O)NC(=S)S2)C,Inactive,0,,,0,0.25
2146,17433805,5738061,C1=CC=C(C=C1)CCN2C(=NC3=CC=CC=C3C2=O)/C=C/C4=CC=CC=C4,Inactive,0,,,0,0.79
2147,17433781,890933,C1=CC=C(C(=C1)/C=C/C(=O)NCC2=CN=CC=C2)[N+](=O)[O-],Inactive,0,,,0,0
2148,22404390,997434,C1=CC(=CC=C1CN2C=C(C=N2)Br)NC(=O)CN3C=C(C=N3)[N+](=O)[O-],Inactive,0,,,0,0
2149,22405978,725639,CCC1=NC(=C(O1)N2CCOCC2)C#N,Inactive,1,,,0,1.31
2150,22405608,2355202,C1CCC(C1)CCC(=O)OCC(=O)NC2=C(C=C(C=C2)Cl)F,Inactive,0,,,0,0
2151,17514195,135493381,C/C(=N\N1CCN(CC1)C)/C2=C(N(C(=O)NC2=O)CC3=CC=CC=C3)O,Inactive,0,,,0,0
2152,17433676,135408129,C1=CC=C(C=C1)C2=C(C(=O)NC(=N2)SCC(=O)N(C3=CC=CC=C3)C4=CC=CC=C4)C#N,Inactive,0,,,0,0
2153,17516830,3943425,CC(C(=O)NC1=C(C=C(C=N1)Cl)Cl)OC(=O)C2=CC(=C(C=C2)Cl)S(=O)(=O)N3CCC4=CC=CC=C43,Inactive,0,,,0,0.82
2154,17433678,2211719,COC1=CC=C(C=C1)CSCC(=O)NC2=CC=C(C=C2)S(=O)(=O)N3CCCCCC3,Inactive,3,,,2.03,7.88
2155,17516259,2348253,C1=CC=C(C=C1)NC(=O)COC(=O)C2=CC=C(C=C2)CSC3=CC=C(C=C3)Cl,Inactive,0,,,0,0
2156,17433412,1339139,CC1=C(C=C(C=C1)C2=NC3=CC=CC=C3N2)NC(=S)NC(=O)C4=C(C=CC(=C4)Br)OC,Inactive,1,,,0,2.56
2157,17434054,2957432,COC1=CC=CC=C1CN2C(=O)C3=CC=CC4=C3C(=CC=C4)C2=O,Inactive,1,,,2.08,3.04
2158,17505068,865235,CC1=CC2=NC3=NNC(=C3C=C2C=C1)N,Inactive,0,,,0,0
2159,22406518,2350093,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)NC(=O)COC(=O)C3=CC(=NC4=CC=CC=C43)C5=CC=C(C=C5)C6=CC=CC=C6,Inactive,2,,,0,4.94
2160,17517279,5215129,C1CCN(CC1)S(=O)(=O)C2=CC=CC(=C2)NC(=O)C3=CC=CC=C3NS(=O)(=O)C4=CC=C(C=C4)F,Inactive,2,,,1.81,3.92
2161,17433624,5172195,CCC(=O)NC(=S)NC1=CC=C(C=C1)NC(=O)C2=CC=CC=C2[N+](=O)[O-],Inactive,0,,,0,0
2162,17433475,2211282,CCOC(=O)C1=C(SC2=C1CCCC2)NC(=O)C3=CC=CC=C3N(C)S(=O)(=O)C4=CC=CC=C4,Inactive,0,,,0,0.45
2163,17434025,2211281,C1CCN(C1)S(=O)(=O)C2=CC=C(C=C2)NC(=O)C3=CC=C(C=C3)CN4CCC5=CC=CC=C5C4,Inactive,0,,,0,0
2164,22416474,896934,CC1=C(C(=NO1)C2=CC=CC=C2)C(=O)NC3=C(SC=C3)C(=O)OC,Inactive,0,,,0,0
2165,17433682,2212014,C1=CC=C(C=C1)OC2=C(C=C(C=C2)Cl)NC(=O)CSC3=CC=CC=C3,Inactive,2,,,0.85,6.12
2166,22406263,2320398,CC1=C(C=C(C=C1)NP(=O)(C2=C(C=C(C=C2)N(C)C)NC(=O)C3=CC=CS3)N4CCOCC4)Cl,Active,13,,,32.59,24.8
2167,17512690,6407273,C1=CC=C(C=C1)C2=C(N=NC(=N2)SCC(=O)NC3=NC=C(C=C3)Br)C4=CC=CC=C4,Inactive,2,,,3.86,2.73
2168,17512579,1970419,CC1=CC=CC=C1NC(=O)CSC2=NC(=C3C4=C(CSC(C4)(C)C)SC3=N2)N,Active,7,,,18.62,12.72
2169,17512622,691257,C1=CC=C(C(=C1)C(=O)/C=C(\C(F)(F)F)/N)O,Inactive,0,,,0.7,0
2170,17432686,2869987,COC1=C(C=CC(=C1)C2CC(=O)C3=C(N2)C=CC4=CC=CC=C43)O,Inactive,0,,,0.12,0.83
2171,22406426,1047653,CC1=CC=C(C=C1)S(=O)(=O)NC2=C(C=C(C=C2)Cl)C(=O)C3=CC=CC=C3,Inactive,0,,,0.79,0.16
2172,22406818,2376901,C1=CC=C(C=C1)NC(=O)CCC2=NC3=CC=CC=C3S2,Inactive,0,,,0.02,0
2173,17512725,6418831,CC(C(=O)NC1=CC=CC=C1)SC2=NC3=C(C4(CCC3C4(C)C)C)N=N2,Inactive,2,,,1.64,5.72
2174,17516067,3287323,CCCCN1C2=CC=CC=C2N=C(C1=O)CCC(=O)OC(C)C(=O)NC3=C(C(=CC=C3)Cl)Cl,Inactive,1,,,1.16,1.9
2175,17512878,910952,CC1=NC2=CC=CC=C2N=C1OCC3=CC=CC=C3,Inactive,0,,,0,0
2176,17517218,2380472,C1=CC=C(C=C1)CCNC(=O)COC(=O)CCSC2=CC=C(C=C2)Cl,Inactive,0,,,0,0
2177,17432300,1254657,C1=CC=C2C(=C1)C=C(O2)C(=O)NCC3=CC=C(C=C3)C4=NC5=CC=CC=C5S4,Inactive,1,,,0.86,2.23
2178,22406169,5060571,C1CCC(C1)NC(=O)COC(=O)CCC2=CC=C(C=C2)S(=O)(=O)N3CCOCC3,Inactive,0,,,0,0.04
2179,22406611,4650542,CC1=CC(=C(C=C1Br)C)SCC(=O)NN=C2CCN(CC2)C(=O)C,Inactive,0,,,0,0
2180,17512856,5009403,CC1=C(C=C(C=C1)C2=NN=C(C3=CC=CC=C32)NC4=CC=C(C=C4)C(=O)NC)S(=O)(=O)NCC5CCCO5,Inactive,0,,,0.11,0
2181,17512586,4261147,CC1CN(CC(O1)C)C(=S)SCC(=O)C2=CC=C(C=C2)Cl,Inactive,0,,,0.7,0.14
2182,17432327,1364321,C1=CC=C(C=C1)OC2=CC=CC=C2NC(=O)CSC3=CC=C(C=C3)Cl,Inactive,0,,,0.12,0.63
2183,22406439,2337895,CC1=C(C(=CC=C1)C)NC(=O)COC(=O)CCC2=CC=C(C=C2)S(=O)(=O)N3CCCCC3,Inactive,0,,,0,0
2184,22406552,3564710,CC1=CC(=NN1C2=CC=C(C=C2)C(=O)NC3=CC(=CC=C3)S(=O)(=O)N(C)C)C,Inactive,0,,,0,0
2185,22406430,3434869,CC1=CC=C(C=C1)NC2=NN=C(S2)SCC(=O)NC3=CC(=CC=C3)S(=O)(=O)N4CCCCC4,Inactive,5,,,12.81,11.25
2186,22406371,2530327,CC1=NN=C(N1CC2=CC=CC=C2)SCC3=CC(=O)OC4=C3C5=CC=CC=C5C=C4,Inactive,0,,,0,0
2187,22406056,2453841,CCN1C(=NC2=C1C=CC(=C2)C(=O)NNC(=O)CCC3CCCC3)C,Inactive,0,,,0,0
