PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Primary % CPE Inhibition @ 20 uM (Rep 1),Primary % CPE Inhibition @ 20 uM (Rep 2)
RESULT_TYPE,,,,,,,,FLOAT,FLOAT
RESULT_UNIT,,,,,,,,PERCENT,PERCENT
38,14719387,668887,COC1=C(C(=CC=C1)OC)C(=O)N(CC=C)CC=C,Inactive,1,,,0,1.75
39,14719388,2056354,CCCCCC(=O)C1=C(NC(=C1C)C(=O)OCC)C,Inactive,1,,,0,1.46
40,14719389,2839645,CN1C(=O)CC(C1=O)N2CCN(CC2)C3=CC=C(C=C3)Cl,Inactive,0,,,0.22,0
41,14719396,538214,CCCCCCOC1=C(C=C(C=C1)C(=O)O)C#N,Inactive,3,,,0,6.5
42,17506447,2839876,C1CCN(C1)S(=O)(=O)C2=CC=C(C=C2)C3=CSC(=N3)NC4=CC=C(C=C4)F.Br,Inactive,2,,,0.63,4.3
43,17504654,3089590,C1=CC(=CC(=C1)[N+](=O)[O-])C2=NC(=NN2)N,Inactive,0,,,0.97,0
44,17506473,2840206,CN(C)C1=CC=CC2=C1C(=O)C3=CC=CC=C3C2=O,Inactive,0,,,0,0
45,7974927,712620,CCOC(=O)C1=CC2=C(C(=CC=C2)CC=C)OC1=O,Inactive,0,,,0,0
46,17508411,794144,CCCC1CCC(CC1)C2=CC=C(C=C2)C(=O)NN,Inactive,0,,,0.06,0.26
47,17431662,2841371,CCOC(=O)C1=C[N+](=CC=C1)CC(=O)C2=CC=CC=C2.[Br-],Inactive,0,,,0,0.9
48,22400464,795389,CC1=CC=C(C=C1)S(=O)(=O)NNC(=O)OC,Inactive,1,,,0,3.03
49,17507718,2166838,CCCCCC(=O)NNC(=O)C1=CC=C(C=C1)F,Inactive,0,,,0,0
50,17431930,5177733,C1=CC(=CC=C1C2=CN=C(N=C2)NO)[N+](=O)[O-],Inactive,0,,,0,0
51,17507978,796265,C1CCC2=C(C1)C(=C(S2)NC(=S)NC(=O)C3=CC=CC=C3)C#N,Inactive,1,,,1.86,0.33
52,17504819,738894,C1CC2=C(C1)SC(=C2C#N)NC(=S)NC(=O)C3=CC=CC=C3,Inactive,1,,,3.14,1.04
53,17507584,2842787,CC1=C(C=C(C=C1)C(=O)NCC2CCCO2)[N+](=O)[O-],Inactive,0,,,0,0
54,17508656,555185,COC1=C(C=NN(C1=O)C2=CC=CC=C2)Cl,Inactive,1,,,2.13,1.43
55,17508701,77298,CN(C)C1=C(C(=O)N(N=C1)C2=CC=CC=C2)Cl,Inactive,0,,,0,0.02
56,22413670,692738,C1CN(CC2=CC=CC=C21)C(=O)C3=CC=CC=C3[N+](=O)[O-],Inactive,1,,,0,1.56
57,17433663,2057784,C1CCN(C1)CCCCCOC2=CC=CC=C2F,Inactive,1,,,1.05,1.63
58,17431906,2057812,C1CCN(CC1)CCCCOC2=CC=C(C=C2)[N+](=O)[O-],Inactive,0,,,0,0
59,22413811,675812,CC1=C(C=CC=C1[N+](=O)[O-])NC(=O)C2=CC=CC=C2,Inactive,0,,,0,0
60,17506282,783852,COC1=CC(=C(C=C1)NCC2=CC=C(S2)[N+](=O)[O-])OC,Active,6,,,8.85,14.85
61,17506287,784124,COC1=CC=CC=C1CCNC2C3CC4CC(C3)CC2C4,Inactive,0,,,0,0
62,17505972,784128,COC1=CC=CC=C1NCC2=CC=C(S2)[N+](=O)[O-],Inactive,0,,,0,0
63,17506288,784221,C1=CC(=C(C=C1NCC2=C(C=CC(=C2)Cl)[N+](=O)[O-])F)F,Inactive,0,,,0,0
64,17506291,784287,C1=CC=C(C(=C1)CNC2=CC(=C(C=C2)F)Cl)[N+](=O)[O-],Inactive,0,,,0.06,0
65,17506146,784339,COC1=CC=CC(=C1)NCC2=CC=C(S2)[N+](=O)[O-],Inactive,0,,,0,0
66,17506839,784343,COC1=C(C=C(C=C1)C2=CC=CC=C2)NCC3=CC=CC=C3OC,Inactive,1,,,1.72,1.34
67,17506767,2846785,CC(CCC1=CC=C(C=C1)OC)NC2=CC=CC=C2F,Inactive,1,,,0.11,2.7
68,17506817,1987875,C1=CC=C2C=C(C=CC2=C1)OCCOCCBr,Inactive,1,,,1.64,0.02
69,17506248,760036,CCN1C2=CC=CC=C2C(=C1OCC)/C=C(\C#N)/C(=O)OCC,Inactive,0,,,0.4,0.14
70,17434123,2847808,CCNC1=C(C=CC2=C1C(=O)C3=CC=CC=C3C2=O)C(=O)O,Inactive,0,,,0,0
71,17507924,5340178,CC1=CC=C(C=C1)/C=C(\C#N)/C2=NN(C(=C2C#N)N)C3=CC=CC=C3,Inactive,3,,,7.91,6.37
72,17508386,12004717,COC1=C(C=C(C=C1)[N+](=O)[O-])NCC2=CC=CC=C2.C(=O)(C(=O)O)O,Inactive,0,,,0,0
73,17507825,698945,C1CCC(=NNC2=NC(=CS2)C3=CC4=CC=CC=C4OC3=O)C1,Inactive,0,,,0,0.3
74,17507494,5334847,C1=CC=C2C(=C1)NC(=N2)/C(=C/C3=CC=CS3)/C#N,Inactive,0,,,0,0
75,17508670,2852574,CCOC1=CC(=C(C=C1)NC(=O)C2=CC=CO2)[N+](=O)[O-],Inactive,0,,,0.28,0.16
76,17508385,596243,CC1=C(C=C(C=C1)C(=O)N2C3=CC=CC=C3N=N2)[N+](=O)[O-],Inactive,0,,,0,0
77,14728823,773714,C1=CC=C(C(=C1)NC(=O)C2=CC=C(O2)Br)F,Inactive,0,,,0,0
78,17503735,3544983,CC1=C2C(=C(C=C1)N3CCOCC3)C(=O)C4=CC=CC=C4C2=O,Inactive,0,,,0,0
79,17508760,2858154,CC(CSC1=NC2=C(N1C)C=CC(=C2)OC)O,Inactive,0,,,0,0
80,17504450,1870873,C1=CC=C(C=C1)CCNC(=O)C(=O)NC2=NC=CS2,Inactive,0,,,0,1.03
81,22412765,2859745,CN1C2=C(C=C(C=C2)OC)N=C1NCCO,Inactive,0,,,0,0.19
82,22413436,1046559,CC1=C(C(=NN1CC(=O)NCC2=CC=CC=C2)C(F)(F)F)Br,Inactive,0,,,0,0.49
83,17507259,1677703,C=CCN1C(=NNC1=S)CCN2C3=CC=CC=C3C4=CC=CC=C42,Inactive,0,,,0,0
84,17509159,749108,CC1=C(C(=NN1CC(=O)N2CCCC3=CC=CC=C32)[N+](=O)[O-])Cl,Inactive,0,,,0.64,0
85,17508092,1046560,CC1=C(C(=NN1CC(=O)NC2=CC(=CC(=C2)OC)[N+](=O)[O-])C(F)(F)F)Br,Inactive,1,,,1.7,2.05
86,17507242,2862990,CCCN1C2=CC=CC=C2C(C1=O)CC3=NC4=CC=CC=C4C(=O)N3C5=CC=CC=C5,Inactive,0,,,0.17,0.43
87,17507684,713817,CC(C)OC1=C(C=C(C=C1)C(=O)C)CC2=C(N=C(NC2=O)N)O,Inactive,0,,,0,0.7
88,56321096,2866210,CC1=CC2=C(C=C1)OC(=N2)C3=CC(=CC=C3)NC(=O)C4=CC(=C(C(=C4)OC)OC)OC,Inactive,1,,,0.9,1.95
89,17514743,12005885,C1CN(CCN1CC(COCC2COC3=CC=CC=C3O2)O)C4=CC=C(C=C4)F.Cl,Inactive,0,,,0,0
90,17433699,2868513,C1=CC(=CC=C1C(CC(=O)O)N)Br.Cl,Inactive,0,,,0,0.09
91,17433489,2868567,C1=CC(=CC=C1C(CC(=O)O)N)F.Cl,Inactive,1,,,0.04,1.98
92,22405228,832844,C1=CC=C(C=C1)NC(=S)NC2=CC=C(C=C2)C#N,Inactive,0,,,0,0
93,17432656,1911771,CC1=CC=C(C=C1)N2C(=O)/C(=C\C=C\C3=CC=CO3)/C(=O)NC2=O,Inactive,0,,,0,0
94,17431888,1919175,COC1=CC=C(C=C1)NC(=O)/C(=C/C2=CN=CC=C2)/NC(=O)C3=CC=CS3,Inactive,1,,,0.02,1.54
95,17509054,799675,COC1=C(C=C(C=C1)CSC2=NC=NN2)[N+](=O)[O-],Inactive,0,,,0,0
96,17508146,1069573,C1CCC2(CC1)CC3=CC=CC=C3C4=C2C(=O)N(C(=N4)SCC(=O)N)C5=CC=CC=C5,Active,7,,,9.62,17.21
97,17433695,2876681,CCC(=O)NC(C1=CC=CC=C1Cl)C2=C(C=CC3=CC=CC=C32)O,Inactive,2,,,4.2,3.94
98,17433491,877874,CCC(=O)NC1=CC(=CC=C1)NC(=O)C2=CC=CC=C2Br,Inactive,0,,,0.8,0
99,17431945,5345820,C1=CC=C(C=C1)C(=O)CN/C=C\C(=O)C2=CC3=CC=CC=C3C=C2,Inactive,0,,,0,0
100,17432716,878032,COC1=C(C=C(C=C1)C(=O)NCC2=CC=CC=C2)Br,Inactive,0,,,0,0
101,17506428,878169,CC1=C(C=CC=C1[N+](=O)[O-])C(=O)NC2=CC=C(C=C2)CC3=CC=NC=C3,Inactive,1,,,3.27,3.03
102,17504645,761628,C1=CC2=C3C(=C1)NC(NC3=CC=C2)C4=CC(=C(C=C4)Cl)[N+](=O)[O-],Inactive,0,,,0,0.89
103,17503760,2886188,C1COCCN1CCCNS(=O)(=O)C2=CC=CC(=C2)[N+](=O)[O-],Inactive,0,,,0,0
104,17416397,875154,CC1=CC(=NC=C1)NC(=S)NC(=O)C2=CC=CO2,Inactive,0,,,0.54,0.62
105,17507127,842265,COC1=C(C=CC(=C1)SC)C(=O)NCC2=CC=CC=C2,Inactive,0,,,0,0
106,17507400,2889708,CCOC1=CC2=C(C=C1)N=C(S2)SC3CC(=O)N(C3=O)C4=CC(=CC=C4)OC,Inactive,0,,,0.02,0
107,17508797,2890949,C1CCN(C1)C2=CC=CC3=C2C(=O)C4=CC=CC=C4C3=O,Inactive,1,,,1.77,0
108,17504611,2893041,C1=CC=C2C(=C1)C(=C(S2)C(=O)NC3=CC=C(C=C3)NC(=O)C4=CC=CO4)Cl,Inactive,0,,,0,0
109,17509180,817344,CC1=CC(=NC=C1)NC(=S)NC(=O)C2=CC=CS2,Inactive,0,,,0,0
110,17509033,1139315,COC1=C(C=C(C=C1)C(=O)NC(=S)NC2=CC(=C(C=C2)N3CCOCC3)Cl)[N+](=O)[O-],Inactive,2,,,5.82,1.66
111,22415756,2279646,COC1=CC(=CC(=C1OC)OC)C(=O)NC(=S)NC2=CC=C(C=C2)NC(=O)C3=CC=CO3,Inactive,1,,,1.3,2.12
112,17508730,802081,CC1=CC(=NC=C1)NC(=S)NC(=O)C2=CC(=C(C=C2)OC)[N+](=O)[O-],Inactive,2,,,3.77,3.36
113,22415687,881547,CC1=C(C=CC=C1[N+](=O)[O-])C(=O)NC(C(C)C)C(C)C,Inactive,0,,,0.06,0
114,17507316,2897084,CC1=C(C=C(C=C1)S(=O)(=O)N2CCCCCC2)[N+](=O)[O-],Inactive,0,,,0,0
115,22415632,881638,COC1=CC=C(C=C1)C(=O)NC(=S)NC2=CC=CC=C2F,Inactive,0,,,0,0.93
116,22415524,881735,C1CC1NC(=O)CSCC2=CC=C(C=C2)[N+](=O)[O-],Inactive,1,,,0.76,3.49
117,22415533,881743,C1=CC=NC(=C1)CCNC(=S)NC2=CC(=C(C=C2)Cl)Cl,Inactive,0,,,0,0.1
118,22415532,881746,COC(=O)C1=CC=CC=C1NC(=S)NC(=O)C2=CC=CC=C2F,Inactive,0,,,0,0
119,22415638,2897606,C1CC2CC1CC2NC(=O)CSCC3=CC=C(C=C3)[N+](=O)[O-],Inactive,0,,,0,0.49
120,22415536,2282192,CC(C)C(C(C)C)NC(=O)CSCC1=CC=C(C=C1)[N+](=O)[O-],Inactive,0,,,0,0
121,22415537,2282231,CC1=CC=C(C=C1)CSCCNC(=O)C2=CC(=CC=C2)[N+](=O)[O-],Inactive,0,,,0,0.43
122,22416356,5350477,C1CC2CC1CC2NC(=O)/C=C/C3=CC(=CC=C3)[N+](=O)[O-],Inactive,0,,,0.25,0
123,22415810,5286661,CC(=O)N/C(=C\C1=CC=C(C=C1)F)/C(=O)N(C)C,Inactive,0,,,0,0
124,22416358,882096,C1=CC=C(C(=C1)CNC(=O)CC2=CC=C(C=C2)[N+](=O)[O-])Cl,Inactive,0,,,0,0.36
125,22416360,882126,C1CN(CCN1C2=CC=CC=N2)C(=O)C3=CC(=C(C=C3)Cl)[N+](=O)[O-],Inactive,0,,,0.19,0
126,22416252,882131,C1OC2=C(O1)C=C(C=C2)CNC(=O)CC3=CC=C(C=C3)[N+](=O)[O-],Inactive,0,,,0,0
127,22416251,2282508,COC1=CC=CC=C1OCCOC(=O)NC2=CC=CC=C2,Inactive,0,,,0.04,0
128,22416391,2282513,CCN(CC)C(=S)SCCC(=O)NC(=O)OC1=CC=CC=C1,Inactive,1,,,1.43,2.45
129,22416397,882136,CCOC(=O)CC1=CSC(=N1)NC(=O)CC2=CC=C(C=C2)[N+](=O)[O-],Inactive,0,,,0,0
130,22416399,882157,CC(=O)NC1=CC=CC=C1NC(=O)C2=CC=CC3=CC=CC=C32,Inactive,0,,,0,0.68
131,22416250,2282629,COC(=O)/C(=C/C1=CC=CO1)/NC(=O)C2=CC=CC=C2,Inactive,0,,,0,0
132,22416400,2282640,CCN(CC)C(=O)/C(=C/C1=CC=C(C=C1)F)/NC(=O)C,Inactive,0,,,0,0.48
133,22416249,2282652,CC1=CC(=CC=C1)OCCOC(=O)NC2=CC=CC=C2,Inactive,0,,,0,0.2
134,22416241,882422,C1=CC=C(C(=C1)C(=O)NC(=S)NCC2=CN=CC=C2)[N+](=O)[O-],Inactive,0,,,0,0
135,17433146,733258,CC1=CC=C(C=C1)CSCC(=O)NC2=CC=C(C=C2)F,Inactive,0,,,0,0
136,17432671,2283112,C/C=C/C1=CC(=C(C=C1)OCCOC2=C(C=CC(=C2)C=O)OC)OC,Inactive,5,,,6.74,12.9
137,17432934,2898787,CC1=C(C=C(C=C1)C(=O)C2=C(C=CC(=C2)[N+](=O)[O-])N3CCOCC3)C,Inactive,1,,,1.83,1.91
138,22403346,2898808,COC1=C(C=CC(=C1)C=O)OCCOC2=CC=CC=C2[N+](=O)[O-],Inactive,0,,,0.19,0
139,17432932,2284152,CC(=O)NC1=CC=C(C=C1)S(=O)(=O)NCCSCC2=CC(=CC=C2)Cl,Inactive,1,,,0.82,1.31
140,17432931,1337939,CCOC1=C(C=C(C=C1)C(=O)NC2=CC=CC(=C2C)C3=NC4=CC=CC=C4N3)[N+](=O)[O-],Inactive,1,,,2.49,1.26
141,22403148,2284259,C1=CC=C(C=C1)CSCCNC(=O)C2=CC=CC=C2,Inactive,1,,,0.38,1.35
142,17432779,2284415,COC1=C(C(=CC=C1)OC)OCCCOC2=C(C=C(C=C2)[N+](=O)[O-])Cl,Inactive,0,,,0.4,0.37
143,22404473,2284450,C1=CC=C(C=C1)CSCCNC(=O)C2=CC=C(C=C2)F,Inactive,0,,,0,0
144,22403207,882968,CC(C)C(C(C)C)NC(=O)/C=C/C1=CC(=CC=C1)[N+](=O)[O-],Inactive,1,,,1.85,1.43
145,17432775,1338433,CCOC1=C(C=C(C=C1)C(=O)NC(=S)NC2=CC(=C(C=C2)N3CCOCC3)Cl)[N+](=O)[O-],Inactive,0,,,0.23,0.58
146,22403151,2284565,C1=CC=C(C=C1)CSCCNC(=O)/C=C/C2=CC=CC=C2,Inactive,0,,,0,0
147,22403786,2284606,COC1=C(C=CC(=C1)C=O)OCCCOC2=CC=CC=C2[N+](=O)[O-],Inactive,0,,,0.34,0.41
148,17432713,2284676,COC1=CC=C(C=C1)OCCOC2=CC=CC=C2[N+](=O)[O-],Inactive,0,,,0.64,0.16
149,17432736,2899272,CCOC(=O)C(C(C1=CC=CC=C1)NC2=CC=CC=C2)C(=O)OCC,Inactive,1,,,0,1.27
150,22403799,1338705,CCOC1=C(C=C(C=C1)C(=O)NC(=S)NCC2=CN=CC=C2)[N+](=O)[O-],Inactive,1,,,2.07,1.6
151,17432819,5730500,CCOC(=O)/C=C/C(=O)NC1=CC=CC=C1C2=CC=CC=C2NC(=O)/C=C/C(=O)OCC,Inactive,0,,,0,0
152,17432817,2899493,CC1=CC=C(C=C1)CSCCNS(=O)(=O)C2=CC=CC=C2,Inactive,0,,,0,0
153,17433022,5730502,C1=CC(=CC(=C1)Cl)CSCCNC(=O)/C=C/C2=CC(=CC=C2)[N+](=O)[O-],Inactive,2,,,1.63,4.96
154,17432800,5730504,C1=CC=C(C(=C1)CSCCNC(=O)/C=C/C2=CC(=CC=C2)[N+](=O)[O-])Cl,Inactive,0,,,0,0
155,17432816,1338821,CCOC1=C(C=C(C=C1)C(=O)NC(=S)NC2=C(C=CC=N2)C)[N+](=O)[O-],Inactive,2,,,3.02,5.65
156,22403266,2899639,C1=CC=C(C=C1)OCCOC2=CC=CC3=C2N=CC=C3,Inactive,0,,,0,0
157,22403291,2289178,CC1=CC=C(C=C1)CSCCNC(=O)C2=CC=CC=C2,Inactive,0,,,0.72,0.04
158,22403227,2291974,COC1=C(C=CC(=C1)C=O)OCCCOC2=CC=C(C=C2)[N+](=O)[O-],Inactive,3,,,7.61,6.5
159,22404481,741348,CC1=NN=C(N1N)SCC2=CC=C(O2)C(=O)OC,Inactive,1,,,0.75,2
