PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,,STRING,STRING,STRING
RESULT_DESCR,,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
1,440111351,155511568,CC1=CN=CN1C(C)C(=O)NCC2=C(N=CC=C2)C3CCCN(CC3)C,Inactive,,,Potential missing data,Inhibition,%,Not Active
2,440124834,46984179,CN1CCCC1CCNC2=NC=CC(=N2)C3=CN(N=C3)C4=CC=CC=C4OC,Inactive,,,Potential missing data,Inhibition,%,Not Active
3,440146774,45252778,CN1CCCC1CCNC2=NC=CC(=N2)C3=CN(N=C3)C4=CC(=CC=C4)OC,Inactive,,,Potential missing data,Inhibition,%,Not Active
