PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,,STRING,STRING,STRING
RESULT_DESCR,,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
1,440169237,155545440,C[C@@H](C1=CC=C(C=C1)Cl)N2C3=C([C@]4(CC(=O)N3)C5=C(C=CC(=C5)Cl)N(C4=O)CCOC(=O)CCCCCCCNC(=O)CCCC[C@H]6[C@@H]7[C@H](CS6)NC(=O)N7)N=N2,Inactive,,,Potential missing data,Inhibition,%,Not Active
2,440181216,155550238,C[C@@H](C1=CC=C(C=C1)Cl)N2C3=C([C@@]4(CC(=O)N3)C5=C(C=CC(=C5)Cl)N(C4=O)CCOC(=O)CCCCCCCNC(=O)CCCC[C@H]6[C@@H]7[C@H](CS6)NC(=O)N7)N=N2,Active,,,Potential missing data,Inhibition,%,Active
