PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Calu_1_Mean,Calu_1[1],Calu_1[2],Calu_1[3]
RESULT_TYPE,,,,,,,,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,Averaged Percent PLD1 Activity at set concentration,Measured Percent PLD1 Activity at set concentration,Measured Percent PLD1 Activity at set concentration,Measured Percent PLD1 Activity at set concentration
RESULT_UNIT,,,,,,,,PERCENT,PERCENT,PERCENT,PERCENT
1,134220696,56593072,C1CN(CCC12C(=O)NCN2C3=CC(=CC=C3)F)CCNC(=O)C4=CC=CC5=CC=CC=C54.C(=O)(C(F)(F)F)O,Inactive,0,,1LF1,101.921,98.0275,100.299,107.437
2,134220685,56593089,C1CN(CCC12C(=O)NCN2C3=CC(=CC=C3)F)CCNC(=O)C4=CC=C(C=C4)Br.C(=O)(C(F)(F)F)O,Inactive,0,,1LG0,98.4717,88.9435,95.6421,110.83
3,134220697,46939874,C1CN(CCC12C(=O)NCN2C3=CC(=CC=C3)F)CCNC(=O)C4=CC=C(C=C4)F.C(=O)(C(F)(F)F)O,Inactive,0,,1LFN,101.823,102.677,90.9535,111.838
4,134220686,56593091,C1CN(CCC12C(=O)NCN2C3=CC(=CC=C3)F)CCN(C(=O)C4=CC=C(C=C4)F)C(=O)C5=CC=C(C=C5)F.C(=O)(C(F)(F)F)O,Inactive,0,,1LDX,109.167,110.062,113.257,104.181
5,134220698,56593077,C1CN(CCC12C(=O)NCN2C3=CC(=CC=C3)F)CCNC(=O)C4=C(C=C(C=C4)F)F.C(=O)(C(F)(F)F)O,Inactive,0,,1LDR,99,83.4729,104.297,109.23
6,134220702,56593068,C1CN(CCC12C(=O)NCN2C3=CC(=CC=C3)F)CCNC(=O)C4=CC(=CC=C4)C(F)(F)F.C(=O)(C(F)(F)F)O,Inactive,0,,1LGN,94.8476,83.0333,98.5191,102.99
7,134220699,56593074,C1CN(CCC12C(=O)NCN2C3=CC(=CC=C3)F)CCNC(=O)C4=CC=CC=C4I.C(=O)(C(F)(F)F)O,Inactive,0,,1LF2,99.721,77.2884,99.1201,122.754
8,134220687,53393899,C1CN(CCC12C(=O)NCN2C3=CC(=CC=C3)F)CCNC(=O)C4=C(C=C(C=C4)Cl)Cl.C(=O)(C(F)(F)F)O,Inactive,0,,1LG1,106.723,84.5495,112.179,123.442
9,134220681,56593085,C[C@@H](CN1CCC2(CC1)C(=O)NCN2C3=CC(=CC=C3)F)NC(=O)C4=CC(=C(C(=C4)OC)OC)OC.C(=O)(C(F)(F)F)O,Active,100,,1LF9,9.85596,11.9759,8.19693,9.39502
10,134220682,56593047,C[C@@H](CN1CCC2(CC1)C(=O)NCN2C3=CC(=CC=C3)F)NC(=O)C4=CC(=CC=C4)[N+](=O)[O-].C(=O)(C(F)(F)F)O,Active,100,,1LDY,28.6077,25.5065,25.6325,34.6842
11,134220694,56593061,C[C@@H](CN1CCC2(CC1)C(=O)NCN2C3=CC(=CC=C3)F)NC(=O)C4=C(C=CC=C4F)F.C(=O)(C(F)(F)F)O,Active,100,,1LDQ,75.1331,73.9031,76.9588,74.5375
12,134220683,56593073,C[C@@H](CN1CCC2(CC1)C(=O)NCN2C3=CC(=CC=C3)F)NC(=O)C4=CC(=C(C=C4)F)F.C(=O)(C(F)(F)F)O,Active,100,,1LDP,10.139,12.1033,10.0439,8.26986
13,134220695,56593076,C[C@@H](CN1CCC2(CC1)C(=O)NCN2C3=CC(=CC=C3)F)NC(=O)CC4=CC=C(C=C4)F.C(=O)(C(F)(F)F)O,Inactive,0,,1LFY,101.892,98.3708,95.1049,112.2
