PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,IC50_uM,Max_CL95,Min_CL95,value_at_0.000020_uM,value_at_0.000200_uM,value_at_0.002000_uM,value_at_0.020000_uM,value_at_0.200000_uM,value_at_2.000000_uM,value_at_20.000000_uM
11,112378960,53470193,C[C@@H](CN1CCC(CC1)N2C3=C(C=C(C=C3)Br)NC2=O)NC(=O)[C@@H]4C[C@H]4C5=CC=CC=C5.C(=O)(C(F)(F)F)O,Active,100,,EVJ,0.015,0.007,0.038,,99.5116,66.3031,47.2069,18.1572,6.02712,2.06753
12,126496747,53470047,C[C@@H](CN1CCC(CC1)N2C3=C(C=C(C=C3)Cl)NC2=O)NC(=O)[C@@H]4C[C@H]4C5=CC=CC=C5.C(=O)(C(F)(F)F)O,Active,100,,EWE,0.23,0.095,0.572,,100,90.455,58.2266,51.8608,12.1365,2.26759
13,126496750,53470202,C[C@@H](CN1CCC(CC1)N2C3=C(C=C(C=C3)F)NC2=O)NC(=O)C4=CC=C(C=C4)F.C(=O)(C(F)(F)F)O,Active,100,,EX1,0.056,0.015,0.204,,100,85.4398,73.799,23.5957,10.2365,4.73023
14,126496756,53470212,C[C@@H](CN1CCC(CC1)N2C3=C(C=CC(=C3)F)NC2=O)NC(=O)[C@@H]4C[C@H]4C5=CC=CC=C5.C(=O)(C(F)(F)F)O,Active,100,,EXF,0.16,0.076,0.342,,86.8582,113.142,67.0627,47.4772,8.21221,2.35977
15,126496726,53470169,C[C@@H](CN1CCC(CC1)N2C3=CC=CC=C3NC2=O)NC(=O)COC4=CC=CC=C4.C(=O)(C(F)(F)F)O,Active,100,,F7Q,0.057,0.03,0.109,,111.29,88.7101,79.1062,19.6382,0,0
16,126496688,53470115,COC1=C(C=CC(=C1)C(=O)NCCN2CCC3(CC2)C(=O)NCN3C4=CC=CC=C4)N.C(=O)(C(F)(F)F)O,Active,100,,FK5,1.085,0.461,2.552,,85.5621,114.438,102.481,78.1364,37.7803,8.04579
17,126496700,53470134,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCNC(=O)C4=CC5=CC=CC=C5S4.C(=O)(C(F)(F)F)O,Active,50,,FKC,4,1.84,8.734,,93.8386,106.161,89.3281,85.6545,65.2406,15.1128
18,126496652,53470048,C[C@H](CN1CCC(CC1)N2C3=C(C=C(C=C3)Cl)NC2=O)NC(=O)C4=CC5=CC=CC=C5N4.C(=O)(C(F)(F)F)O,Active,100,,JV2,0.009,0.006,0.015,99.9328,100.067,74.5271,34.0086,13.6918,3.55257,
19,112378961,46939577,C1CN(CCC12C(=O)NCN2C3=CC(=CC=C3)F)CCNC(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O,Active,50,,JWJ,7.4,3.033,18.06,,95.5854,104.415,82.7639,80.5374,71.1708,26.6795
20,126496653,53470050,C1CN(CCC12C(=O)NCN2C3=CC(=CC=C3)F)CCNC(=O)C4=CC5=CC=CC=C5N=C4.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Active,50,,JXQ,2.8,0.47,17.09,,87.8155,112.184,92.4417,72.209,58.0312,27.5121
21,126496609,53469971,C1CN(CCC12C(=O)NCN2C3=CC=C(C=C3)Br)CCNC(=O)C4=CC5=CC=CC=C5N=C4.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Active,50,,T83,3.04,1.024,9.032,,118.274,91.1668,90.5594,90.5274,63.4523,8.40703
22,126496611,46938540,C1CN(CCC12C(=O)NCN2C3=CC=C(C=C3)Br)CCNC(=O)C4=CC5=C(N4)C=CC(=C5)F.C(=O)(C(F)(F)F)O,Active,50,,T84,5,2.021,12.48,,100,71.6273,74.8119,80.0249,55.476,20.5681
23,126496603,53469966,C1CN(CCC12C(=O)NCN2C3=CC=C(C=C3)F)CCNC(=O)C4=CC5=CC=CC=C5N=C4.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Active,50,,TP6,20,,,,100,90.213,27.9571,39.7108,53.0864,5.8602
24,126496605,46938536,C1CN(CCC12C(=O)NCN2C3=CC=C(C=C3)F)CCNC(=O)C4=CC5=C(N4)C=CC(=C5)F.C(=O)(C(F)(F)F)O,Active,50,,TPH,5.5,1.645,18.47,,100.655,99.3453,84.6765,100.273,55.1827,35.6476
25,126531494,53481919,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCNC(=O)C4=CC5=CC=CC=C5C=C4.Cl,Active,100,,5W0,0.081,0.466,0.014,,100.777,79.5971,68.993,41.775,12.2082,1.1121
