PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,HEK293_PLD2_Mean,HEK293_PLD2[1],HEK293_PLD2[2],HEK293_PLD2[3],HEK293_PLD2[4],HEK293_PLD2[5],HEK293_PLD2[6]
RESULT_TYPE,,,,,,,,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,Averaged Percent PLD1 Activity at set concentration,Measured Percent PLD1 Activity at set concentration,Measured Percent PLD1 Activity at set concentration,Measured Percent PLD1 Activity at set concentration,Measured Percent PLD1 Activity at set concentration,Measured Percent PLD1 Activity at set concentration,Measured Percent PLD1 Activity at set concentration
RESULT_UNIT,,,,,,,,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT
81,126496605,46938536,C1CN(CCC12C(=O)NCN2C3=CC=C(C=C3)F)CCNC(=O)C4=CC5=C(N4)C=CC(=C5)F.C(=O)(C(F)(F)F)O,Active,100,,TPH_lib_26,14.2581,14.1606,14.3995,14.2142,,,
82,126496606,53469967,C1CN(CCC12C(=O)NCN2C3=CC=C(C=C3)F)CCNC(=O)C4=CC5=CC=CC=C5N4.C(=O)(C(F)(F)F)O,Active,100,,TMK_lib_26,8.73209,7.74596,8.68606,9.76427,,,
83,126496607,53469969,C1CN(CCC12C(=O)NCN2C3=CC=C(C=C3)F)CCNC(=O)C4=CC5=C(C=C4)C=C(C=C5)F.C(=O)(C(F)(F)F)O,Inactive,0,,TMA_lib_26,61.1386,63.6724,59.443,60.3003,,,
84,126496608,46939673,C1CN(CCC12C(=O)NCN2C3=CC=C(C=C3)Br)CCNC(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O,Inactive,0,,T8C_lib_26,51.9752,56.174,49.0991,50.6526,,,
85,126496609,53469971,C1CN(CCC12C(=O)NCN2C3=CC=C(C=C3)Br)CCNC(=O)C4=CC5=CC=CC=C5N=C4.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Active,100,,T83_lib_26,48.5974,52.7437,45.1401,47.9083,,,
86,126496610,46938429,C1CN(CCC12C(=O)NCN2C3=CC=C(C=C3)Br)CCNC(=O)C4=CC=C(C=C4)F.C(=O)(C(F)(F)F)O,Inactive,0,,T82_lib_26,73.1535,72.9401,76.1418,70.3786,,,
87,126496611,46938540,C1CN(CCC12C(=O)NCN2C3=CC=C(C=C3)Br)CCNC(=O)C4=CC5=C(N4)C=CC(=C5)F.C(=O)(C(F)(F)F)O,Active,100,,T84_lib_26,23.7498,19.9905,25.5767,25.6821,,,
88,126496612,53469972,CC(C)[C@@H](CN1CCC(CC1)N2C3=CC=CC=C3NC2=O)NC(=O)[C@@H]4C[C@H]4C5=CC=CC=C5.C(=O)(C(F)(F)F)O,Inactive,0,,T8P_lib_26,74.0269,70.359,72.4487,79.273,,,
89,126496613,53469974,CC(C)[C@@H](CN1CCC(CC1)N2C3=CC=CC=C3NC2=O)NC(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O,Inactive,0,,T8N_lib_26,73.3414,66.5528,72.7542,80.7172,,,
90,126496614,53469976,CC(C)[C@@H](CN1CCC(CC1)N2C3=CC=CC=C3NC2=O)NC(=O)C4=CC=C(C=C4)F.C(=O)(C(F)(F)F)O,Inactive,0,,T81_lib_26,82.0249,79.942,85.6481,80.4846,,,
91,126496615,53469978,CC(C)[C@@H](CN1CCC(CC1)N2C3=CC=CC=C3NC2=O)NC(=O)C4=CC5=C(N4)C=CC(=C5)F.C(=O)(C(F)(F)F)O,Inactive,0,,T8D_lib_26,79.4793,65.1452,82.9168,90.3761,,,
92,126496616,53469980,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCNC(=O)C4=NC(=CC=C4)F.C(=O)(C(F)(F)F)O,Inactive,0,,M2Q_lib_25,74.521,75.6084,77.3616,70.5929,,,
93,126496617,53469982,COC1=CC=CC(=N1)C(=O)NCCN2CCC(CC2)N3C4=CC=CC=C4NC3=O.C(=O)(C(F)(F)F)O,Inactive,0,,M3D_lib_25,72.5258,74.9517,68.497,74.1289,,,
94,126496618,53469984,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCNC(=O)C4=NC(=CC=C4)Cl.C(=O)(C(F)(F)F)O,Inactive,0,,M3R_lib_25,75.3854,92.9083,70.3105,62.9374,,,
95,126496619,53469986,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCNC(=O)C4=CC=C(O4)C5=CC=CC=C5.C(=O)(C(F)(F)F)O,Inactive,0,,M42_lib_25,68.6048,72.5194,66.0982,67.1968,,,
96,126496620,53469988,CC1=NC(=CC=C1)C(=O)NCCN2CCC(CC2)N3C4=CC=CC=C4NC3=O.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Inactive,0,,M3F_lib_25,52.5086,64.0835,39.4125,54.0299,,,
97,126496621,53469990,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCNC(=O)C4=NC=CC=N4.C(=O)(C(F)(F)F)O,Inactive,0,,M32_lib_25,90.1087,103.151,87.4019,79.7734,,,
98,126496622,53469992,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCNC(=O)C4=CSC=N4.C(=O)(C(F)(F)F)O,Inactive,0,,M41_lib_25,57.86,60.3075,59.255,54.0175,,,
99,126496623,53469994,C1CC(C1)(C2=CC=CC=C2)C(=O)NCCN3CCC(CC3)N4C5=CC=CC=C5NC4=O.C(=O)(C(F)(F)F)O,Inactive,0,,M3M_lib_25,86.2991,93.6774,86.0178,79.202,,,
100,126496624,53469996,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCNC(=O)C4=CC(=C(C=C4)N)OC(F)(F)F.C(=O)(C(F)(F)F)O,Inactive,0,,M2M_lib_25,76.493,86.9567,77.9755,64.5469,,,
101,126496625,53469998,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCNC(=O)C4=C(C=C(C=C4)N)F.C(=O)(C(F)(F)F)O,Inactive,0,,M2P_lib_25,60.379,50.7852,59.8874,70.4645,,,
102,126496626,53470000,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCNC(=O)C4=C(C=CC=C4Cl)N.C(=O)(C(F)(F)F)O,Inactive,0,,M35_lib_25,59.2272,58.7297,60.5121,58.4398,,,
103,126496627,53470002,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCNC(=O)C4=CC(=NO4)C5=CC=CC=C5.C(=O)(C(F)(F)F)O,Inactive,0,,M3E_lib_25,50.8204,40.9339,47.644,63.8832,,,
104,126496628,53470004,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCNC(=O)C4=NC(=CC=C4)F.C(=O)(C(F)(F)F)O,Inactive,0,,M2X_lib_25,63.2054,66.0198,58.2143,65.3821,,,
105,126496629,53470006,COC1=CC=CC(=N1)C(=O)NCCN2CCC3(CC2)C(=O)NCN3C4=CC=CC=C4.C(=O)(C(F)(F)F)O,Inactive,0,,M2W_lib_25,60.7195,54.9778,57.7088,69.472,,,
106,126496630,53470008,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCNC(=O)C4=NC(=CC=C4)Cl.C(=O)(C(F)(F)F)O,Inactive,0,,M58_lib_25,52.8634,49.0131,48.5005,61.0766,,,
107,126496631,53470010,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCNC(=O)C4=CC=C(O4)C5=CC=CC=C5.C(=O)(C(F)(F)F)O,Inactive,0,,M4W_lib_25,50.1131,52.8046,43.7775,53.7571,,,
108,126496632,53470012,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCNC(=O)C4=C(C=C(C=N4)F)F.C(=O)(C(F)(F)F)O,Inactive,0,,M4Y_lib_25,52.8079,44.4723,54.9217,59.0297,,,
109,126496633,53470014,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCNC(=O)C4=C(C=CC=N4)F.C(=O)(C(F)(F)F)O,Inactive,0,,M5H_lib_25,82.1722,81.9843,78.8383,85.6939,,,
110,126496634,53470016,CC1=NC(=CC=C1)C(=O)NCCN2CCC3(CC2)C(=O)NCN3C4=CC=CC=C4.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Inactive,0,,M48_lib_25,88.9642,93.4381,91.3283,82.1261,,,
111,126496635,53470018,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCNC(=O)C4=NC=NC=C4.C(=O)(C(F)(F)F)O,Inactive,0,,M4K_lib_25,93.6622,102.333,90.2111,88.4424,,,
112,126496636,53470020,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCNC(=O)C4=NN=CC=C4.C(=O)(C(F)(F)F)O,Inactive,0,,M37_lib_25,88.2178,88.8117,100.462,75.3793,,,
113,126496637,53470022,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCNC(=O)C4=CN=CO4.C(=O)(C(F)(F)F)O,Inactive,0,,M4B_lib_25,80.373,83.9632,77.8607,79.2951,,,
114,126496638,53470024,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCNC(=O)C4=CSC=N4.C(=O)(C(F)(F)F)O,Inactive,0,,M30_lib_25,76.1937,93.0391,66.3818,69.1602,,,
115,126496639,53470026,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCNC(=O)C4=CN=NC=C4.C(=O)(C(F)(F)F)O,Inactive,0,,M49_lib_25,101.445,113.312,99.2558,91.7668,,,
116,126496640,53470028,C1CC(C1)(C2=CC=CC=C2)C(=O)NCCN3CCC4(CC3)C(=O)NCN4C5=CC=CC=C5.C(=O)(C(F)(F)F)O,Inactive,0,,M6E_lib_25,87.6129,90.0508,91.8554,80.9324,,,
117,126496641,53470030,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCNC(=O)C4=CC(=C(C=C4)N)OC(F)(F)F.C(=O)(C(F)(F)F)O,Inactive,0,,M6Y_lib_25,97.3113,94.7502,92.1693,105.014,,,
118,126496642,53470032,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCNC(=O)C4=C(C=CC=C4Cl)N.C(=O)(C(F)(F)F)O,Inactive,0,,M5P_lib_25,100.424,96.6281,106.771,97.8717,,,
119,126496643,53470034,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCNC(=O)C4=CC(=NO4)C5=CC=CC=C5.C(=O)(C(F)(F)F)O,Inactive,0,,M6H_lib_25,88.3187,85.0454,81.8499,98.0607,,,
120,126496644,53470036,C[C@H](CN1CCC2(CC1)C(=O)NCN2C3=CC=CC=C3)NC(=O)C4=CC(=C(O4)Br)Br.C(=O)(C(F)(F)F)O,Inactive,0,,N71_lib_25,85.7298,89.8791,76.6172,90.6932,,,
121,126496645,46938431,C1CN(CCC12C(=O)NCN2C3=CC(=CC=C3)F)CCNC(=O)C4=CC5=C(N4)C=CC(=C5)F.C(=O)(C(F)(F)F)O,Active,100,,NLP_lib_25,0.401206,6.87986,-1.95454,-3.72169,,,
122,126496646,53470038,C1CN(CCC12C(=O)NCN2C3=CC(=CC=C3)F)CCNC(=O)C4=CN=C(C=C4)F.C(=O)(C(F)(F)F)O,Inactive,0,,NM2_lib_25,85.7247,78.4958,95.503,83.1753,,,
123,126496647,53470040,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCC(=O)NCC4=CC=C(C=C4)Cl.C(=O)(C(F)(F)F)O,Inactive,0,,NMN_lib_25,85.1668,86.6874,83.2642,85.5489,,,
124,126496648,53470042,C[C@H](CN1CCC2(CC1)C(=O)NCN2C3=CC=CC=C3)NC(=O)C4=CC5=C(N4)C=CC(=C5)F.C(=O)(C(F)(F)F)O,Active,100,,JXV_lib_23,0,0,0,0,,,
125,126496649,53470044,C[C@H](CN1CCC2(CC1)C(=O)NCN2C3=CC=CC=C3)NC(=O)C4=CC=C(C=C4)F.C(=O)(C(F)(F)F)O,Inactive,0,,JVN_lib_23,81.7017,78.7461,72.5358,93.8232,,,
126,126496650,53470046,C[C@H](CN1CCC(CC1)N2C3=C(C=C(C=C3)Cl)NC2=O)NC(=O)C4=CC5=CC=CC=C5C=C4,Inactive,0,,JVF_lib_23,87.7146,93.4685,76.998,92.6774,,,
127,126496651,53470047,C[C@@H](CN1CCC(CC1)N2C3=C(C=C(C=C3)Cl)NC2=O)NC(=O)[C@@H]4C[C@H]4C5=CC=CC=C5.C(=O)(C(F)(F)F)O,Inactive,0,,JW5_lib_23,91.456,97.0435,84.9782,92.3463,,,
128,126496652,53470048,C[C@H](CN1CCC(CC1)N2C3=C(C=C(C=C3)Cl)NC2=O)NC(=O)C4=CC5=CC=CC=C5N4.C(=O)(C(F)(F)F)O,Active,100,,JV2_lib_23,24.998,26.1327,27.4238,21.4377,,,
129,126496653,53470050,C1CN(CCC12C(=O)NCN2C3=CC(=CC=C3)F)CCNC(=O)C4=CC5=CC=CC=C5N=C4.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Active,100,,JXQ_lib_23,5.5254,0.119066,6.2164,10.2407,,,
130,126496654,53470051,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)C(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O,Inactive,0,,E6Q_lib_23,75.7513,73.0176,73.7823,80.454,,,
131,126496655,53470052,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)C(=O)C4=CC=C(C=C4)Cl.C(=O)(C(F)(F)F)O,Inactive,0,,E6P_lib_23,69.9354,65.8894,61.367,82.5499,,,
132,126496656,53470054,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)C(=O)C4C[C@@H]4C5=CC=CC=C5.C(=O)(C(F)(F)F)O,Inactive,0,,E87_lib_23,84.0283,79.7701,84.4953,87.8195,,,
133,126496657,53470056,C1CN(CCC1N2C3=C(C=C(C=C3)Cl)NC2=O)C(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O,Inactive,0,,E8J_lib_23,77.7383,74.0287,77.4459,81.7404,,,
134,126496658,53470058,C1CN(CCC1N2C3=C(C=C(C=C3)Cl)NC2=O)C(=O)C4=CC=C(C=C4)Cl.C(=O)(C(F)(F)F)O,Inactive,0,,E8H_lib_23,60.1906,53.3044,58.3857,68.8817,,,
135,126496659,53470060,C1CN(CCC1N2C3=C(C=C(C=C3)Cl)NC2=O)C(=O)C4C[C@@H]4C5=CC=CC=C5.C(=O)(C(F)(F)F)O,Inactive,0,,E85_lib_23,72.4503,68.526,64.6166,84.2082,,,
136,126496660,53470062,CN1CCC2(C1=O)CCN(CC2)CCNC(=O)C3=CC4=CC=CC=C4C=C3.C(=O)(C(F)(F)F)O,Inactive,0,,AXP_lib_21,129.185,164.209,129.69,93.656,,,
137,126496661,53470064,CS(=O)(=O)N1CC2(CCN(CC2)CCNC(=O)C3=CC4=CC=CC=C4C=C3)C5=CC=CC=C51.C(=O)(C(F)(F)F)O,Inactive,0,,AYV_lib_21,84.2138,98.1132,92.9449,61.5833,,,
138,126496662,53470066,C1CN(CCC12C=CC3=CC=CC=C23)CCNC(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O,Inactive,0,,FJ7_lib_21,119.095,115.29,136.28,105.716,,,
139,126496663,53470068,C1CC2(CCN(CC2)CCNC(=O)C3=CC4=CC=CC=C4C=C3)C5=CC=CC=C51.C(=O)(C(F)(F)F)O,Inactive,0,,FJD_lib_21,124.282,113.803,113.039,146.004,,,
140,126496664,53470070,C[C@@H](CN1CCC2(CCN(C2=O)C)CC1)NC(=O)C3=CC4=CC=CC=C4C=C3.C(=O)(C(F)(F)F)O,Inactive,0,,FJ1_lib_21,135.3,120.98,142.588,142.333,,,
141,126496665,53470072,C[C@@H](CN1CCC2(CC1)CN(C3=CC=CC=C23)S(=O)(=O)C)NC(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O,Inactive,0,,FJ8_lib_21,114.561,101.554,134.82,107.31,,,
142,126496666,53470074,C[C@@H](CN1CCC2(CC1)C=CC3=CC=CC=C23)NC(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O,Inactive,0,,FL9_lib_21,146.662,138.381,139.007,162.596,,,
143,126496667,53470076,C[C@@H](CN1CCC2(CCC3=CC=CC=C32)CC1)NC(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O,Inactive,0,,FHP_lib_21,104.427,97.2331,107.98,108.068,,,
144,126496668,53470078,CS(=O)(=O)N1CC2(CCN(CC2)CCNC(=O)C3=CC4=CC=CC=C4N=C3)C5=CC=CC=C51.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Inactive,0,,FKL_lib_21,83.6574,96.9322,85.5776,68.4622,,,
145,126496669,53470080,C1CN(CCC12C=CC3=CC=CC=C23)CCNC(=O)C4=CC5=CC=CC=C5N=C4.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Inactive,0,,FLQ_lib_21,92.3883,79.9106,89.8527,107.402,,,
146,126496670,53470082,C1CC2(CCN(CC2)CCNC(=O)C3=CC4=CC=CC=C4N=C3)C5=CC=CC=C51.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Inactive,0,,FLJ_lib_21,100.434,88.659,124.02,88.6222,,,
147,126496671,53470084,C[C@@H](CN1CCC2(CCN(C2=O)C)CC1)NC(=O)C3=CC4=CC=CC=C4N=C3.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Inactive,0,,FJ2_lib_21,113.233,93.4551,109.518,136.725,,,
148,126496672,53470086,C[C@@H](CN1CCC2(CC1)CN(C3=CC=CC=C23)S(=O)(=O)C)NC(=O)C4=CC5=CC=CC=C5N=C4.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Inactive,0,,FHT_lib_21,135.869,186.434,143.633,77.5413,,,
149,126496673,53470088,C[C@@H](CN1CCC2(CC1)C=CC3=CC=CC=C23)NC(=O)C4=CC5=CC=CC=C5N=C4.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Inactive,0,,FHQ_lib_21,77.4061,82.7264,67.9493,81.5425,,,
150,126496674,53470090,C[C@@H](CN1CCC2(CCC3=CC=CC=C32)CC1)NC(=O)C4=CC5=CC=CC=C5N=C4.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Inactive,0,,E1H_lib_21,107.832,110.683,117.856,94.9559,,,
151,126496675,53470092,CN1CCC2(C1=O)CCN(CC2)CCNC(=O)[C@H]3C[C@@H]3C4=CC=CC=C4.C(=O)(C(F)(F)F)O,Inactive,0,,E1U_lib_21,102.131,110.059,102.111,94.2237,,,
152,126496676,53470094,C1CN(CCC12C=CC3=CC=CC=C23)CCNC(=O)[C@H]4C[C@@H]4C5=CC=CC=C5.C(=O)(C(F)(F)F)O,Inactive,0,,E1G_lib_21,129.58,140.05,132.12,116.571,,,
153,126496677,53470096,C1CC2(CCN(CC2)CCNC(=O)[C@H]3C[C@@H]3C4=CC=CC=C4)C5=CC=CC=C51.C(=O)(C(F)(F)F)O,Inactive,0,,E17_lib_21,99.8036,100.355,106.39,92.6663,,,
154,126496679,53470099,C[C@@H](CN1CCC2(CC1)CN(C3=CC=CC=C23)S(=O)(=O)C)NC(=O)[C@H]4C[C@@H]4C5=CC=CC=C5,Inactive,0,,E16_lib_21,108.543,104.028,114.6,107,,,
155,126496680,53470100,C[C@@H](CN1CCC2(CC1)C=CC3=CC=CC=C23)NC(=O)[C@H]4C[C@@H]4C5=CC=CC=C5,Inactive,0,,E1T_lib_21,87.0567,93.0097,77.1171,91.0432,,,
156,126496681,53470101,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCC(=O)NC4=CC5=CC=CC=C5N=C4.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Inactive,0,,EBJ_lib_21,104.134,68.4439,97.6526,146.306,,,
157,126496682,53470103,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCC(=O)NC4=CC=C(C=C4)Cl.C(=O)(C(F)(F)F)O,Inactive,0,,EBK_lib_21,182.684,170.813,186.942,190.296,,,
158,126496683,53470105,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCC(=O)NC4=CC=C(C=C4)F.C(=O)(C(F)(F)F)O,Inactive,0,,EB9_lib_21,118.839,106.701,112.33,137.485,,,
159,126496684,53470107,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCC(=O)NC4=CC(=C(C=C4)F)F.C(=O)(C(F)(F)F)O,Inactive,0,,EAN_lib_21,146.518,116.202,176.834,,,,
160,126496685,53470109,C1CN(CCC1N2C3=CC=CC=C3NC2=O)C[C@H](CC4=CC=CC=C4)NC(=O)C5=CC6=CC=CC=C6C=C5.C(=O)(C(F)(F)F)O,Inactive,0,,GHJ_lib_20,96.6933,85.9756,84.2871,119.817,,,
161,126496686,53470111,C1C[C@@H](N(C1)C(=O)C2=CC3=CC=CC=C3N=C2)CN4CCC5(CC4)C(=O)NCN5C6=CC=CC=C6.C(=O)(C(F)(F)F)O,Inactive,0,,GHU_lib_20,106.342,83.9115,103.634,131.479,,,
162,126496687,53470113,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCNC(=O)C4=C(C=C(C=C4)F)O.C(=O)(C(F)(F)F)O,Inactive,0,,FKQ_lib_20,82.567,73.7588,94.1042,79.8379,,,
163,126496688,53470115,COC1=C(C=CC(=C1)C(=O)NCCN2CCC3(CC2)C(=O)NCN3C4=CC=CC=C4)N.C(=O)(C(F)(F)F)O,Active,100,,FK5_lib_20,38.802,42.7247,35.2048,38.4766,,,
164,126496689,53470116,CC1=CC(=C(C=C1)C(=O)NCCN2CCC3(CC2)C(=O)NCN3C4=CC=CC=C4)O.C(=O)(C(F)(F)F)O,Inactive,0,,FK1_lib_20,84.9669,72.8614,103.242,78.7971,,,
165,126496690,53470118,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCNC(=O)C#CC4=CC=CC=C4.C(=O)(C(F)(F)F)O,Active,100,,FKB_lib_20,47.8896,38.2318,56.6946,48.7425,,,
166,126496691,53470119,C1CC2=CC=CC=C2CC1C(=O)NCCN3CCC4(CC3)C(=O)NCN4C5=CC=CC=C5.C(=O)(C(F)(F)F)O,Inactive,0,,FKF_lib_20,50.2606,50.2895,46.9763,53.516,,,
167,126496692,44591931,C1CC2=CC=CC=C2CC1C(=O)NCCN3CCC4(CC3)C(=O)NCN4C5=CC=CC=C5,Inactive,0,,FLR_lib_20,75.2608,73.4806,59.8043,92.4976,,,
168,126496693,53470120,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCNC(=O)C4=NC=CN4.C(=O)(C(F)(F)F)O,Inactive,0,,FKN_lib_20,112.568,121.928,113.35,102.426,,,
169,126496694,53470122,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCNC(=O)C4=CC(=C(O4)Br)Br.C(=O)(C(F)(F)F)O,Inactive,0,,FKD_lib_20,77.0866,70.2496,79.7374,81.2729,,,
170,126496695,53470124,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCNC(=O)C4=CC5=C(S4)N=CC=C5.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Inactive,0,,FJE_lib_20,79.1673,72.8931,83.0395,81.5692,,,
171,126496696,53470126,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCNC(=O)CCC4=CC=C(C=C4)F.C(=O)(C(F)(F)F)O,Inactive,0,,FJQ_lib_20,102.267,104.798,101.209,100.793,,,
172,126496697,53470128,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCNC(=O)C4=CC(=O)C5=C(O4)C=CC(=C5)Br.C(=O)(C(F)(F)F)O,Inactive,0,,FJF_lib_20,122.442,115.947,129.717,121.662,,,
173,126496698,53470130,CC1(C(C1(C)C)C(=O)NCCN2CCC3(CC2)C(=O)NCN3C4=CC=CC=C4)C.C(=O)(C(F)(F)F)O,Inactive,0,,FK4_lib_20,121.538,116.685,133.676,114.254,,,
174,126496699,53470132,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCNC(=O)C4=CC5=C(C=C4)C=C(C=C5)F.C(=O)(C(F)(F)F)O,Inactive,0,,FK2_lib_20,68.8117,73.6881,76.8549,55.8922,,,
175,126496700,53470134,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCNC(=O)C4=CC5=CC=CC=C5S4.C(=O)(C(F)(F)F)O,Active,100,,FKC_lib_20,10.2881,10.3631,12.168,8.3333,,,
176,126496701,53470135,C1CN(CCC1N2C3=CC=CC=C3NC2=O)C[C@H](CC4=CC=CC=C4)NC(=O)C5=CC(=C(C=C5)F)F.C(=O)(C(F)(F)F)O,Inactive,0,,FKG_lib_20,123.582,125.59,123.125,122.032,,,
177,126496702,53470137,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)C[C@H](CC4=CC=CC=C4)NC(=O)C5=CC(=C(C=C5)F)F.C(=O)(C(F)(F)F)O,Inactive,0,,FL2_lib_20,102.182,95.878,97.2919,113.375,,,
178,126496703,53470139,C1CC(N(C1)C(=O)C2=CC(=C(C=C2)F)F)CN3CCC(CC3)N4C5=CC=CC=C5NC4=O.C(=O)(C(F)(F)F)O,Inactive,0,,FKE_lib_20,123.651,113.43,134.48,123.045,,,
179,126496704,53470139,C1CC(N(C1)C(=O)C2=CC(=C(C=C2)F)F)CN3CCC(CC3)N4C5=CC=CC=C5NC4=O.C(=O)(C(F)(F)F)O,Inactive,0,,FJR_lib_20,114.181,104.409,118.855,119.279,,,
180,126496705,53470141,C1C[C@@H](N(C1)C(=O)C2=CC(=C(C=C2)F)F)CN3CCC4(CC3)C(=O)NCN4C5=CC=CC=C5.C(=O)(C(F)(F)F)O,Inactive,0,,FKR_lib_20,124.027,134.818,117.483,119.779,,,
181,126496706,53470143,CCOC(=O)CCN1CCC2(CC1)C(=O)NCN2C3=CC=CC=C3.C(=O)(C(F)(F)F)O,Inactive,0,,FK3_lib_20,91.5655,90.2245,85.7637,98.7084,,,
182,126496707,53470145,C[C@@H](CN1CCC(CC1)N2C3=CC=CC=C3NC2=O)NC(=O)C4=CC5=C(C=C4)N=CC=C5,Inactive,0,,CH1_lib_19,82.1992,81.5944,74.9124,90.0908,,,
183,126496708,53470146,C[C@@H](CN1CCC(CC1)N2C3=CC=CC=C3NC2=O)NC(=O)C4=CC5=CC=CC=C5S4,Active,100,,CHB_lib_19,38.5651,31.3077,40.9557,43.4318,,,
184,126496709,53470147,C[C@@H](CN1CCC(CC1)N2C3=CC=CC=C3NC2=O)NC(=O)CCC4=CC=C(C=C4)F,Active,100,,CHD_lib_19,48.8835,54.0785,52.5852,39.9869,,,
185,126496710,53470148,C[C@@H](CN1CCC(CC1)N2C3=CC=CC=C3NC2=O)NC(=O)C4=CC5=CC=CC=C5N4,Active,100,,CGP_lib_19,0.433537,-1.86637,-3.66438,6.83136,,,
186,126496711,53470149,C[C@@H](CN1CCC(CC1)N2C3=CC=CC=C3NC2=O)NC(=O)C4=CC=CN4,Active,100,,CHN_lib_19,39.8771,40.3895,35.4442,43.7976,,,
187,126496712,53470150,C[C@@H](CN1CCC(CC1)N2C3=CC=CC=C3NC2=O)NC(=O)C4=CC5=C(N4)C=CC(=C5)F,Active,100,,CJ0_lib_19,0.758443,-10.2317,2.64664,9.86039,,,
188,126496713,53470151,C1CN(CCC12CCN(C2=O)C3=CC=CC=C3)CCNC(=O)C4=CC5=CC=CC=C5C=C4,Inactive,0,,CTC_lib_19,54.9933,72.1279,50.3107,42.5415,,,
