PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,HEK293_PLD2_Mean,HEK293_PLD2[1],HEK293_PLD2[2],HEK293_PLD2[3],HEK293_PLD2[4],HEK293_PLD2[5],HEK293_PLD2[6]
RESULT_TYPE,,,,,,,,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,Averaged Percent PLD1 Activity at set concentration,Measured Percent PLD1 Activity at set concentration,Measured Percent PLD1 Activity at set concentration,Measured Percent PLD1 Activity at set concentration,Measured Percent PLD1 Activity at set concentration,Measured Percent PLD1 Activity at set concentration,Measured Percent PLD1 Activity at set concentration
RESULT_UNIT,,,,,,,,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT
22,125333505,53393913,C1CN(CCC12C(=O)NCN2C3=CC(=CC=C3)F)CCN(C(=O)C4=CC(=CC=C4)F)C(=O)C5=CC(=CC=C5)F.C(=O)(C(F)(F)F)O,Inactive,0,,1KAN_lib_31,71.588,69.8106,66.6913,78.2621,,,
23,125333507,53393917,C1CN(CCC12C(=O)NCN2C3=CC(=CC=C3)F)CCNC(=O)C45CC6CC(C4)CC(C6)C5.C(=O)(C(F)(F)F)O,Inactive,0,,1KAK_lib_31,87.126,80.3106,81.7974,99.2699,,,
24,125333508,53393919,C1CN(CCC12C(=O)NCN2C3=CC(=CC=C3)F)CCN(C(=O)C4=CC(=C(C=C4)F)F)C(=O)C5=CC(=C(C=C5)F)F.C(=O)(C(F)(F)F)O,Inactive,0,,1KAL_lib_31,105.804,102.322,83.7885,131.303,,,
25,125333509,53393921,CCCCCC(=O)N(CCN1CCC2(CC1)C(=O)NCN2C3=CC(=CC=C3)F)C(=O)CCCCC.C(=O)(C(F)(F)F)O,Inactive,0,,1KB1_lib_31,73.098,73.0822,66.4163,79.7955,,,
26,125333510,53393923,C1CN(CCC12C(=O)NCN2C3=CC(=CC=C3)F)CCNC(=O)C4=CC=C(C=C4)C5=CC=CC=C5.C(=O)(C(F)(F)F)O,Inactive,0,,1KA1_lib_31,100.835,111.944,103.141,87.4215,,,
27,126496546,53469883,CN(CCN1CCC(CC1)N2C3=CC=CC=C3NC2=O)C(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O,Inactive,0,,VL0_lib_29,101.182,91.8196,96.7034,115.023,,,
28,126496547,53469885,CN(CCN1CCC2(CC1)C(=O)NCN2C3=CC=CC=C3)C(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O,Inactive,0,,VL1_lib_29,95.2093,100.484,84.1062,101.038,,,
29,126496548,53469887,C1CN(CCC1N2C3=C(C=C(C=C3)I)NC2=O)CCNC(=O)C4CC4C5=CC=CC=C5.C(=O)(C(F)(F)F)O,Inactive,0,,10NU_lib_29,57.185,70.366,41.4242,59.7647,,,
30,126496549,53469889,C1CN(CCC1N2C3=C(C=C(C=C3)I)NC2=O)CCNC(=O)C4=CC=C(C=C4)Cl.C(=O)(C(F)(F)F)O,Active,100,,10R6_lib_29,36.7423,32.4731,30.5053,47.2486,,,
31,126496550,53469891,C[C@@H](CN1CCC(CC1)N2C3=C(C=C(C=C3)I)NC2=O)NC(=O)C4CC4C5=CC=CC=C5.C(=O)(C(F)(F)F)O,Inactive,0,,10QV_lib_29,99.1773,100.236,100.836,96.4598,,,
