PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,,STRING,STRING,STRING
RESULT_DESCR,,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
1,440169185,155545422,CC[C@H](C)[C@@H](C(=O)O)NC(=O)[C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@@H]2O[C@H]3CC[C@]4([C@H](C3(C)C)CC[C@@]5([C@@H]4C(=O)C=C6[C@]5(CC[C@@]7([C@H]6C[C@@](CC7)(C)C(=O)N[C@@H]([C@@H](C)CC)C(=O)O)C)C)C)C)C(=O)N[C@@H]([C@@H](C)CC)C(=O)O)O)O)O)O)O,Active,,,Potential missing data,Inhibition,%,Active
