PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,AbsAC30_Qualifier,AbsAC30_uM,pAbsAC30_M,ACTIVITY_OUTCOME_TEST1,ACTIVITY_SCORE_TEST1,ASSAYDATA_COMMENT_TEST1,AbsAC30_Qualifier_TEST1,AbsAC30_uM_TEST1,pAbsAC30_M_TEST1,Hill_Slope_TEST1,S0_(%)_TEST1,Sinf_(%)_TEST1,Num_Points_TEST1,Max_Activity_(%)_TEST1,Max_Activity_Conc_uM_TEST1,Max_Concentration_uM_TEST1,Activity_at_0.16uM_(%)_TEST1,Activity_at_0.3uM_(%)_TEST1,Activity_at_0.6uM_(%)_TEST1,Activity_at_1.2uM_(%)_TEST1,Activity_at_2.6uM_(%)_TEST1,Activity_at_5uM_(%)_TEST1,Activity_at_10uM_(%)_TEST1,Activity_at_19.5uM_(%)_TEST1,ACTIVITY_OUTCOME_TEST2,ACTIVITY_SCORE_TEST2,ASSAYDATA_COMMENT_TEST2,AbsAC30_Qualifier_TEST2,AbsAC30_uM_TEST2,pAbsAC30_M_TEST2,Hill_Slope_TEST2,S0_(%)_TEST2,Sinf_(%)_TEST2,Num_Points_TEST2,Max_Activity_(%)_TEST2,Max_Activity_Conc_uM_TEST2,Max_Concentration_uM_TEST2,Activity_at_0.12uM_(%)_TEST2,Activity_at_0.135uM_(%)_TEST2,Activity_at_0.15uM_(%)_TEST2,Activity_at_0.16uM_(%)_TEST2,Activity_at_0.18uM_(%)_TEST2,Activity_at_0.26uM_(%)_TEST2,Activity_at_0.285uM_(%)_TEST2,Activity_at_0.3uM_(%)_TEST2,Activity_at_0.35uM_(%)_TEST2,Activity_at_0.5uM_(%)_TEST2,Activity_at_0.56uM_(%)_TEST2,Activity_at_0.6uM_(%)_TEST2,Activity_at_0.68uM_(%)_TEST2,Activity_at_1uM_(%)_TEST2,Activity_at_1.1uM_(%)_TEST2,Activity_at_1.2uM_(%)_TEST2,Activity_at_1.35uM_(%)_TEST2,Activity_at_2.1uM_(%)_TEST2,Activity_at_2.35uM_(%)_TEST2,Activity_at_2.6uM_(%)_TEST2,Activity_at_2.85uM_(%)_TEST2,Activity_at_4.2uM_(%)_TEST2,Activity_at_4.6uM_(%)_TEST2,Activity_at_5uM_(%)_TEST2,Activity_at_5.6uM_(%)_TEST2,Activity_at_8uM_(%)_TEST2,Activity_at_9uM_(%)_TEST2,Activity_at_10uM_(%)_TEST2,Activity_at_11uM_(%)_TEST2,Activity_at_16uM_(%)_TEST2,Activity_at_18uM_(%)_TEST2,Activity_at_19.5uM_(%)_TEST2,Activity_at_21uM_(%)_TEST2,Activity_at_23.5uM_(%)_TEST2
635,103059890,49786246,COC1=CC=C(C=C1)CN2CCC(CC2)C(=O)NC(C3=CC4=C(C=C3)OCO4)C5=CC=CC=N5,Inactive,0,,,,,,1,0,,,,,,12.3673,12.3673,11,30.327,0.16,19.5,30.327,18.258,11.272,13.499,-3.802,,2.464,4.462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
636,57263782,4786229,CC1CCN(CC1)C(=O)C(C)OC(=O)C2=C(C3=C(O2)C=CC(=C3)OC)C,Inactive,0,,,,,,1,0,,>,19.5,4.71,0.5,0,100,10,19.831,19.5,19.5,6.562,,8.012,11.454,,11.693,12.22,19.831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
637,99495548,16414770,COC1=CC=C(C=C1)S(=O)(=O)N2CCC(CC2)C(=O)NCCC(=O)NCC3=CC=CC=N3,Inactive,0,,,,,,1,0,,,,,,5.96691,5.96691,12,-22.15,19.5,19.5,-5.346,12.013,8.434,9.134,,10.957,17.692,-22.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
638,121286031,51361345,COC1=CC=CC=C1C2=NOC3=C2C(=O)N(CC3)CC4=CN(N=N4)CC5=CC=CC=C5,Inactive,0,,,,,,1,0,,,,,,8.3283,8.3283,14,18.15,0.16,19.5,18.15,12.265,15.433,5.641,8.411,-3.73,9.072,6.905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
639,49718249,24790029,CCOC(=O)[C@@H]1[C@H]2COC3=C([C@@H]2N4[C@@]1(C(=O)N(C4=O)C5=CC=C(C=C5)C)C)C=C(C=C3)Br,Inactive,0,,,,,,1,0,,,,,,-9.44994,-9.44994,12,-20.073,1.2,19.5,-4.757,0.067,-19.221,-20.073,-16.311,-20.068,3.133,-5.703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
640,7965664,5307753,CC1=CC(=C(C=C1)OC)NC(=O)C2CCN(CC2)S(=O)(=O)C3=CC=CC4=C3N=CC=C4,Inactive,0,,,,,,1,0,,,,,,-10.0057,-10.0057,12,-20.965,10,19.5,11.115,-4.275,-4.232,-8.966,-9.441,,-20.965,-19.851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641,85269874,2404738,C1=CC(=CC=C1C#N)C2=CC=C(C=C2)OCC(=O)NN=CC3=CC=NC=C3,Inactive,0,,,,,,1,0,,,,,,-8.33401,-8.33401,13,-16.179,0.16,19.5,-16.179,-11.693,-8.883,-9.492,,-3.053,-5.732,-4.985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
642,56321537,24981661,CCN(CC(=O)NC1=C(C=CC=C1F)F)C(=O)C2=CC(=CC=C2)S(=O)(=O)NCC3=CC=CC=C3,Inactive,0,,,,,,1,0,,,,,,21.8708,21.8708,12,37.977,1.2,19.5,21.289,25.952,,37.977,21.951,22.232,21.028,-0.434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
643,26730112,2800521,CC1=CC(=NC(=N1)NC(=O)NC(=O)C2=C(C(=CC(=C2OC)Br)Cl)OC)C,Inactive,0,,,,,,1,0,,,,,,11.4305,11.4305,11,28.969,5,19.5,14.527,-9.222,20.359,4.842,16.922,28.969,22.295,2.639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
644,26725971,135538542,C1=CC=C(C=C1)N/N=C/C2=C(N(C(=O)NC2=O)CC3=CC=C(C=C3)F)O,Inactive,0,,,,,,1,0,,,,,,2.23385,2.23385,12,-13.622,19.5,19.5,0.984,-1.166,7.601,12.02,-3.209,7.965,,-13.622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
