PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Algorithm,Common/Unique,Wells Analyzed,Wells Removed,Sumrank,DIST,Low/High,Expectation,Daily Filter replicate 1,Daily Filter replicate 2,Daily Filter replicate 3,Daily Filter replicate 4,Daily Filter replicate 5,Daily Filter replicate 6,Reference Wells replicate 1,Reference Wells replicate 2,Reference Wells replicate 3,Reference Wells replicate 4,Reference Wells replicate 5,Reference Wells replicate 6,Valid Objects replicate 1,Valid Objects replicate 2,Valid Objects replicate 3,Valid Objects replicate 4,Valid Objects replicate 5,Valid Objects replicate 6,Predicted Target Gene
RESULT_TYPE,,,,,,,,STRING,STRING,INTEGER,INTEGER,INTEGER,INTEGER,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,PUBCHEM_NCBI_GENE_ID
RESULT_UNIT,,,,,,,,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
920,104181734,,,Inactive,,,DRSC01942,,,,,,,,,5.02,7.91,,,,,4.15,35.76,,,,,6290,6476,,,,,34887
921,104181735,,,Inactive,,,DRSC01943,,,,,,,,,1.43,0.96,,,,,1.04,2.72,,,,,6160,6954,,,,,34894
922,104181736,,,Inactive,,,DRSC01944,,,,,,,,,18.47,13.51,,,,,25.71,25.58,,,,,6144,5788,,,,,34822
923,104181737,,,Inactive,,,DRSC01945,,,,,,,,,15.46,,,,,,81.6,7.87,,,,,4742,583,,,,,34824
924,104181738,,,Inactive,,,DRSC01946,,,,,,,,,11.83,14.46,,,,,8.08,45.73,,,,,5731,5706,,,,,34826
925,104181739,,,Inactive,,,DRSC01947,,,,,,,,,3.67,1.73,,,,,59.91,19.16,,,,,6738,6594,,,,,34826
926,104181740,,,Inactive,,,DRSC01948,,,,,,,,,13.89,,,,,,88.67,5.81,,,,,6492,425,,,,,34823
927,104181741,,,Inactive,,,DRSC01949,,,,,,,,,3.75,4.59,,,,,1.82,69.88,,,,,6099,6542,,,,,34846
928,104181742,,,Inactive,,,DRSC01950,,,,,,,,,24.14,22.1,,,,,31.74,36.54,,,,,6288,6517,,,,,34856
929,104181743,,,Inactive,,,DRSC01951,,,,,,,,,13.03,5.34,,,,,6.71,19.19,,,,,6140,6666,,,,,34857
930,104181744,,,Inactive,,,DRSC01952,,,,,,,,,0.56,1.64,,,,,0.43,6.53,,,,,6207,6534,,,,,34858
931,104181745,,,Inactive,,,DRSC01953,,,,,,,,,12.65,3.24,,,,,10.5,9.27,,,,,4710,6755,,,,,3885605
932,104181746,,,Inactive,,,DRSC01954,,,,,,,,,2.57,7.6,,,,,2.13,22.94,,,,,4633,5393,,,,,2768924
933,104181747,,,Inactive,,,DRSC01955,,,,,,,,,2.5,1.62,,,,,1.92,3.92,,,,,6638,6839,,,,,"34922,318937"
934,104181748,,,Inactive,,,DRSC01956,,,,,,,,,3.35,3.36,,,,,2.46,9.43,,,,,6359,6493,,,,,34921
935,104181749,,,Inactive,,,DRSC01957,,,,,,,,,7.35,7.04,,,,,11.39,12.24,,,,,6365,6306,,,,,34920
936,104181750,,,Inactive,,,DRSC01958,,,,,,,,,11.49,2.25,,,,,11.09,16.63,,,,,6336,6741,,,,,"318965,34923"
937,104181751,,,Inactive,,,DRSC01959,,,,,,,,,1.61,3.55,,,,,1.18,14,,,,,6588,6654,,,,,34890
938,104181752,,,Inactive,,,DRSC01960,,,,,,,,,0.85,3.38,,,,,0.35,13.07,,,,,6919,6717,,,,,34891
939,104181753,,,Inactive,,,DRSC01961,,,,,,,,,9.05,28.51,,,,,14.13,43.39,,,,,6356,5174,,,,,34892
940,104181754,,,Inactive,,,DRSC01962,,,,,,,,,1.64,3.1,,,,,1.09,12.93,,,,,6647,6671,,,,,34893
941,104181755,,,Inactive,,,DRSC01963,,,,,,,,,16.54,8.2,,,,,15.51,36.46,,,,,5696,6387,,,,,"10178877,34951"
942,104181756,,,Inactive,,,DRSC01964,,,,,,,,,20.22,2.85,,,,,17.63,7.86,,,,,4876,6775,,,,,34953
943,104181757,,,Inactive,,,DRSC01965,,,,,,,,,10.86,2.65,,,,,9.23,8.2,,,,,5644,6780,,,,,34944
944,104181758,,,Inactive,,,DRSC01966,,,,,,,,,20.47,,,,,,17.42,3.18,,,,,5780,616,,,,,34941
945,104181759,,,Inactive,,,DRSC01967,,,,,,,,,4.59,6.89,,,,,4.35,19.75,,,,,6423,6244,,,,,34942
946,104181760,,,Inactive,,,DRSC01968,,,,,,,,,2.54,0.84,,,,,2.1,2.57,,,,,6659,7016,,,,,34943
947,104181761,,,Inactive,,,DRSC01969,,,,,,,,,4.45,5.5,,,,,69.16,94.3,,,,,6382,6278,,,,,34773
948,104181763,,,Inactive,,,DRSC01971,,,,,,,,,1.78,1.06,6.11,1.65,,,1.2,3.57,3.59,28.82,,,6118,6416,6477,6562,,,34854
949,104181764,,,Inactive,,,DRSC01972,,,,,,,,,12.07,11.02,,,,,15.89,18.82,,,,,6493,5772,,,,,34894
950,104181765,,,Inactive,,,DRSC01973,,,,,,,,,4.38,5.02,,,,,4.29,21.28,,,,,6399,6911,,,,,34897
951,104181766,,,Inactive,,,DRSC01974,,,,,,,,,1.88,7.65,,,,,10.78,90.22,,,,,6844,6925,,,,,34898
952,104181767,,,Active,2,,DRSC01975,DF,Unique,286,82,8,7,Low,0.0244755,0.57,0.76,,,,,0.51,3.5,,,,,6350,7066,,,,,34901
953,104181768,,,Inactive,,,DRSC01976,,,,,,,,,1.6,5.98,9.03,6.26,,,0.96,23.92,3.98,72.61,,,6610,6825,5017,6098,,,34902
954,104181769,,,Inactive,,,DRSC01977,,,,,,,,,6.99,3.96,,,,,5.77,15.48,,,,,5866,6597,,,,,34899
955,104181770,,,Inactive,,,DRSC01978,,,,,,,,,24.15,13.66,,,,,99.72,98.39,,,,,4680,2863,,,,,34776
956,104181771,,,Active,2,,DRSC01979,DF,Unique,330,38,9,8,Low,0.0242424,0.51,0.65,,,,,13.09,14.11,,,,,6891,6743,,,,,34777
957,104181772,,,Inactive,,,DRSC01980,,,,,,,,,13.45,3.85,,,,,11.84,14.05,,,,,5072,6356,,,,,50454
958,104181773,,,Inactive,,,DRSC01981,,,,,,,,,10.71,0.58,,,,,10.11,1.85,,,,,4660,7078,,,,,34925
959,104181774,,,Inactive,,,DRSC01982,,,,,,,,,13.74,21.33,,,,,23.82,34.69,,,,,6419,6658,,,,,34928
960,104181775,,,Inactive,,,DRSC01983,,,,,,,,,1.53,3.71,,,,,11.42,44.73,,,,,6726,7242,,,,,34975
961,104181776,,,Inactive,,,DRSC01984,,,,,,,,,12.6,6.13,,,,,20.78,13.64,,,,,6467,6181,,,,,34976
962,104181777,,,Inactive,,,DRSC01985,,,,,,,,,16.36,12.4,,,,,15.58,55.11,,,,,1546,6580,,,,,34977
963,104181778,,,Inactive,,,DRSC01986,,,,,,,,,19.45,7.65,,,,,32.22,16.45,,,,,6420,6494,,,,,34437
964,104181779,,,Inactive,,,DRSC01987,,,,,,,,,14.97,13.07,,,,,23.65,21.98,,,,,6471,6428,,,,,34336
965,104181780,,,Inactive,,,DRSC01988,,,,,,,,,4.5,2,,,,,40.16,21.36,,,,,6310,6448,,,,,34728
966,104181781,,,Inactive,,,DRSC01989,,,,,,,,,10.14,1.14,,,,,16.75,1.76,,,,,6240,6424,,,,,34546
967,104181782,,,Inactive,,,DRSC01990,,,,,,,,,12.2,5.84,,,,,16.73,8.57,,,,,6360,6403,,,,,35194
968,104181783,,,Inactive,,,DRSC01991,,,,,,,,,47.44,25.38,,,,,63.61,38.28,,,,,957,717,,,,,34577
969,104181784,,,Inactive,,,DRSC01992,,,,,,,,,2.37,5.16,,,,,3.94,9.7,,,,,7081,6318,,,,,34403
970,104181785,,,Inactive,,,DRSC01993,,,,,,,,,8.02,8.41,,,,,10.02,16.82,,,,,5763,5793,,,,,34486
971,104181786,,,Inactive,,,DRSC01994,,,,,,,,,13.75,6.14,,,,,18.06,10.89,,,,,6081,6075,,,,,34276
972,104181787,,,Inactive,,,DRSC01995,,,,,,,,,10.25,12.47,,,,,36.49,43.2,,,,,5602,4571,,,,,45682
973,104181788,,,Inactive,,,DRSC01996,,,,,,,,,2.88,5.54,,,,,20.88,44.04,,,,,6052,6627,,,,,44701
974,104181789,,,Inactive,,,DRSC01997,,,,,,,,,24.65,14.16,,,,,33.64,24.22,,,,,6126,6011,,,,,"34549,34550"
975,104181790,,,Inactive,,,DRSC01998,,,,,,,,,27.23,9.17,,,,,41.05,17.06,,,,,6229,6346,,,,,34529
976,104181791,,,Inactive,,,DRSC01999,DF,Unique,330,38,650,11,High,0.0333333,24.23,29.23,,,,,96.81,98.79,,,,,2452,2556,,,,,34481
977,104181792,,,Inactive,,,DRSC02000,,,,,,,,,5.24,21.65,,,,,59.16,85.65,,,,,6207,4641,,,,,34069
978,104181793,,,Inactive,,,DRSC02001,,,,,,,,,13.63,21.71,,,,,17.14,39.83,,,,,6523,6291,,,,,34626
979,104181794,,,Inactive,,,DRSC02002,,,,,,,,,1.89,5.96,,,,,22.59,30.64,,,,,5931,5889,,,,,33903
980,104181795,,,Inactive,,,DRSC02003,,,,,,,,,1.23,1.01,,,,,8.18,3.79,,,,,6087,6366,,,,,33908
981,104181796,,,Inactive,,,DRSC02004,,,,,,,,,3.31,16.14,,,,,17.18,60.89,,,,,5916,5422,,,,,33932
982,104181797,,,Inactive,,,DRSC02005,,,,,,,,,12.31,1.6,,,,,12.16,3.85,,,,,5997,6627,,,,,34946
983,104181798,,,Inactive,,,DRSC02006,,,,,,,,,11.62,43.22,,,,,19.45,65.55,,,,,6472,4907,,,,,35051
984,104181799,,,Inactive,,,DRSC02007,,,,,,,,,2.93,0.94,,,,,15.91,3.18,,,,,5733,6370,,,,,33757
985,104181800,,,Inactive,,,DRSC02008,,,,,,,,,22.45,,,,,,96.19,3.75,,,,,5609,386,,,,,34132
986,104181801,,,Inactive,,,DRSC02009,,,,,,,,,26.4,29.45,,,,,30.51,45.4,,,,,2186,4706,,,,,"34786,34787"
987,104181802,,,Inactive,,,DRSC02010,,,,,,,,,5.68,14.52,,,,,5.56,45.94,,,,,1955,6997,,,,,35226
988,104181803,,,Inactive,,,DRSC02011,,,,,,,,,0.88,,,,,,0.17,0.74,,,,,793,578,,,,,35227
989,104181804,,,Inactive,,,DRSC02012,,,,,,,,,12.31,20.08,,,,,6.95,99.98,,,,,6172,5793,,,,,35235
990,104181805,,,Inactive,,,DRSC02013,,,,,,,,,16.41,10.06,,,,,24.12,21.29,,,,,6582,5885,,,,,35239
991,104181806,,,Inactive,,,DRSC02014,,,,,,,,,20.93,7.56,,,,,29.57,14.67,,,,,6293,6602,,,,,35241
992,104181807,,,Inactive,,,DRSC02015,,,,,,,,,16.04,4.85,,,,,12.97,7.22,,,,,5585,1651,,,,,35241
993,104181808,,,Inactive,,,DRSC02016,,,,,,,,,6.28,6.53,,,,,37.32,24.15,,,,,6461,5960,,,,,33971
994,104181809,,,Inactive,,,DRSC02017,,,,,,,,,11.82,15.15,,,,,17.35,32.17,,,,,6609,6595,,,,,35242
995,104181810,,,Inactive,,,DRSC02018,,,,,,,,,16.25,1.88,,,,,13.76,4.41,,,,,4695,6526,,,,,35240
996,104181811,,,Inactive,,,DRSC02019,,,,,,,,,11.55,11.95,,,,,9.34,36.42,,,,,3827,4863,,,,,35101
997,104181812,,,Inactive,,,DRSC02020,,,,,,,,,7.37,5.58,,,,,6.44,16.89,,,,,2591,6178,,,,,35103
998,104181813,,,Inactive,,,DRSC02021,,,,,,,,,4.67,6.37,,,,,3.63,20.7,,,,,5721,5873,,,,,35105
999,104181814,,,Inactive,,,DRSC02022,,,,,,,,,8.68,29.81,,,,,14.98,52.41,,,,,6842,5930,,,,,35238
1000,104181815,,,Inactive,,,DRSC02023,,,,,,,,,16.8,8.75,,,,,26.93,15.35,,,,,6609,6274,,,,,35237
1001,104181816,,,Inactive,,,DRSC02024,,,,,,,,,9.95,6.73,,,,,16.71,15.71,,,,,6681,6507,,,,,35234
1002,104181817,,,Inactive,,,DRSC02025,,,,,,,,,10.14,6.47,,,,,15.48,14.07,,,,,6555,6117,,,,,35231
1003,104181818,,,Inactive,,,DRSC02026,,,,,,,,,5.47,4.8,,,,,5.68,14.99,,,,,6073,4933,,,,,35228
1004,104181819,,,Inactive,,,DRSC02027,,,,,,,,,12.51,6.64,,,,,10.08,19.26,,,,,5059,6338,,,,,35106
1005,104181820,,,Inactive,,,DRSC02028,,,,,,,,,5.93,6.25,,,,,3.25,95.55,,,,,5899,6226,,,,,35107
1006,104181821,,,Inactive,,,DRSC02029,,,,,,,,,8.31,12.07,,,,,13.49,25.93,,,,,6546,6075,,,,,35222
1007,104181822,,,Inactive,,,DRSC02030,,,,,,,,,7.44,9.6,,,,,7.17,32.2,,,,,1801,5981,,,,,35257
1008,104181823,,,Inactive,,,DRSC02031,,,,,,,,,22.25,9.68,,,,,32.31,20.54,,,,,5659,6573,,,,,35256
1009,104181824,,,Inactive,,,DRSC02032,,,,,,,,,15.08,16.83,,,,,14.21,58.32,,,,,1963,5241,,,,,35255
1010,104181825,,,Inactive,,,DRSC02033,,,,,,,,,13.9,12.32,,,,,24.43,22.84,,,,,6545,6422,,,,,35104
1011,104181826,,,Inactive,,,DRSC02034,,,,,,,,,4.33,7.68,,,,,6.91,18.31,,,,,6629,6533,,,,,35102
1012,104181827,,,Inactive,,,DRSC02035,,,,,,,,,4.99,9.41,,,,,8.46,18.3,,,,,6135,5963,,,,,35100
1013,104181828,,,Inactive,,,DRSC02036,,,,,,,,,12.78,6.86,,,,,18.69,11.83,,,,,5495,5306,,,,,35112
1014,104181829,,,Inactive,,,DRSC02037,,,,,,,,,14.1,7.88,,,,,23.25,13.67,,,,,5963,5999,,,,,35122
1015,104181830,,,Inactive,,,DRSC02038,,,,,,,,,16.8,3.1,,,,,14.73,10.92,,,,,4793,6346,,,,,35247
1016,104181831,,,Inactive,,,DRSC02039,,,,,,,,,1.94,2.25,,,,,1.53,7.56,,,,,5668,6565,,,,,35124
1017,104181832,,,Inactive,,,DRSC02040,,,,,,,,,16.69,14.12,,,,,20.73,28.79,,,,,5807,6042,,,,,35125
1018,104181833,,,Inactive,,,DRSC02041,,,,,,,,,7.8,4.98,,,,,6.31,13.34,,,,,1795,6228,,,,,35127
1019,104181834,,,Inactive,,,DRSC02042,,,,,,,,,0.68,2.67,,,,,0.67,9.6,,,,,586,7014,,,,,35130
1020,104181836,,,Inactive,,,DRSC02044,,,,,,,,,5.34,3.59,,,,,32.87,15.02,,,,,5299,5455,,,,,33964
1021,104181837,,,Inactive,,,DRSC02045,,,,,,,,,21.79,11.1,,,,,34.48,23.85,,,,,6199,6712,,,,,326259
1022,104181838,,,Inactive,,,DRSC02046,,,,,,,,,46.85,17.65,,,,,60.11,30.81,,,,,3996,6878,,,,,35258
1023,104181839,,,Inactive,,,DRSC02047,,,,,,,,,12.16,11.23,,,,,10.63,35.41,,,,,4993,5173,,,,,35131
1024,104181840,,,Inactive,,,DRSC02048,,,,,,,,,9.85,22.89,,,,,14.37,34.86,,,,,6406,5732,,,,,35128
1025,104181841,,,Inactive,,,DRSC02049,,,,,,,,,22.04,25.55,,,,,35.7,41.14,,,,,6031,6212,,,,,35126
1026,104181842,,,Inactive,,,DRSC02050,,,,,,,,,22.08,21.64,,,,,31.32,33.97,,,,,5902,5803,,,,,35123
1027,104181843,,,Inactive,,,DRSC02051,,,,,,,,,2.49,12.22,,,,,31.08,58.17,,,,,1203,3078,,,,,33978
1028,104181844,,,Inactive,,,DRSC02052,,,,,,,,,9.15,3.49,,,,,13.73,7.15,,,,,6742,6620,,,,,35111
1029,104181845,,,Inactive,,,DRSC02053,,,,,,,,,6.6,26.43,,,,,9.7,42.19,,,,,6412,5618,,,,,35113
1030,104181846,,,Inactive,,,DRSC02054,,,,,,,,,10.04,6.64,,,,,14.6,12.8,,,,,6632,6118,,,,,35150
1031,104181847,,,Inactive,,,DRSC02055,,,,,,,,,4.2,4.75,,,,,4.15,19.61,,,,,5787,6612,,,,,35157
1032,104181848,,,Inactive,,,DRSC02056,,,,,,,,,13.73,12.26,,,,,18.92,24.3,,,,,6271,5569,,,,,35168
1033,104181849,,,Inactive,,,DRSC02057,,,,,,,,,,9.64,,,,,,33.71,,,,,501,6443,,,,,35261
1034,104181850,,,Inactive,,,DRSC02058,,,,,,,,,3.1,14.77,,,,,5.37,29.06,,,,,6411,5869,,,,,35260
1035,104181851,,,Inactive,,,DRSC02059,,,,,,,,,19.73,3.97,,,,,18.01,30.67,,,,,5625,6526,,,,,35264
1036,104181852,,,Inactive,,,DRSC02060,,,,,,,,,16.9,14.77,,,,,13.75,44.21,,,,,5336,4747,,,,,35268
1037,104181853,,,Inactive,,,DRSC02061,,,,,,,,,3.36,1.91,,,,,2.82,7.02,,,,,6188,6582,,,,,35174
1038,104181854,,,Inactive,,,DRSC02062,,,,,,,,,18.55,2.34,,,,,27.99,4.08,,,,,5569,5461,,,,,35173
1039,104181855,,,Inactive,,,DRSC02063,,,,,,,,,19.05,6.54,,,,,17.1,24.67,,,,,4104,6577,,,,,35273
1040,104181857,,,Inactive,,,DRSC02065,,,,,,,,,,7.57,,,,,,28.52,,,,,476,5310,,,,,35178
1041,104181858,,,Inactive,,,DRSC02066,,,,,,,,,10.03,17.79,,,,,16.86,33.89,,,,,4616,6250,,,,,35179
1042,104181859,,,Inactive,,,DRSC02067,,,,,,,,,12.1,5.97,,,,,9.61,18.26,,,,,5800,6165,,,,,49505
1043,104181860,,,Inactive,,,DRSC02068,,,,,,,,,31.92,20.65,,,,,47.86,38.25,,,,,6337,6659,,,,,35189
1044,104181861,,,Inactive,,,DRSC02069,,,,,,,,,3.55,8.43,,,,,6.07,15.87,,,,,6395,6286,,,,,35193
1045,104181862,,,Inactive,,,DRSC02070,,,,,,,,,2.26,6.67,,,,,2.55,18.16,,,,,5794,2772,,,,,35135
1046,104181863,,,Inactive,,,DRSC02071,,,,,,,,,27.13,12.52,,,,,34.02,19.91,,,,,5769,6048,,,,,"8674072,50466"
1047,104181864,,,Inactive,,,DRSC02072,,,,,,,,,4.28,8.34,,,,,22.88,53.71,,,,,6334,3909,,,,,34179
1048,104181865,,,Inactive,,,DRSC02073,,,,,,,,,13.79,13.62,,,,,20.28,20.49,,,,,6627,5705,,,,,326260
1049,104181866,,,Inactive,,,DRSC02074,,,,,,,,,13.98,21.83,,,,,24.02,41.44,,,,,5965,5960,,,,,35142
1050,104181867,,,Inactive,,,DRSC02075,,,,,,,,,11.94,4.99,,,,,19.32,10.64,,,,,6380,6110,,,,,35146
1051,104181868,,,Inactive,,,DRSC02076,,,,,,,,,,10.54,,,,,,36.29,,,,,660,6337,,,,,35145
1052,104181869,,,Inactive,,,DRSC02077,,,,,,,,,7.47,5.24,,,,,11.25,8.92,,,,,6762,2845,,,,,35265
1053,104181870,,,Inactive,,,DRSC02078,,,,,,,,,1.41,5.16,,,,,0.94,16.52,,,,,6240,6351,,,,,35152
1054,104181871,,,Inactive,,,DRSC02079,,,,,,,,,5.65,4.42,,,,,4.06,15.41,,,,,5880,6382,,,,,35153
1055,104181872,,,Inactive,,,DRSC02080,,,,,,,,,25.52,8.11,,,,,21.42,24.45,,,,,4580,6032,,,,,35263
1056,104181873,,,Inactive,,,DRSC02081,,,,,,,,,14.15,4.57,,,,,23.51,9.48,,,,,6408,6674,,,,,35262
1057,104181874,,,Inactive,,,DRSC02082,,,,,,,,,9.59,6.87,,,,,14.96,13.9,,,,,6446,6418,,,,,35156
1058,104181875,,,Inactive,,,DRSC02083,,,,,,,,,29.32,20.32,,,,,42.96,36.78,,,,,6440,6974,,,,,35158
1059,104181876,,,Inactive,,,DRSC02084,,,,,,,,,20.32,6.37,,,,,16.12,29.46,,,,,4873,6595,,,,,35158
1060,104181877,,,Inactive,,,DRSC02085,,,,,,,,,9.96,23.64,,,,,17,38.12,,,,,6347,4810,,,,,35162
1061,104181878,,,Inactive,,,DRSC02086,,,,,,,,,7.35,5.48,,,,,5.48,19.94,,,,,6309,6934,,,,,35303
1062,104181879,,,Inactive,,,DRSC02087,,,,,,,,,6.37,6.74,,,,,5.43,24.05,,,,,6075,6763,,,,,44059
1063,104181880,,,Inactive,,,DRSC02088,,,,,,,,,6.21,5.45,5.5,4.79,,,5.13,15.37,2.03,86.51,,,6103,6336,6527,6677,,,49427
1064,104181881,,,Inactive,,,DRSC02089,,,,,,,,,5.85,3.17,,,,,5.06,6.79,,,,,6340,1357,,,,,35285
1065,104181882,,,Inactive,,,DRSC02090,,,,,,,,,3.9,8.5,,,,,3.42,31.95,,,,,6334,5602,,,,,35277
1066,104181883,,,Inactive,,,DRSC02091,,,,,,,,,19.43,12.44,,,,,35.48,25.2,,,,,5158,5307,,,,,35279
1067,104181884,,,Inactive,,,DRSC02092,,,,,,,,,1.41,16.16,,,,,1.08,57.62,,,,,5683,5057,,,,,35151
1068,104181885,,,Inactive,,,DRSC02093,,,,,,,,,11.17,2.07,,,,,8.73,5,,,,,5809,6467,,,,,35282
1069,104181886,,,Inactive,,,DRSC02094,,,,,,,,,,4.51,,,,,,15.67,,,,,490,6763,,,,,"35196,35195"
1070,104181887,,,Inactive,,,DRSC02095,,,,,,,,,9.45,15.9,,,,,12.32,25.81,,,,,4668,5030,,,,,35192
1071,104181888,,,Inactive,,,DRSC02096,,,,,,,,,3.48,7.88,,,,,3.14,30.29,,,,,6444,6798,,,,,35183
1072,104181889,,,Inactive,,,DRSC02097,,,,,,,,,16.39,7.37,,,,,21.5,14.94,,,,,5825,6417,,,,,35181
1073,104181890,,,Inactive,,,DRSC02098,,,,,,,,,2.23,2.55,,,,,1.6,5.86,,,,,1477,6786,,,,,35296
1074,104181891,,,Inactive,,,DRSC02099,,,,,,,,,3.78,3.42,,,,,6.68,5.9,,,,,6560,6322,,,,,35298
1075,104181892,,,Inactive,,,DRSC02100,,,,,,,,,6.8,12.24,,,,,6.15,41.45,,,,,6777,5115,,,,,35300
1076,104181893,,,Inactive,,,DRSC02101,,,,,,,,,22.25,4.12,,,,,33.35,8.52,,,,,6670,7082,,,,,35289
1077,104181894,,,Inactive,,,DRSC02102,,,,,,,,,4.79,7.21,,,,,4.06,18.56,,,,,5928,6754,,,,,35291
1078,104181895,,,Inactive,,,DRSC02103,,,,,,,,,12.08,3.71,,,,,9.93,8.92,,,,,5920,6584,,,,,44380
1079,104181896,,,Inactive,,,DRSC02104,,,,,,,,,27.03,5.8,,,,,24.46,21.5,,,,,4492,6792,,,,,35295
1080,104181897,,,Inactive,,,DRSC02105,,,,,,,,,9.42,7.95,,,,,13.87,15.4,,,,,6455,6327,,,,,35206
1081,104181898,,,Inactive,,,DRSC02106,,,,,,,,,6.85,26.17,,,,,7.25,80.42,,,,,1853,6377,,,,,35297
1082,104181899,,,Inactive,,,DRSC02107,,,,,,,,,8.8,12.4,,,,,16.34,21.49,,,,,5861,379,,,,,35299
1083,104181900,,,Inactive,,,DRSC02108,,,,,,,,,9.9,29.73,,,,,56.18,97.76,,,,,4827,4565,,,,,33960
1084,104181901,,,Inactive,,,DRSC02109,,,,,,,,,4.81,16.15,,,,,20.42,58.84,,,,,5946,5429,,,,,33961
1085,104181902,,,Inactive,,,DRSC02110,,,,,,,,,16.26,12.22,,,,,27.23,27.98,,,,,6655,5745,,,,,34756
1086,104181903,,,Inactive,,,DRSC02111,,,,,,,,,3.22,3.91,,,,,3.98,7.83,,,,,6331,6695,,,,,35309
1087,104181904,,,Inactive,,,DRSC02112,,,,,,,,,4.99,3.01,,,,,7.82,5.22,,,,,6374,6379,,,,,35310
1088,104181905,,,Inactive,,,DRSC02113,,,,,,,,,4.73,1.72,,,,,7.16,4.17,,,,,6535,6630,,,,,35311
1089,104181906,,,Inactive,,,DRSC02114,,,,,,,,,4.53,5.08,,,,,3.71,20.84,,,,,6113,6463,,,,,35307
1090,104181907,,,Inactive,,,DRSC02115,,,,,,,,,3.53,4.84,,,,,32.02,37.45,,,,,6167,6504,,,,,33918
1091,104181909,,,Inactive,,,DRSC02117,,,,,,,,,2.45,5.76,,,,,1.71,24.52,,,,,6783,6802,,,,,50472
1092,104181910,,,Inactive,,,DRSC02118,,,,,,,,,4.7,9.7,,,,,30.34,43.21,,,,,6442,6269,,,,,43938
1093,104181911,,,Inactive,,,DRSC02119,,,,,,,,,6.21,1.19,,,,,47.25,6.21,,,,,6071,6464,,,,,33804
1094,104181912,,,Inactive,,,DRSC02120,,,,,,,,,2.04,4.39,,,,,17.4,17.63,,,,,5347,6081,,,,,33805
1095,104181913,,,Inactive,,,DRSC02121,,,,,,,,,1.68,3.35,,,,,15.03,38.17,,,,,6009,6421,,,,,33810
1096,104181914,,,Inactive,,,DRSC02122,,,,,,,,,3.44,2.31,,,,,28.81,19.59,,,,,6449,6537,,,,,33810
1097,104181915,,,Inactive,,,DRSC02123,,,,,,,,,6.64,5.09,,,,,46.23,32.16,,,,,6218,6714,,,,,33919
1098,104181916,,,Inactive,,,DRSC02124,,,,,,,,,1.38,3.31,,,,,10.75,19.66,,,,,6471,6343,,,,,33921
1099,104181917,,,Inactive,,,DRSC02125,,,,,,,,,2.22,7.31,,,,,14.59,33.73,,,,,6261,3325,,,,,33924
1100,104181918,,,Inactive,,,DRSC02126,,,,,,,,,5.76,3.42,,,,,36.95,41.22,,,,,6437,6905,,,,,5740402
1101,104181919,,,Inactive,,,DRSC02127,,,,,,,,,10.45,,,,,,67.53,0.61,,,,,5185,481,,,,,33930
1102,104181920,,,Inactive,,,DRSC02128,,,,,,,,,1.6,3,,,,,6.48,10.62,,,,,6258,6868,,,,,33806
1103,104181921,,,Inactive,,,DRSC02129,,,,,,,,,10.98,2.97,,,,,49.12,35.62,,,,,2886,6466,,,,,33803
1104,104181922,,,Inactive,,,DRSC02130,,,,,,,,,3.67,0.62,,,,,24.31,4.11,,,,,6509,6625,,,,,33800
1105,104181923,,,Inactive,,,DRSC02131,,,,,,,,,14.85,8.85,,,,,82.04,59.11,,,,,4877,5749,,,,,33943
1106,104181924,,,Inactive,,,DRSC02132,,,,,,,,,0.97,,,,,,24.44,1.31,,,,,926,474,,,,,249072
1107,104181925,,,Inactive,,,DRSC02133,,,,,,,,,7.17,1.36,,,,,42.34,6.3,,,,,5591,7044,,,,,33946
1108,104181926,,,Inactive,,,DRSC02134,,,,,,,,,1.11,2.38,,,,,4.82,17.51,,,,,6500,6769,,,,,33948
1109,104181927,,,Inactive,,,DRSC02135,,,,,,,,,11.69,15.84,,,,,63.99,76.54,,,,,5818,5398,,,,,33955
1110,104181929,,,Inactive,,,DRSC02137,,,,,,,,,8.39,2.97,,,,,43.91,11.55,,,,,5710,5960,,,,,33989
1111,104181930,,,Inactive,,,DRSC02138,,,,,,,,,12.6,,,,,,66.87,24.42,,,,,3882,496,,,,,33993
1112,104181931,,,Inactive,,,DRSC02139,,,,,,,,,2.99,6.13,,,,,22.44,44.39,,,,,6147,7060,,,,,33923
1113,104181932,,,Inactive,,,DRSC02140,,,,,,,,,7.9,4.67,,,,,60.15,24.16,,,,,6011,6446,,,,,33925
1114,104181933,,,Inactive,,,DRSC02141,,,,,,,,,1.55,4.93,,,,,11.02,49.88,,,,,6600,6892,,,,,33950
