PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,,STRING,STRING,STRING
RESULT_DESCR,,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
1,504800078,172443371,COC1=C(C=C(C=C1)CNC(=O)C2=C(C=CC(=C2)OC3=CC(=CC=C3)Br)NS(=O)(=O)C)OC,Inactive,,,Potential missing data,Inhibition,%,Not Active
2,504809964,172450227,CS(=O)(=O)NC1=C(C=C(C=C1)OC2=CC(=CC=C2)Br)C(=O)NCC3=CC(=C(C=C3)F)F,Inactive,,,Potential missing data,Inhibition,%,Not Active
3,504818878,172456418,CCC1=CC(=CC=C1)OC2=CC(=C(C=C2)NS(=O)(=O)C)C(=O)N[C@H](C)C3=CC=CC=C3,Inactive,,,Potential missing data,Inhibition,%,Not Active
4,504821207,172458025,CS(=O)(=O)NC1=C(C=C(C=C1)OC2=CC(=CC=C2)Br)C(=O)NCC3=CC=CC=C3,Inactive,,,Potential missing data,Inhibition,%,Not Active
5,504823182,172459377,CCC1=CC(=CC=C1)OC2=CC(=C(C=C2)NS(=O)(=O)C)C(=O)NCC3=CC=CC=C3,Inactive,,,Potential missing data,Inhibition,%,Not Active
6,504827789,172462562,CCC1=CC(=CC=C1)OC2=CC(=C(C=C2)NS(=O)(=O)C)C(=O)NCC3=CC(=C(C=C3)F)F,Inactive,,,Potential missing data,Inhibition,%,Not Active
