PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Activity Comment
RESULT_TYPE,,,,,,,,STRING,STRING
RESULT_DESCR,,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),Additional comments
1,160673891,70683976,CC(C)(C)C1=CC=C(C=C1)C(=O)NC(=S)NC2=CC(=C(C=C2)NC(=O)C3=CC(=CC=C3)NC)OC.Cl,Unspecified,,,Potential missing data,Activity,Toxic
2,160673892,70683978,CC(C)(C)C1=CC=C(C=C1)C(=O)NC(=S)NC2=CC(=C(C=C2)NC(=O)C3=CC=C(C=C3)NC)OC.Cl,Unspecified,,,Potential missing data,Activity,Toxic
3,160679200,4594268,CC(C)(C)C1=CC=C(C=C1)C(=O)NC(=S)NC2=CC=C(C=C2)CN3CCCCC3,Unspecified,,,Potential missing data,Activity,Toxic
4,160684547,979164,CC(C)(C)C1=CC=C(C=C1)C(=O)NC(=S)NC2=CC=C(C=C2)CN3CCOCC3,Unspecified,,,Potential missing data,Activity,Toxic
5,160695368,3728976,CC(=O)N1CCN(CC1)C2=CC=C(C=C2)NC(=S)NC(=O)C3=CC=C(C=C3)C(C)(C)C,Unspecified,,,Potential missing data,Activity,Toxic
6,160700725,884714,CC1=CC(=C(C=C1)O)NC(=S)NC(=O)C2=CC=C(C=C2)C(C)(C)C,Unspecified,,,Potential missing data,Activity,Toxic
7,160700743,2722101,CC(C)(C)C1=CC=C(C=C1)C(=O)NC(=S)NC2=CC=C(C=C2)N3CCCCC3,Unspecified,,,Potential missing data,Activity,Toxic
8,160704062,1227109,CC(C)(C)C1=CC=C(C=C1)C(=O)NC(=S)NC2=CC=C(C=C2)N3CCOCC3,Unspecified,,,Potential missing data,Activity,Toxic
9,160705997,5064069,CC(C)(C)C1=CC=C(C=C1)C(=O)NC(=S)NC2=C(C=CC(=C2)C(C)(C)C)O,Unspecified,,,Potential missing data,Activity,Toxic
