PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,,STRING,STRING,STRING
RESULT_DESCR,,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
1,136922672,57391221,C1=CC=C2C(=C1)C(=O)N(S2)CC(=O)NCC3=CN(N=N3)CC4=CC=C(C=C4)F,Inactive,,,Potential missing data,Inhibition,%,Not Active
2,136922673,57391222,C1=CC=C2C(=C1)C(=O)N(S2)CC(=O)NCC3=CN(N=N3)CC4=CC(=CC=C4)F,Inactive,,,Potential missing data,Inhibition,%,Not Active
3,136922689,57391233,C1=CC=C(C=C1)C(=O)CN2C=C(N=N2)CNC(=O)CN3C(=O)C4=CC=CC=C4S3,Inactive,,,Potential missing data,Inhibition,%,Not Active
4,136922690,57391234,C1=CC=C(C=C1)OC2=CC=C(C=C2)NC(=O)CN3C=C(N=N3)CNC(=O)CN4C(=O)C5=CC=CC=C5S4,Active,,,Potential missing data,Inhibition,%,Active
5,136922691,57391235,CC(C)(C)OC(=O)CN1C=C(N=N1)CNC(=O)CN2C(=O)C3=CC=CC=C3S2,Inactive,,,Potential missing data,Inhibition,%,Not Active
6,136925933,57392999,C1=CC=C(C=C1)OC2=CC=CC(=C2)NC(=O)CN3C=C(N=N3)CNC(=O)CN4C(=O)C5=CC=CC=C5S4,Active,,,Potential missing data,Inhibition,%,Active
7,136925934,57393000,C1=CC=C(C=C1)C(=O)CN2C=C(N=N2)COC3=CC=CC(=C3)NC(=O)CN4C(=O)C5=CC=CC=C5S4,Active,,,Potential missing data,Inhibition,%,Active
8,136925935,57393001,C1=CC=C(C=C1)OC2=CC=C(C=C2)NC(=O)CN3C=C(N=N3)COC4=CC=CC(=C4)NC(=O)CN5C(=O)C6=CC=CC=C6S5,Active,,,Potential missing data,Inhibition,%,Active
9,136925936,57393002,C1=CC=C(C=C1)OC2=CC=CC=C2NC(=O)CN3C=C(N=N3)COC4=CC=CC(=C4)NC(=O)CN5C(=O)C6=CC=CC=C6S5,Active,,,Potential missing data,Inhibition,%,Active
10,136932397,57396494,C1=CC=C(C=C1)OCCN2C=C(N=N2)CNC(=O)CN3C(=O)C4=CC=CC=C4S3,Inactive,,,Potential missing data,Inhibition,%,Not Active
11,136932398,57396495,C1=CC=C(C=C1)OC2=CC=CC(=C2)NC(=O)CN3C=C(N=N3)COC4=CC=CC(=C4)NC(=O)CN5C(=O)C6=CC=CC=C6S5,Active,,,Potential missing data,Inhibition,%,Active
12,136935849,57398279,C1=CC=C(C=C1)NC(=O)CN2C=C(N=N2)CNC(=O)CN3C(=O)C4=CC=CC=C4S3,Inactive,,,Potential missing data,Inhibition,%,Not Active
13,136935850,57398280,C1=CC=C(C=C1)NC(=O)CN2C=C(N=N2)COC3=CC=CC(=C3)NC(=O)CN4C(=O)C5=CC=CC=C5S4,Active,,,Potential missing data,Inhibition,%,Active
14,136938965,57399934,C1=CC=C(C=C1)CN2C=C(N=N2)CNC(=O)CN3C(=O)C4=CC=CC=C4S3,Inactive,,,Potential missing data,Inhibition,%,Not Active
15,136938966,57399935,COC(=O)C1=CC=CC(=C1)CN2C=C(N=N2)CNC(=O)CN3C(=O)C4=CC=CC=C4S3,Inactive,,,Potential missing data,Inhibition,%,Not Active
16,136938980,57399942,COC(=O)C1=CC=CC(=C1)CN2C=C(N=N2)COC3=CC=CC(=C3)NC(=O)CN4C(=O)C5=CC=CC=C5S4,Active,,,Potential missing data,Inhibition,%,Active
17,136942169,57401716,COC1=CC=C(C=C1)CN2C=C(N=N2)CNC(=O)CN3C(=O)C4=CC=CC=C4S3,Inactive,,,Potential missing data,Inhibition,%,Not Active
18,136942188,57401727,C1=CC=C(C=C1)CCN2C=C(N=N2)CNC(=O)CN3C(=O)C4=CC=CC=C4S3,Inactive,,,Potential missing data,Inhibition,%,Not Active
19,136942189,57401728,C1=CC=C2C(=C1)C(=O)N(S2)CC(=O)NCC3=CN(N=N3)CC(=O)O,Inactive,,,Potential missing data,Inhibition,%,Not Active
20,136945338,57403441,C1=CC=C(C=C1)SCN2C=C(N=N2)CNC(=O)CN3C(=O)C4=CC=CC=C4S3,Inactive,,,Potential missing data,Inhibition,%,Not Active
21,136945364,57403454,C1=CC=C(C=C1)CCCN2C=C(N=N2)CNC(=O)CN3C(=O)C4=CC=CC=C4S3,Inactive,,,Potential missing data,Inhibition,%,Not Active
22,136945365,57403455,C1=CC=C(C=C1)OC2=CC=CC=C2NC(=O)CN3C=C(N=N3)CNC(=O)CN4C(=O)C5=CC=CC=C5S4,Inactive,,,Potential missing data,Inhibition,%,Not Active
