PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,,STRING,STRING,STRING
RESULT_DESCR,,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
1,103746942,34755,C[S+](CC[C@@H](C(=O)[O-])N)C[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)O,Active,,,Potential missing data,Inhibition,%,Active
2,104240365,65482,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)C[C@H](CC[C@@H](C(=O)O)N)N)O)O)N,Active,,,Potential missing data,Inhibition,%,Active
3,318372173,122178194,CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)CO[Si](C)(C)C(C)(C)C)N3C(=CN=N3)C4=CC5=C(C=C4)C=C(C=C5)OC,Active,,,Potential missing data,Inhibition,%,Active
4,318372182,122178202,CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)CO[Si](C)(C)C(C)(C)C)N3C(=CN=N3)C4=CC=CC=C4,Active,,,Potential missing data,Inhibition,%,Active
5,318372188,122178208,CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)CO[Si](C)(C)C(C)(C)C)N3C(=CN=N3)C4CCCCC4,Active,,,Potential missing data,Inhibition,%,Active
6,318372189,122178209,CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)CO[Si](C)(C)C(C)(C)C)N3C=C(N=N3)C4=CC5=C(C=C4)C=C(C=C5)OC,Active,,,Potential missing data,Inhibition,%,Active
7,318372194,122178213,CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)CO[Si](C)(C)C(C)(C)C)N3C(SCC3=O)C4=CC5=C(C=C4)NC=C5,Active,,,Potential missing data,Inhibition,%,Active
8,318372196,122178215,CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)CO[Si](C)(C)C(C)(C)C)N3C(SCC3=O)C4=C5C=CC=CC5=CC6=CC=CC=C64,Active,,,Potential missing data,Inhibition,%,Active
9,318372202,122178221,CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)CO[Si](C)(C)C(C)(C)C)NC(=O)C(C3=CC=CC=C3)(C4=CC=CC=C4)C5=CC=CC=C5,Active,,,Potential missing data,Inhibition,%,Active
10,318372204,122178223,CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)CO[Si](C)(C)C(C)(C)C)NC(=O)C3=CC=CC4=CC=CC=C43,Active,,,Potential missing data,Inhibition,%,Active
11,318372211,122178230,CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)CO[Si](C)(C)C(C)(C)C)NC(=O)CCCCC3=CC=C(C=C3)F,Active,,,Potential missing data,Inhibition,%,Active
12,318372212,122178231,CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)CO[Si](C)(C)C(C)(C)C)NS(=O)(=O)C3=CC4=CC=CC=C4C=C3,Active,,,Potential missing data,Inhibition,%,Active
13,318372213,122178232,CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)CO[Si](C)(C)C(C)(C)C)NC(=O)NC3=CC=CC4=CC=CC=C43,Active,,,Potential missing data,Inhibition,%,Active
14,318372214,122178233,CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)CO[Si](C)(C)C(C)(C)C)NC(=O)NC34CC5CC(C3)CC(C5)C4,Active,,,Potential missing data,Inhibition,%,Active
