PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Activity Comment
RESULT_TYPE,,,,,,,,STRING,STRING
RESULT_DESCR,,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),Additional comments
1,520004149,177641803,CN1C[C@H]2C[C@@H](C1=S)CN3C2=CC=CC3=S,Active,,,Potential missing data,Activity,Active
2,520008204,177643681,CN1C[C@H]2C[C@@H](C1=S)CN3C2=CC=CC3=O,Active,,,Potential missing data,Activity,Active
3,520008893,177643991,CN1C[C@@H]2C[C@H](C1=S)C3=CC=CC(=S)N3C2,Active,,,Potential missing data,Activity,Active
4,520008899,172420071,CN1C[C@@H]2C[C@H](C1=S)C3=CC=CC(=O)N3C2,Active,,,Potential missing data,Activity,Active
5,520010552,139079387,CN1C[C@@H]2C[C@H](C1)C3=CC=CC(=S)N3C2,Active,,,Potential missing data,Activity,Active
