PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Activity Comment
RESULT_TYPE,,,,,,,,STRING,STRING
RESULT_DESCR,,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),Additional comments
1,103186466,5494425,CC(C)(C)C1=NC2=C(N1)C3=C(C=C(C=C3)F)C4=C2C=CNC4=O,Active,,,Potential missing data,Activity,Active
2,103245522,5291,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,Active,,,Potential missing data,Activity,Active
3,103309289,1474853,COC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=C(C=C3)OC4=CC=CC=C4)OC,Active,,,Potential missing data,Activity,Active
4,103324188,6419747,CN1C=C(C2=CC=CC=C21)/C=C\3/C4=C(C=CC(=C4)S(=O)(=O)N)NC3=O,Active,,,Potential missing data,Activity,Active
5,103440978,1694,C1(=C(C2=NNN=C2C(=C1Br)Br)Br)Br,Active,,,Potential missing data,Activity,Active
6,103619482,44576242,CC1=C(C=C(C=C1)NC2=NC=CC(=N2)C3=CC=CC=C3)F,Active,,,Potential missing data,Activity,Active
7,103619537,44576263,CC1=C(C=C(C=C1)NC(=O)C2=CC(=CC(=C2)N3C=C(N=C3)C)C(F)(F)F)N4CC5=CN=C(N=C5N(C4=O)C)NC,Active,,,Potential missing data,Activity,Active
8,103619538,5311510,C1=CC(=CC(=C1)C(=O)N)C2=CC(=NC=N2)NC3=CC=C(C=C3)OC(F)(F)F,Active,,,Potential missing data,Activity,Active
9,134453394,56674921,C1=CC2=C(C=C1I)C(=CC3=CC(=C(C(=C3)Br)O)Br)C(N2)O,Active,,,Potential missing data,Activity,Active
