PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Activity Comment
RESULT_TYPE,,,,,,,,STRING,STRING
RESULT_DESCR,,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),Additional comments
1,163319768,71452879,C1=CC2=C(C=C1Cl)C3=C(N=CN=C3N2[C@H]4[C@@H]([C@@H]([C@H](O4)CO)O)O)C5=CSC=C5,Unspecified,,,Potential missing data,Activity,Non-toxic
2,163319780,71452885,C1=COC(=C1)C2=C3C4=C(C=CC(=C4)C5=COC=C5)N(C3=NC=N2)[C@H]6[C@@H]([C@@H]([C@H](O6)CO)O)O,Unspecified,,,Potential missing data,Activity,Non-toxic
3,163323203,71454644,C1=CC2=C(C=C1Cl)C3=C(N=CN=C3N2[C@H]4[C@@H]([C@@H]([C@H](O4)CO)O)O)C5=COC=C5,Unspecified,,,Potential missing data,Activity,Non-toxic
4,163326597,71456365,C1=CSC(=C1)C2=C3C4=C(C=CC(=C4)Cl)N(C3=NC=N2)[C@H]5[C@@H]([C@@H]([C@H](O5)CO)O)O,Unspecified,,,Potential missing data,Activity,Non-toxic
5,163326608,71456372,C1=COC(=C1)C2=CC3=C(C=C2)N(C4=NC=NC(=C34)C5=CC=CO5)[C@H]6[C@@H]([C@@H]([C@H](O6)CO)O)O,Unspecified,,,Potential missing data,Activity,Non-toxic
6,163326609,71456373,C1=CC=C(C=C1)C2=CC3=C(C=C2)N(C4=NC=NC(=C34)C5=CC=CO5)[C@H]6[C@@H]([C@@H]([C@H](O6)CO)O)O,Unspecified,,,Potential missing data,Activity,Non-toxic
7,163330037,71458211,C1=CC=C2C(=C1)C=C(O2)C3=C4C5=C(C=CC(=C5)Cl)N(C4=NC=N3)[C@H]6[C@@H]([C@@H]([C@H](O6)CO)O)O,Unspecified,,,Potential missing data,Activity,Non-toxic
8,163330038,71458212,C1=CC=C2C(=C1)C3=C(N=CN=C3N2[C@H]4[C@@H]([C@@H]([C@H](O4)CO)O)O)C5=CC=CO5,Unspecified,,,Potential missing data,Activity,Non-toxic
9,163337010,71461785,C1=COC(=C1)C2=C3C4=C(C=CC(=C4)Cl)N(C3=NC=N2)[C@H]5[C@@H]([C@@H]([C@H](O5)CO)O)O,Unspecified,,,Potential missing data,Activity,Non-toxic
10,163337011,71461786,C1=CC=C(C=C1)C2=C3C4=C(C=CC(=C4)Cl)N(C3=NC=N2)[C@H]5[C@@H]([C@@H]([C@H](O5)CO)O)O,Unspecified,,,Potential missing data,Activity,Non-toxic
