PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Activity Comment
RESULT_TYPE,,,,,,,,STRING,STRING
RESULT_DESCR,,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),Additional comments
1,160674987,60156128,C1=CC=C(C=C1)CNC2=C3C(=NC=N2)N(C=N3)CCCN4[C@@H]([C@@H](C4=O)OC5=CC=CC=C5)C6=CC=CC=C6,Inactive,,,Potential missing data,Activity,Not Active
2,160675000,60156130,CC(C)C1=CC=C(C=C1)[C@@H]2[C@@H](C(=O)N2CCCN3C=NC4=C(N=CN=C43)NCC5=CC=CC=C5)OC,Inactive,,,Potential missing data,Activity,Not Active
3,160675001,60154762,C1=CC=C(C=C1)CNC2=C3C(=NC=N2)N(C=N3)CCN4[C@@H]([C@@H](C4=O)OC5=CC=CC=C5)C6=CC=CC=C6,Inactive,,,Potential missing data,Activity,Not Active
4,160675002,60154765,C1=CC=C(C=C1)CNC2=C3C(=NC=N2)N(C=N3)CCCN[C@H](C4=CC=CC=C4)[C@@H](CO)OC5=CC=CC=C5,Inactive,,,Potential missing data,Activity,Not Active
5,160675003,60154861,CC(C)C1=CC=C(C=C1)[C@H]([C@@H](CO)OC)NCCCN2C=NC3=C(N=CN=C32)NCC4=CC=CC=C4,Inactive,,,Potential missing data,Activity,Not Active
6,160680368,60154952,CC(C)N[C@H](C1=CC=CC=C1F)[C@@H](CCCN2C=NC3=C(N=CN=C32)NCC4=CC=CC=C4)CO,Inactive,,,Potential missing data,Activity,Not Active
7,160685697,60154761,COC1=CC=CC=C1[C@@H]2[C@@H](C(=O)N2CCN3C=NC4=C(N=CN=C43)NCC5=CC=CC=C5)OC6=CC=CC=C6,Inactive,,,Potential missing data,Activity,Not Active
8,160685698,60154860,C1=CC=C(C=C1)CNC2=C3C(=NC=N2)N(C=N3)CCCN[C@H](C4=C(C=C(C=C4)Cl)Cl)[C@@H](CO)OCC5=CC=CC=C5,Inactive,,,Potential missing data,Activity,Not Active
9,160685699,60154949,C1=CC=C(C=C1)CN2[C@@H]([C@H](C2=O)CCN3C=NC4=C3N=CN=C4OCC5=CC=CC=C5)C6=CC=CC=C6,Inactive,,,Potential missing data,Activity,Not Active
10,160691196,60154950,CC(C)N[C@H](C1=CC=CC=C1)[C@@H](CCN2C=NC3=C(N=CN=C32)NCC4=CC=CC=C4)CO,Inactive,,,Potential missing data,Activity,Not Active
11,160696591,60156131,C1=CC=C(C=C1)CNC2=C3C(=NC=N2)N(C=N3)CCN4[C@@H]([C@@H](C4=O)OCC5=CC=CC=C5)C6=CC=CC=C6,Inactive,,,Potential missing data,Activity,Not Active
12,160696592,60154764,C1=CC=C(C=C1)CNC2=C3C(=NC=N2)N(C=N3)CCN[C@H](C4=CC=C(C=C4)Cl)[C@@H](CO)OC5=CC=CC=C5,Inactive,,,Potential missing data,Activity,Not Active
13,160696593,60154948,CC(C)N1[C@@H]([C@H](C1=O)CCN2C=NC3=C2N=CN=C3OCC4=CC=CC=C4)C5=CC=CC=C5,Inactive,,,Potential missing data,Activity,Not Active
14,160696594,60154951,CCCN[C@H](C1=CC=CC=C1)[C@@H](CCCN2C=NC3=C(N=CN=C32)NCC4=CC=CC=C4)CO,Inactive,,,Potential missing data,Activity,Not Active
15,160701922,60156129,C1=CC=C(C=C1)CNC2=C3C(=NC=N2)N(C=N3)CCCN4[C@@H]([C@@H](C4=O)OCC5=CC=CC=C5)C6=C(C=C(C=C6)Cl)Cl,Inactive,,,Potential missing data,Activity,Not Active
16,160701923,60154863,CCCN1[C@@H]([C@H](C1=O)CCCN2C=NC3=C(N=CN=C32)NCC4=CC=CC=C4)C5=CC=CC=C5,Inactive,,,Potential missing data,Activity,Not Active
17,160701924,60154862,CC(C)N1[C@@H]([C@H](C1=O)CCN2C=NC3=C(N=CN=C32)NCC4=CC=CC=C4)C5=CC=CC=C5,Inactive,,,Potential missing data,Activity,Not Active
18,160701925,60156127,C1=CC=C(C=C1)CNC2=C3C(=NC=N2)N(C=N3)CCN4[C@@H]([C@@H](C4=O)OC5=CC=CC=C5)C6=CC=C(C=C6)Cl,Inactive,,,Potential missing data,Activity,Not Active
19,160707182,60154763,C1=CC=C(C=C1)COC2=NC=NC3=C2N=CN3CCCN4[C@@H]([C@@H](C4=O)OC5=CC=CC=C5)C6=CC=CC=C6,Inactive,,,Potential missing data,Activity,Not Active
20,160707183,60154864,CC(C)N1[C@@H]([C@H](C1=O)CCCN2C=NC3=C(N=CN=C32)NCC4=CC=CC=C4)C5=CC=CC=C5F,Inactive,,,Potential missing data,Activity,Not Active
