PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Standard Type,Activity Comment
RESULT_TYPE,,,,,,,,STRING,STRING
RESULT_DESCR,,,,,,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),Additional comments
1,134434980,54597952,CC1=CC(=CC(=C1)C(=O)C2=C(C=CC(=C2)Cl)OCCN3C=CC(=O)NC3=O)C,Inactive,,,Potential missing data,Activity,Not Active
2,134434981,56658387,CC1=CC(=CC(=C1)C(=O)C2=C(C=CC(=C2)Br)OCCN3C=CC(=O)NC3=O)C,Inactive,,,Potential missing data,Activity,Not Active
3,134437372,56659905,CC1=CC(=C(C=C1)OCCN2C=CC(=O)NC2=O)CC3=CC(=CC(=C3)C)C,Inactive,,,Potential missing data,Activity,Not Active
4,134438815,56661875,CC1=CC(=C(C=C1)OCCN2C=CC(=O)NC2=O)C(=O)C3=CC(=CC(=C3)C)C,Inactive,,,Potential missing data,Activity,Not Active
5,134441288,56663372,CC1=CC(=CC(=C1)CC2=C(C=CC(=C2)Cl)OCCN3C=CC(=O)NC3=O)C,Inactive,,,Potential missing data,Activity,Not Active
6,134441289,56663373,CC1=CC(=C(C=C1)OCCN2C=CC(=O)NC2=O)C(=O)C3=CC=CC=C3,Inactive,,,Potential missing data,Activity,Not Active
7,134442721,54597951,C1=CC(=C(C=C1Cl)C(=O)C2=CC(=CC(=C2)Cl)Cl)OCCN3C=CC(=O)NC3=O,Inactive,,,Potential missing data,Activity,Not Active
8,134442722,56665346,C1=CC(=C(C=C1Cl)C(=O)C2=CC(=CC(=C2)Br)Br)OCCN3C=CC(=O)NC3=O,Inactive,,,Potential missing data,Activity,Not Active
9,134445048,5304849,CC1=CC(=C(C=C1)OCCN2C=CC(=O)NC2=O)CC3=CC=CC=C3,Inactive,,,Potential missing data,Activity,Not Active
10,134445116,56666824,C1=CC=C(C=C1)C(=O)C2=C(C=CC(=C2)Br)OCCN3C=CC(=O)NC3=O,Inactive,,,Potential missing data,Activity,Not Active
11,134446573,56668778,CC1=CC(=CC=C1)C(=O)C2=C(C=CC(=C2)Cl)OCCN3C=CC(=O)NC3=O,Inactive,,,Potential missing data,Activity,Not Active
12,134446574,56668779,CC1=CC(=CC(=C1)C(=O)C2=C(C=CC(=C2)Cl)OCCCN3C=CC(=O)NC3=O)C,Inactive,,,Potential missing data,Activity,Not Active
13,134446575,56668780,CC1=CC(=CC(=C1)C(=O)C2=C(C=CC(=C2)Cl)OCCN3C=C(C(=O)NC3=O)C)C,Inactive,,,Potential missing data,Activity,Not Active
14,134450510,56672247,CC1=CC(=CC(=C1)C(=O)C2=C(C=CC(=C2)Cl)OCCN3C(=CC(=O)NC3=O)C)C,Inactive,,,Potential missing data,Activity,Not Active
15,134452870,42648006,CC1=CC(=CC=C1)CC2=C(C=CC(=C2)C)OCCN3C=CC(=O)NC3=O,Inactive,,,Potential missing data,Activity,Not Active
16,134452921,56673773,C1=CC=C(C=C1)C(=O)C2=C(C=CC(=C2)Cl)OCCN3C=CC(=O)NC3=O,Inactive,,,Potential missing data,Activity,Not Active
17,134458135,56678958,CC1=CC(=CC(=C1)C(C2=C(C=CC(=C2)Cl)OCCN3C=CC(=O)NC3=O)O)C,Inactive,,,Potential missing data,Activity,Not Active
18,134460481,56680397,CC1=CC(=CC(=C1)CC2=C(C=CC(=C2)Br)OCCN3C=CC(=O)NC3=O)C,Inactive,,,Potential missing data,Activity,Not Active
19,134460482,56680398,C1=CC=C(C=C1)C(=O)C2=C(C=CC(=C2)F)OCCN3C=CC(=O)NC3=O,Inactive,,,Potential missing data,Activity,Not Active
20,134461938,56682281,C1=CC(=C(C=C1Cl)C(=O)C2=CC(=CC(=C2)F)F)OCCN3C=CC(=O)NC3=O,Inactive,,,Potential missing data,Activity,Not Active
21,134461939,56682282,C1=CC(=C(C=C1Br)C(=O)C2=CC(=CC(=C2)Cl)Cl)OCCN3C=CC(=O)NC3=O,Inactive,,,Potential missing data,Activity,Not Active
