PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Calu_1_Mean,Calu_1[1],Calu_1[2],Calu_1[3]
RESULT_TYPE,,,,,,,,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,Averaged Percent PLD1 Activity at set concentration,Measured Percent PLD1 Activity at set concentration,Measured Percent PLD1 Activity at set concentration,Measured Percent PLD1 Activity at set concentration
RESULT_UNIT,,,,,,,,PERCENT,PERCENT,PERCENT,PERCENT
14,125333497,53393897,C1CN(CCC12C(=O)NCN2C3=CC(=CC=C3)F)CCNC(=O)COCC4=CC=CC=C4.C(=O)(C(F)(F)F)O,Inactive,0,,1JYD_lib_31,107.629,103.799,114.159,104.93
15,125333498,53393899,C1CN(CCC12C(=O)NCN2C3=CC(=CC=C3)F)CCNC(=O)C4=C(C=C(C=C4)Cl)Cl.C(=O)(C(F)(F)F)O,Inactive,0,,1K97_lib_31,110.047,113.462,107.289,109.389
16,125333499,53393901,CC1=CC=CC=C1C(=O)N(CCN2CCC3(CC2)C(=O)NCN3C4=CC(=CC=C4)F)C(=O)C5=CC=CC=C5C.C(=O)(C(F)(F)F)O,Inactive,0,,1K88_lib_31,104.986,108.121,108.672,98.1645
17,125333500,53393903,C1CN(CCC12C(=O)NCN2C3=CC(=CC=C3)F)CCNC(=O)C4=CC5=C(C=C4)C(=O)OC5=O.C(=O)(C(F)(F)F)O,Inactive,0,,1K99_lib_31,101.84,93.5249,104.007,107.987
18,125333501,53393905,C1CN(CCC12C(=O)NCN2C3=CC(=CC=C3)F)CCNC(=O)CC4=CC=CC=C4Br.C(=O)(C(F)(F)F)O,Inactive,0,,1K8X_lib_31,100.176,99.3754,102.299,98.8546
19,125333502,53393907,CC(C)(C)C(=O)NCCN1CCC2(CC1)C(=O)NCN2C3=CC(=CC=C3)F.C(=O)(C(F)(F)F)O,Inactive,0,,1K98_lib_31,71.8404,66.4707,80.1942,68.8563
20,125333503,53393909,C1CN(CCC12C(=O)NCN2C3=CC(=CC=C3)F)CCNC(=O)CCCl.C(=O)(C(F)(F)F)O,Inactive,0,,1K8W_lib_31,75.7454,72.8128,86.4647,67.9586
21,125333504,53393911,C1CN(CCC12C(=O)NCN2C3=CC(=CC=C3)F)CCN(C(=O)C4=C(C=CC=C4F)F)C(=O)C5=C(C=CC=C5F)F.C(=O)(C(F)(F)F)O,Inactive,0,,1K9P_lib_31,97.8975,91.8948,98.3248,103.473
22,125333505,53393913,C1CN(CCC12C(=O)NCN2C3=CC(=CC=C3)F)CCN(C(=O)C4=CC(=CC=C4)F)C(=O)C5=CC(=CC=C5)F.C(=O)(C(F)(F)F)O,Inactive,0,,1KAN_lib_31,93.4588,88.2528,96.4747,95.6491
23,125333507,53393917,C1CN(CCC12C(=O)NCN2C3=CC(=CC=C3)F)CCNC(=O)C45CC6CC(C4)CC(C6)C5.C(=O)(C(F)(F)F)O,Inactive,0,,1KAK_lib_31,98.657,80.7753,103.923,111.272
24,125333508,53393919,C1CN(CCC12C(=O)NCN2C3=CC(=CC=C3)F)CCN(C(=O)C4=CC(=C(C=C4)F)F)C(=O)C5=CC(=C(C=C5)F)F.C(=O)(C(F)(F)F)O,Inactive,0,,1KAL_lib_31,101.013,91.1655,102.855,109.017
25,125333509,53393921,CCCCCC(=O)N(CCN1CCC2(CC1)C(=O)NCN2C3=CC(=CC=C3)F)C(=O)CCCCC.C(=O)(C(F)(F)F)O,Inactive,0,,1KB1_lib_31,90.0962,90.3213,93.5657,86.4015
26,125333510,53393923,C1CN(CCC12C(=O)NCN2C3=CC(=CC=C3)F)CCNC(=O)C4=CC=C(C=C4)C5=CC=CC=C5.C(=O)(C(F)(F)F)O,Inactive,0,,1KA1_lib_31,92.9662,87.8434,74.9138,116.141
27,126496546,53469883,CN(CCN1CCC(CC1)N2C3=CC=CC=C3NC2=O)C(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O,Inactive,0,,VL0_lib_29,75.511,62.5048,86.5528,77.4752
28,126496547,53469885,CN(CCN1CCC2(CC1)C(=O)NCN2C3=CC=CC=C3)C(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O,Inactive,0,,VL1_lib_29,84.1172,79.0342,91.4778,81.8395
29,126496548,53469887,C1CN(CCC1N2C3=C(C=C(C=C3)I)NC2=O)CCNC(=O)C4CC4C5=CC=CC=C5.C(=O)(C(F)(F)F)O,Active,100,,10NU_lib_29,16.0976,10.4627,18.3776,19.4525
30,126496549,53469889,C1CN(CCC1N2C3=C(C=C(C=C3)I)NC2=O)CCNC(=O)C4=CC=C(C=C4)Cl.C(=O)(C(F)(F)F)O,Active,100,,10R6_lib_29,15.5711,12.6479,15.615,18.4504
31,126496550,53469891,C[C@@H](CN1CCC(CC1)N2C3=C(C=C(C=C3)I)NC2=O)NC(=O)C4CC4C5=CC=CC=C5.C(=O)(C(F)(F)F)O,Active,100,,10QV_lib_29,19.8806,17.11,22.8984,19.6333
32,126496551,53469893,C[C@@H](CN1CCC(CC1)N2C3=C(C=C(C=C3)I)NC2=O)NC(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O,Active,100,,103L_lib_29,20.0858,18.5004,21.0303,20.7266
33,126496552,53469895,C[C@@H](CN1CCC(CC1)N2C3=C(C=C(C=C3)I)NC2=O)NC(=O)C4=CC=C(C=C4)Cl.C(=O)(C(F)(F)F)O,Active,100,,10PN_lib_29,15.5209,15.5367,13.3495,17.6764
34,126496557,53469902,C[C@@H](CN1CCC2(CC1)C(=O)NCN2C3=CC(=C(C=C3)F)F)NC(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O,Active,100,,104E_lib_28,25.7108,20.991,29.3319,26.8095
35,126496558,46939579,C1CN(CCC12C(=O)NCN2C3=CC(=C(C=C3)F)F)CCNC(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O,Inactive,0,,10GF_lib_28,84.3287,70.3243,84.1167,98.5452
36,126496559,53469904,C1CN(CCC12C(=O)NCN2C3=CC(=C(C=C3)F)F)CCNC(=O)C4=CC=C(C=C4)Cl.C(=O)(C(F)(F)F)O,Inactive,0,,104D_lib_28,94.8569,95.1963,89.8481,99.5263
37,126496560,46938534,C1CN(CCC12C(=O)NCN2C3=CC(=C(C=C3)F)F)CCNC(=O)C4=CC5=C(N4)C=CC(=C5)F.C(=O)(C(F)(F)F)O,Inactive,0,,10GE_lib_28,69.0712,68.0599,67.1275,72.0263
38,126496561,46939672,C1CN(CCC12C(=O)NCN2C3=CC=C(C=C3)Cl)CCNC(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O,Inactive,0,,11KJ_lib_28,102.694,67.7393,117.989,122.354
39,126496562,53469906,C1CN(CCC12C(=O)NCN2C3=CC=C(C=C3)Cl)CCNC(=O)C4=CC5=CC=CC=C5N=C4.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Inactive,0,,11VG_lib_28,94.1955,93.6261,94.4802,94.4802
40,126496563,53469907,C1CN(CCC12C(=O)NCN2C3=CC=C(C=C3)Cl)CCNC(=O)C4=CC=C(C=C4)Cl.C(=O)(C(F)(F)F)O,Inactive,0,,11UP_lib_28,102.949,87.7009,116.978,104.168
41,126496564,46938428,C1CN(CCC12C(=O)NCN2C3=CC=C(C=C3)Cl)CCNC(=O)C4=CC=C(C=C4)F.C(=O)(C(F)(F)F)O,Inactive,0,,11TT_lib_28,122.894,119.649,137.381,111.65
42,126496565,46938538,C1CN(CCC12C(=O)NCN2C3=CC=C(C=C3)Cl)CCNC(=O)C4=CC5=C(N4)C=CC(=C5)F.C(=O)(C(F)(F)F)O,Inactive,0,,11U3_lib_28,79.4386,80.9586,78.7141,78.6432
43,126496566,53469909,C1CN(CCC12C(=O)NCN2C3=CC=C(C=C3)Cl)CCNC(=O)C4=CC5=CC=CC=C5N4.C(=O)(C(F)(F)F)O,Inactive,0,,11XF_lib_28,61.5405,55.2334,67.611,61.7769
44,126496567,53469911,C1CN(CCC1C(=O)NC2=CC=CC=C2)CCNC(=O)C3=CC4=CC=CC=C4C=C3.C(=O)(C(F)(F)F)O,Inactive,0,,11TK_lib_28,101.901,68.7613,93.5742,143.368
45,126496568,53469913,C1CN(CCC1C(=O)NCC2=CC=C(C=C2)Cl)CCNC(=O)C3=CC4=CC=CC=C4C=C3.C(=O)(C(F)(F)F)O,Inactive,0,,11K9_lib_28,99.1655,78.7985,125.733,92.9649
46,126496569,53469915,C1CN(CCC1C(=O)NCCC2=CC=CC=N2)CCNC(=O)C3=CC4=CC=CC=C4C=C3.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Inactive,0,,11UV_lib_28,100.862,77.2765,98.9327,126.378
47,126496570,53469917,C1CC1CNC(=O)C2CCN(CC2)CCNC(=O)C3=CC4=CC=CC=C4C=C3.C(=O)(C(F)(F)F)O,Inactive,0,,11TJ_lib_28,106.452,79.4965,107.077,132.781
48,126496572,53469921,C1CN(CCC1C(=O)NCCCN2CCOCC2)CCNC(=O)C3=CC4=CC=CC=C4C=C3.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Inactive,0,,10DM_lib_28,68.2903,61.0164,71.1526,72.7021
49,126496573,46939578,C1CN(CCC12C(=O)NCN2C3=CC(=CC=C3)Cl)CCNC(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O,Inactive,0,,1045_lib_28,57.3004,51.5811,63.6813,56.6388
50,126496574,53469923,C1CN(CCC12C(=O)NCN2C3=CC(=CC=C3)Cl)CCNC(=O)C4=CC5=CC=CC=C5N=C4.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Inactive,0,,103V_lib_28,55.3588,44.8034,60.1283,61.1448
51,126496575,46939875,C1CN(CCC12C(=O)NCN2C3=CC(=CC=C3)Cl)CCNC(=O)C4=CC=C(C=C4)F.C(=O)(C(F)(F)F)O,Inactive,0,,10DP_lib_28,79.5552,58.4628,85.2782,94.9246
52,126496576,46938433,C1CN(CCC12C(=O)NCN2C3=CC(=CC=C3)Cl)CCNC(=O)C4=CC5=C(N4)C=CC(=C5)F.C(=O)(C(F)(F)F)O,Inactive,0,,10F6_lib_28,57.9938,56.2736,66.1008,51.6069
53,126496577,53469924,C1CN(CCC12C(=O)NCN2C3=CC(=CC=C3)Br)CCNC(=O)C4=CC5=CC=CC=C5C=C4.C(=O)(C(F)(F)F)O,Inactive,0,,103W_lib_28,76.6397,77.8354,84.317,67.7668
54,126496578,53469926,C[C@@H](CN1CCC(CC1)N2C3=C(C=C(C=C3)C4=CC=CC=C4)NC2=O)NC(=O)[C@H]5C[C@@H]5C6=CC=CC=C6.C(=O)(C(F)(F)F)O,Inactive,0,,1098_lib_28,67.366,46.8321,80.1461,75.1198
55,126496579,53469928,C[C@@H](CN1CCC(CC1)N2C3=C(C=C(C=C3)C4=CN=CC=C4)NC2=O)NC(=O)[C@H]5C[C@@H]5C6=CC=CC=C6.C(=O)(C(F)(F)F)O.C(=O)(C(F)(F)F)O,Inactive,0,,109K_lib_28,53.1679,45.9856,52.5919,60.9262
56,126496580,53469930,C[C@@H](CN1CCC(CC1)N2C3=C(C=C(C=C3)C4=CC=C(C=C4)C(F)(F)F)NC2=O)NC(=O)[C@H]5C[C@@H]5C6=CC=CC=C6.C(=O)(C(F)(F)F)O,Inactive,0,,108Y_lib_28,63.9133,45.807,52.4193,93.5136
