Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
Molecule 1,OC[C@@]1(C#C)O[C@H](C[C@@H]1O)n1cnc2c1nc(F)nc2N,C12H12FN5O3,293.25,21,9,0.42,2,7,3,69.28,119.31,n/d,-0.59,-0.62,-0.64,-1.58,-0.86,-1.47,9.90e+00,3.38e-02,Very soluble,-1.44,1.05e+01,3.59e-02,Very soluble,-0.97,3.13e+01,1.07e-01,Soluble,High,No,No,n/d,n/d,n/d,n/d,n/d,-8.51,0,1,0,0,0,0.55,0,1,0,4.04
Molecule 2,CCOC(=O)[C@@H](N[C@H](C(=O)N1C2CCC([C@H]1C(=O)O)CC2)C)CCc1ccccc1,C23H32N2O5,416.51,30,6,0.61,11,6,2,116.96,95.94,n/d,1.43,2.00,1.98,2.57,2.00,-2.75,7.49e-01,1.80e-03,Soluble,-3.05,3.71e-01,8.92e-04,Soluble,-4.04,3.82e-02,9.16e-05,Moderately soluble,High,No,Yes,n/d,n/d,n/d,n/d,n/d,-7.83,0,0,1,0,0,0.55,0,0,2,4.91
Molecule 3,COc1cc(cc(c1OC)OC)C(=O)c1cnc([nH]1)c1c[nH]c2c1cccc2,C21H19N3O4,377.39,28,20,0.14,6,5,2,105.23,89.23,n/d,3.44,3.81,0.85,3.98,3.02,-4.48,1.25e-02,3.31e-05,Moderately soluble,-4.99,3.82e-03,1.01e-05,Moderately soluble,-5.60,9.44e-04,2.50e-06,Moderately soluble,High,No,No,n/d,n/d,n/d,n/d,n/d,-6.16,0,0,0,0,0,0.55,0,0,1,3.05
Molecule 4,COc1cc(Cc2cnc(nc2N)N)cc(c1OC)OC,C14H18N4O3,290.32,21,12,0.29,5,5,2,79.77,105.51,n/d,0.91,1.27,0.41,1.41,1.00,-2.31,1.43e+00,4.94e-03,Soluble,-2.71,5.64e-01,1.94e-03,Soluble,-4.23,1.70e-02,5.85e-05,Moderately soluble,High,No,Yes,n/d,n/d,n/d,n/d,n/d,-7.42,0,0,0,0,0,0.55,0,0,0,2.58
Molecule 5,CCOC(=O)[C@@H](N[C@H](C(=O)N1[C@H]2CCC[C@H]2C[C@H]1C(=O)O)C)CCc1ccccc1,C23H32N2O5,416.51,30,6,0.61,11,6,2,116.96,95.94,n/d,1.43,2.00,1.98,2.57,2.00,-2.75,7.49e-01,1.80e-03,Soluble,-3.05,3.71e-01,8.92e-04,Soluble,-4.04,3.82e-02,9.16e-05,Moderately soluble,High,No,Yes,n/d,n/d,n/d,n/d,n/d,-7.83,0,0,1,0,0,0.55,0,0,2,4.23
Molecule 6,COc1cc(/C=C\c2ccc(c(c2O)O)OC)cc(c1OC)OC,C18H20O6,332.35,24,12,0.22,6,6,2,91.83,77.38,n/d,3.37,3.08,1.55,3.26,2.82,-4.00,3.34e-02,1.01e-04,Soluble,-4.67,7.05e-03,2.12e-05,Moderately soluble,-4.34,1.53e-02,4.60e-05,Moderately soluble,High,Yes,No,n/d,n/d,n/d,n/d,n/d,-5.93,0,0,0,0,0,0.55,1,2,0,2.90
Molecule 7,COc1ccc(cc1)[C@@H]1N(CCc2c1[nH]c1c2cc(cc1)Cl)C(=O)Oc1ccc(cc1)Cl,C25H20Cl2N2O3,467.34,32,21,0.16,5,3,1,130.14,54.56,n/d,6.30,5.92,4.50,3.90,5.15,-6.86,6.42e-05,1.37e-07,Poorly soluble,-7.23,2.72e-05,5.83e-08,Poorly soluble,-5.55,1.32e-03,2.82e-06,Moderately soluble,High,No,No,n/d,n/d,n/d,n/d,n/d,-4.68,1,2,0,1,1,0.55,1,0,2,3.64
